County,Total Positive,Total Negative,Unique Individuals Tested,Total Recovered,Deaths
Adams,0,468,468,0,0
Barnes,19,1382,1401,18,0
Benson,4,1147,1151,3,0
Billings,1,185,186,1,0
Bottineau,5,684,689,5,0
Bowman,1,442,443,1,0
Burke,5,191,196,5,0
Burleigh,267,13295,13562,191,0
Cass,2260,25781,28041,2072,66
Cavalier,2,441,443,1,0
Dickey,4,466,470,4,0
Divide,1,439,440,1,0
Dunn,14,361,375,12,0
Eddy,5,466,471,5,0
Emmons,4,384,388,3,1
Foster,2,329,331,1,0
Golden Valley,0,302,302,0,0
Grand Forks,387,8325,8712,360,4
Grant,3,233,236,3,0
Griggs,2,264,266,2,0
Hettinger,1,517,518,0,0
Kidder,2,168,170,2,0
LaMoure,13,677,690,10,0
Logan,0,303,303,0,0
McHenry,3,493,496,2,1
McIntosh,2,704,706,1,0
McKenzie,27,949,976,23,0
McLean,11,1383,1394,11,0
Mercer,7,798,805,6,0
Morton,91,4075,4166,68,2
Mountrail,50,1650,1700,43,0
Nelson,1,410,411,1,0
Oliver,2,104,106,1,0
Pembina,9,706,715,9,0
Pierce,5,486,491,4,0
Ramsey,10,1755,1765,8,1
Ransom,17,979,996,17,0
Renville,5,229,234,4,0
Richland,41,1768,1809,40,0
Rolette,10,2207,2217,8,0
Sargent,6,782,788,4,0
Sheridan,1,184,185,1,0
Sioux,24,1242,1266,7,0
Slope,3,135,138,3,0
Stark,75,4578,4653,68,3
Steele,2,247,249,1,0
Stutsman,63,4063,4126,61,1
Towner,0,173,173,0,0
Traill,19,1353,1372,15,0
Unknown,0,2246,2246,0,0
Walsh,24,1379,1403,18,0
Ward,60,7903,7963,53,1
Wells,8,473,481,7,0
Williams,37,2907,2944,26,0
