County,Total Positive,Total Negative,Unique Individuals Tested,Total Recovered,Deaths
Adams,0,480,480,0,0
Barnes,23,1439,1462,19,0
Benson,9,1175,1184,4,0
Billings,1,202,203,1,0
Bottineau,5,711,716,5,0
Bowman,1,697,698,1,0
Burke,6,199,205,5,0
Burleigh,363,15363,15726,235,0
Cass,2373,27189,29562,2187,70
Cavalier,6,486,492,3,0
Dickey,4,488,492,4,0
Divide,1,444,445,1,0
Dunn,15,389,404,13,0
Eddy,5,483,488,5,0
Emmons,4,404,408,3,1
Foster,4,355,359,2,0
Golden Valley,0,313,313,0,0
Grand Forks,411,9492,9903,380,4
Grant,3,238,241,3,0
Griggs,2,271,273,2,0
Hettinger,1,523,524,1,0
Kidder,2,173,175,2,0
LaMoure,13,698,711,12,0
Logan,1,315,316,0,0
McHenry,6,518,524,2,1
McIntosh,3,718,721,2,0
McKenzie,29,1001,1030,26,0
McLean,11,1439,1450,11,0
Mercer,7,846,853,7,0
Morton,116,4512,4628,76,2
Mountrail,54,1733,1787,45,0
Nelson,2,431,433,1,0
Oliver,2,125,127,1,0
Pembina,13,855,868,9,0
Pierce,6,509,515,4,0
Ramsey,18,1873,1891,8,1
Ransom,19,996,1015,17,0
Renville,5,237,242,5,0
Richland,43,1843,1886,41,0
Rolette,11,2254,2265,10,0
Sargent,7,810,817,6,0
Sheridan,2,191,193,1,0
Sioux,29,1255,1284,16,0
Slope,3,136,139,3,0
Stark,83,4779,4862,68,3
Steele,3,259,262,1,0
Stutsman,65,4138,4203,62,2
Towner,1,189,190,0,0
Traill,22,1409,1431,16,0
Unknown,0,2229,2229,0,0
Walsh,31,2250,2281,23,0
Ward,65,8179,8244,56,1
Wells,9,485,494,8,0
Williams,53,3142,3195,34,0
