County,Total Positive,Total Negative,Total Tested,Total Recovered,Deaths
Adams,0,68,68,0,0
Barnes,4,726,730,4,0
Benson,1,510,511,1,0
Billings,0,32,32,0,0
Bottineau,2,281,283,0,0
Bowman,1,358,359,1,0
Burke,5,126,131,4,0
Burleigh,131,7540,7671,94,0
Cass,1564,14663,16227,935,43
Cavalier,0,206,206,0,0
Dickey,0,256,256,0,0
Divide,1,392,393,1,0
Dunn,12,195,207,12,0
Eddy,7,246,253,2,0
Emmons,6,209,215,0,1
Foster,1,114,115,1,0
Golden Valley,0,84,84,0,0
Grand Forks,325,5170,5495,229,3
Grant,2,100,102,2,0
Griggs,1,171,172,0,0
Hettinger,0,218,218,0,0
Kidder,0,94,94,0,0
LaMoure,0,257,257,0,0
Logan,0,152,152,0,0
McHenry,2,306,308,1,1
McIntosh,1,239,240,1,0
McKenzie,16,678,694,16,0
McLean,7,632,639,6,0
Mercer,5,548,553,4,0
Morton,64,2393,2457,32,2
Mountrail,39,1347,1386,37,0
Nelson,2,242,244,1,0
Oliver,1,69,70,1,0
Pembina,6,445,451,6,0
Pierce,4,264,268,3,0
Ramsey,9,1102,1111,6,1
Ransom,9,612,621,3,0
Renville,1,147,148,1,0
Richland,20,987,1007,9,0
Rolette,4,1098,1102,4,0
Sargent,3,569,572,3,0
Sheridan,0,42,42,0,0
Sioux,2,460,462,1,0
Slope,3,130,133,3,0
Stark,61,3505,3566,58,2
Steele,1,127,128,0,0
Stutsman,18,2281,2299,17,0
Towner,0,124,124,0,0
Traill,21,795,816,1,0
Unknown,0,5366,5366,0,0
Walsh,13,641,654,7,0
Ward,54,4112,4166,21,1
Wells,3,256,259,2,0
Williams,25,2208,2233,21,0
