OBJECTID,STAETFP,COUNTYFP,GEOID,COUNTY,LABEL,FULL_,County_Pos_Cases,County_Population,County_Rate_Per_100_000,State_Population,State_Pos_Unknown,State_Pos_Cases,Data_Source,Date_Data_Last_Updated,State_Number_Tested,State_Number_Hospitalizations,State_Deaths,State_Number_of_Counties_Pos,State_Rate_Per_100000,Shape__Area,Shape__Length,State_Number_Outbreaks
1,08,109,08109,SAGUACHE,Saguache,Saguache County,3,6837,-1,5695430,211,4565,Colorado Department of Public Health and Environment - Number of Positive COVID-19 Cases by County,"Data through April 3, 2020",23900,875,126,54,80.17,13273871024.1289,529491.079018544,30
2,08,115,08115,SEDGWICK,Sedgwick,Sedgwick County,0,2275,0,5695430,211,4565,Colorado Department of Public Health and Environment - Number of Positive COVID-19 Cases by County,"Data through April 3, 2020",23900,875,126,54,80.17,2491281577.11719,208249.56871408,30
3,08,017,08017,CHEYENNE,Cheyenne,Cheyenne County,0,1862,0,5695430,211,4565,Colorado Department of Public Health and Environment - Number of Positive COVID-19 Cases by County,"Data through April 3, 2020",23900,875,126,54,80.17,7613550869.75391,373455.831824096,30
4,08,027,08027,CUSTER,Custer,Custer County,2,4928,-1,5695430,211,4565,Colorado Department of Public Health and Environment - Number of Positive COVID-19 Cases by County,"Data through April 3, 2020",23900,875,126,54,80.17,3100361575.17578,290994.589030107,30
5,08,067,08067,LA PLATA,La Plata,La Plata County,25,56403,44.32,5695430,211,4565,Colorado Department of Public Health and Environment - Number of Positive COVID-19 Cases by County,"Data through April 3, 2020",23900,875,126,54,80.17,6966607866.58203,371001.027724019,30
6,08,111,08111,SAN JUAN,San Juan,San Juan County,0,762,0,5695430,211,4565,Colorado Department of Public Health and Environment - Number of Positive COVID-19 Cases by County,"Data through April 3, 2020",23900,875,126,54,80.17,1611963627.42969,209303.346789561,30
7,08,097,08097,PITKIN,Pitkin,Pitkin County,38,17879,212.54,5695430,211,4565,Colorado Department of Public Health and Environment - Number of Positive COVID-19 Cases by County,"Data through April 3, 2020",23900,875,126,54,80.17,4204962607.14063,360368.050497512,30
8,08,093,08093,PARK,Park,Park County,5,18557,26.94,5695430,211,4565,Colorado Department of Public Health and Environment - Number of Positive COVID-19 Cases by County,"Data through April 3, 2020",23900,875,126,54,80.17,9525822458.41406,477017.520520283,30
9,08,003,08003,ALAMOSA,Alamosa,Alamosa County,4,16184,-1,5695430,211,4565,Colorado Department of Public Health and Environment - Number of Positive COVID-19 Cases by County,"Data through April 3, 2020",23900,875,126,54,80.17,2987314188.43359,224661.437209443,30
10,08,099,08099,PROWERS,Prowers,Prowers County,0,12078,0,5695430,211,4565,Colorado Department of Public Health and Environment - Number of Positive COVID-19 Cases by County,"Data through April 3, 2020",23900,875,126,54,80.17,6861386117.78516,333326.752196427,30
11,08,081,08081,MOFFAT,Moffat,Moffat County,3,13181,-1,5695430,211,4565,Colorado Department of Public Health and Environment - Number of Positive COVID-19 Cases by County,"Data through April 3, 2020",23900,875,126,54,80.17,21378597682.3633,615436.363722786,30
12,08,059,08059,JEFFERSON,Jefferson,Jefferson County,483,579491,83.35,5695430,211,4565,Colorado Department of Public Health and Environment - Number of Positive COVID-19 Cases by County,"Data through April 3, 2020",23900,875,126,54,80.17,3379799618.59766,374132.11754513,30
13,08,117,08117,SUMMIT,Summit,Summit County,43,30973,138.83,5695430,211,4565,Colorado Department of Public Health and Environment - Number of Positive COVID-19 Cases by County,"Data through April 3, 2020",23900,875,126,54,80.17,2707648429.75781,325660.775440309,30
