"county","as of","cases","deaths","url","notes","tested","pending","negative","positive","inconclusive","positives-travel","Locally Acquired (person to person or community spread)","Known Contact Positives","Community Transmission Positives","unknown/under investigation","recovered","Hospitalized","hospitalized-status","ICU","ICU-status","federal quarantine","Non-Resident Positive Tests","PUI (travelers + others)","travelers completed monitoring","for map?","updated","more granular data avaialble?",""
"Alameda","4/4/2020 15:13:57","537","12","http://www.acphd.org/2019-ncov.aspx","","","","","","","","","","","","","","","","","","","","","BANG","","",""
"Alpine","4/4/2020 15:14:14","1","0","http://alpinecountyca.gov/AlertCenter.aspx?AID=COVID19-CASES-12","","","","","","","","","","","","1","","","","","","","","","","","",""
"Amador","4/4/2020 15:18:05","3","0","https://www.amadorgov.org/services/covid-19/-fsiteid-1","""Amador County Public Health has confirmed 1 county resident traveling abroad has been diagnosed with novel coronavirus (COVID-19). This individual has not been at home in the county.""","","","","","","","","","","","","","","","","","","","","","","",""
"Butte","4/3/2020 17:18:51","11","0","http://www.buttecounty.net/publichealth/Home/fbclid/IwAR3fSGcPIbTuP9oMALIinPe68ft2E_vscQm2hDlGwwyilvdXog7KZwY9vTw","","","","","","","2","","","","3","","","","","","","","","","","","",""
"Calaveras","4/3/2020 17:19:13","4","0","https://covid19.calaverasgov.us/","","","","","","","","","","","","2","","","","","","","","","","","",""
"Colusa","4/3/2020 17:19:25","2","0","http://countyofcolusa.org/99/Public-Health","","","","","","","","","","","","","","","","","","","","","","","",""
"Contra Costa","4/4/2020 15:19:41","353","5","https://cchealth.org/coronavirus/","","4929","","","","","","","","","","","31","currently","","","","","","","BANG","","",""
"Del Norte","4/4/2020 15:22:36","2","0","http://www.co.del-norte.ca.us/departments/health-human-services/public-health","*these represent ""approximate"" number of tests","101","9","90","1","","","","","","","","","","","","","","","","","","",""
"El Dorado","4/3/2020 17:20:20","22","0","https://www.edcgov.us/Government/hhsa/Pages/EDCCOVID-19-Cases.aspx","they say there are ""more than 50"" pending results","849","144","683","22","","","","","","","","","","","","","","","","","","",""
"Fresno","4/4/2020 19:32:37","103","1","https://www.co.fresno.ca.us/departments/public-health/covid-19","fresno has stats on people who have been monitored and those who are currently being monitored","1650","11","","","","28","","18","24","33","","","","","","","","","","","","",""
"Glenn","4/3/2020 17:50:37","2","0","https://www.countyofglenn.net/dept/health-human-services/public-health/covid-19","","32","2","28","2","","","","","","","","","","","","","","","","","","",""
"Humboldt","4/4/2020 15:29:01","44","0","https://humboldtgov.org/2707/COVID-Test-Results","","1006","","","","","","","","","","","3","","","","","","","","","","",""
"Imperial","4/3/2020 17:24:48","55","1","http://www.icphd.org/health-information-and-resources/healthy-facts/covid-19/","*(positives) Includes results from private laboratories. ∞(pending) Pending results for Public Health Laboratory testing only.","417","1","360","55","","","","","","","","","","","","","","","","","","",""
"Inyo","4/4/2020 19:33:52","10","0","https://www.inyocounty.us/covid-19/press-releases","(the testing data is behind the case data, hence 2 positive tests reported, but 1 test reported)","123","12","101","10","","","","","","","","","","","","","","","","","","",""
"Kern","4/4/2020 15:31:36","205","2","https://kernpublichealth.com/2019-novel-coronavirus/","a few of the positive cases are non-residents, and they update twice a day.","4720","1878","2632","210","","","","","","","","","","","","","5","","","","","x",""
"Kings","4/3/2020 17:28:25","5","0","https://www.countyofkings.com/departments/health-welfare/public-health/coronavirus-disease-2019-covid-19","The number above indicating how many samples have been collected is the number of samples that our department has collected.","278","","254","","","2","","3","","","","","","","","","","8","","","","",""
"Lake","4/3/2020 17:28:54","0","0","http://health.co.lake.ca.us/Coronavirus.htm","","","","124","","","","","","","","","","","","","","","","","","","",""
"Lassen","4/2/2020 17:59:45","0","0","http://www.lassencounty.org/government/news/public-health","","13","7","6","","","","","","","","","","","","","","","","","","","",""
"Los Angeles","4/4/2020 15:34:05","5277","117","http://publichealth.lacounty.gov/media/Coronavirus/","","","","","","","","","","","","","1168","ever","","","","","","","SCNG","","",""
"Madera","4/3/2020 17:29:37","28","1","https://www.maderacounty.com/government/public-health/health-updates/corona-virus","pending tests only from the public health lab","297","13","","","","","","","","","1","2","currently","","","","","","","","","",""
"Marin","4/4/2020 16:10:00","137","6","https://www.marinhhs.org/coronavirus","They sometimes miss our cutoff for reporting sat EOD because they post updates late, so day-to-day change might be off.","1337","","","","","","","","","","","16","","","","","","","","BANG","","",""
