County,Total Positive,Total Negative,Total Tested,Total Recovered,Deaths
Adams,0,68,68,0,0
Barnes,4,718,722,4,0
Benson,1,507,508,1,0
Billings,0,32,32,0,0
Bottineau,2,277,279,0,0
Bowman,1,358,359,1,0
Burke,5,128,133,4,0
Burleigh,131,7287,7418,92,0
Cass,1528,14128,15656,891,42
Cavalier,0,206,206,0,0
Dickey,0,253,253,0,0
Divide,1,340,341,1,0
Dunn,12,195,207,12,0
Eddy,7,242,249,2,0
Emmons,6,207,213,0,1
Foster,1,113,114,1,0
Golden Valley,0,84,84,0,0
Grand Forks,323,5138,5461,228,3
Grant,2,100,102,2,0
Griggs,1,162,163,0,0
Hettinger,0,218,218,0,0
Kidder,0,93,93,0,0
LaMoure,0,256,256,0,0
Logan,0,152,152,0,0
McHenry,2,303,305,1,1
McIntosh,1,239,240,1,0
McKenzie,16,678,694,16,0
McLean,7,632,639,6,0
Mercer,5,545,550,4,0
Morton,64,2383,2447,32,2
Mountrail,39,1361,1400,34,0
Nelson,2,236,238,1,0
Oliver,1,69,70,1,0
Pembina,6,442,448,6,0
Pierce,4,265,269,3,0
Ramsey,9,1095,1104,6,1
Ransom,8,607,615,2,0
Renville,1,147,148,1,0
Richland,20,974,994,9,0
Rolette,4,1095,1099,4,0
Sargent,3,566,569,3,0
Sheridan,0,42,42,0,0
Sioux,2,457,459,1,0
Slope,3,130,133,3,0
Stark,61,3496,3557,56,2
Steele,1,78,79,0,0
Stutsman,18,2271,2289,16,0
Towner,0,123,123,0,0
Traill,21,578,599,1,0
Unknown,0,5821,5821,0,0
Walsh,13,636,649,7,0
Ward,54,4078,4132,21,1
Wells,3,255,258,2,0
Williams,25,2206,2231,20,0
