County,Total Positive,Total Negative,Unique Individuals Tested,Total Recovered,Deaths
Adams,0,594,594,0,0
Barnes,30,1987,2017,26,0
Benson,47,1555,1602,18,1
Billings,1,234,235,1,0
Bottineau,9,810,819,7,0
Bowman,6,721,727,1,0
Burke,12,294,306,8,0
Burleigh,729,19490,20219,499,3
Cass,2765,32139,34904,2555,75
Cavalier,28,913,941,22,0
Dickey,8,606,614,7,0
Divide,1,462,463,1,0
Dunn,26,498,524,26,0
Eddy,8,529,537,5,0
Emmons,12,496,508,5,1
Foster,9,399,408,3,0
Golden Valley,4,400,404,2,0
Grand Forks,575,12449,13024,481,4
Grant,4,257,261,4,0
Griggs,11,311,322,2,0
Hettinger,6,585,591,3,0
Kidder,8,239,247,3,0
LaMoure,14,835,849,13,0
Logan,1,370,371,1,0
McHenry,12,608,620,8,1
McIntosh,11,772,783,8,1
McKenzie,62,1373,1435,43,0
McLean,21,1726,1747,12,0
Mercer,18,988,1006,11,0
Morton,218,5605,5823,140,3
Mountrail,101,2461,2562,75,1
Nelson,5,491,496,2,0
Oliver,5,141,146,3,0
Pembina,24,1342,1366,19,0
Pierce,8,672,680,7,0
Ramsey,28,2297,2325,20,1
Ransom,25,1076,1101,22,0
Renville,9,271,280,7,0
Richland,69,2119,2188,51,0
Rolette,17,2739,2756,12,0
Sargent,8,902,910,8,0
Sheridan,5,212,217,3,0
Sioux,49,1515,1564,39,0
Slope,3,139,142,3,0
Stark,142,6182,6324,106,3
Steele,8,302,310,4,0
Stutsman,93,4450,4543,72,2
Towner,5,262,267,3,0
Traill,35,1600,1635,29,0
Unknown,0,3582,3582,0,0
Walsh,95,3178,3273,62,0
Ward,139,9215,9354,86,1
Wells,12,544,556,11,0
Williams,195,4587,4782,112,2
