County,Total Positive,Total Negative,Total Tested,Total Recovered
Adams,0,33,33,0
Barnes,4,173,177,3
Benson,0,363,363,0
Billings,0,20,20,0
Bottineau,0,131,131,0
Bowman,1,184,185,1
Burke,3,66,69,2
Burleigh,80,2718,2798,51
Cass,572,6451,7023,222
Cavalier,0,43,43,0
Dickey,0,45,45,0
Divide,1,55,56,1
Dunn,11,143,154,6
Eddy,1,64,65,1
Emmons,1,65,66,0
Foster,1,41,42,1
Golden Valley,0,28,28,0
Grand Forks,265,3478,3743,83
Grant,1,34,35,1
Griggs,0,31,31,0
Hettinger,0,145,145,0
Kidder,0,32,32,0
LaMoure,0,55,55,0
Logan,0,37,37,0
McHenry,1,108,109,0
McIntosh,1,67,68,1
McKenzie,13,334,347,10
McLean,5,426,431,3
Mercer,0,146,146,0
Morton,24,861,885,16
Mountrail,35,992,1027,31
Nelson,1,146,147,0
Oliver,1,23,24,1
Pembina,3,196,199,0
Pierce,2,67,69,2
Ramsey,3,327,330,3
Ransom,1,97,98,0
Renville,1,51,52,0
Richland,7,264,271,7
Rolette,1,372,373,1
Sargent,1,83,84,1
Sheridan,0,24,24,0
Sioux,1,73,74,1
Slope,3,125,128,3
Stark,54,2433,2487,23
Steele,0,35,35,0
Stutsman,10,1350,1360,2
Towner,0,39,39,0
Traill,0,170,170,0
Unknown,0,3489,3489,0
Walsh,7,460,467,3
Ward,25,2312,2337,19
Wells,2,204,206,1
Williams,10,685,695,10
