County,Cases,Deaths,Recovered,ReportDate
OKLAHOMA,841,33,567,2020-05-04
TULSA,639,34,434,2020-05-04
CLEVELAND,436,29,328,2020-05-04
WASHINGTON,276,23,174,2020-05-04
TEXAS,236,2,74,2020-05-04
WAGONER,122,15,91,2020-05-04
COMANCHE,102,2,66,2020-05-04
CANADIAN,102,3,77,2020-05-04
DELAWARE,91,13,71,2020-05-04
CREEK,80,6,61,2020-05-04
OSAGE,78,8,57,2020-05-04
MCCLAIN,77,2,22,2020-05-04
CADDO,72,8,44,2020-05-04
ROGERS,67,4,42,2020-05-04
GREER,65,6,53,2020-05-04
ADAIR,65,3,40,2020-05-04
POTTAWATOMIE,52,4,34,2020-05-04
KAY,47,7,38,2020-05-04
PAYNE,44,1,39,2020-05-04
GRADY,40,2,28,2020-05-04
PITTSBURG,38,2,21,2020-05-04
OTTAWA,34,1,25,2020-05-04
PAWNEE,29,2,21,2020-05-04
CHEROKEE,27,1,22,2020-05-04
MUSKOGEE,27,6,20,2020-05-04
MAYES,24,4,17,2020-05-04
STEPHENS,22,1,19,2020-05-04
NOWATA,21,0,13,2020-05-04
GARFIELD,19,1,8,2020-05-04
JACKSON,17,0,12,2020-05-04
OKMULGEE,16,0,15,2020-05-04
LOGAN,16,1,12,2020-05-04
LINCOLN,14,1,8,2020-05-04
BEAVER,14,0,4,2020-05-04
TILLMAN,14,0,1,2020-05-04
GARVIN,14,1,11,2020-05-04
LE FLORE,13,0,9,2020-05-04
SEMINOLE,12,2,8,2020-05-04
SEQUOYAH,12,3,7,2020-05-04
CRAIG,12,0,9,2020-05-04
CUSTER,11,0,10,2020-05-04
PONTOTOC,10,2,8,2020-05-04
BRYAN,9,1,3,2020-05-04
KINGFISHER,8,0,7,2020-05-04
MCCURTAIN,8,0,7,2020-05-04
BECKHAM,6,0,3,2020-05-04
NOBLE,6,0,5,2020-05-04
COTTON,5,1,3,2020-05-04
LATIMER,5,1,2,2020-05-04
HASKELL,5,0,4,2020-05-04
KIOWA,5,0,3,2020-05-04
CARTER,4,1,0,2020-05-04
CHOCTAW,3,0,1,2020-05-04
JOHNSTON,3,0,3,2020-05-04
MAJOR,3,1,1,2020-05-04
WOODS,3,0,2,2020-05-04
MCINTOSH,3,0,2,2020-05-04
MARSHALL,2,0,2,2020-05-04
MURRAY,2,0,1,2020-05-04
LOVE,2,0,1,2020-05-04
DEWEY,2,0,2,2020-05-04
GRANT,2,0,2,2020-05-04
JEFFERSON,2,0,2,2020-05-04
ATOKA,1,0,1,2020-05-04
PUSHMATAHA,1,0,0,2020-05-04
WOODWARD,1,0,1,2020-05-04
BLAINE,1,0,0,2020-05-04
OKFUSKEE,1,0,1,2020-05-04
ALFALFA,1,0,1,2020-05-04
HARPER,1,0,1,2020-05-04
CIMARRON,1,0,1,2020-05-04
