County,Cases,Deaths,Recovered,ReportDate
OKLAHOMA,895,40,657,2020-05-07
TULSA,676,36,482,2020-05-07
CLEVELAND,448,32,350,2020-05-07
TEXAS,308,3,117,2020-05-07
WASHINGTON,289,26,200,2020-05-07
WAGONER,125,17,90,2020-05-07
COMANCHE,115,2,68,2020-05-07
CANADIAN,107,3,87,2020-05-07
DELAWARE,92,15,70,2020-05-07
CADDO,89,8,45,2020-05-07
MCCLAIN,84,2,25,2020-05-07
CREEK,82,7,65,2020-05-07
OSAGE,82,8,62,2020-05-07
ADAIR,69,3,43,2020-05-07
ROGERS,69,4,51,2020-05-07
GREER,65,6,55,2020-05-07
POTTAWATOMIE,53,4,35,2020-05-07
KAY,48,7,38,2020-05-07
PAYNE,44,1,40,2020-05-07
GRADY,41,2,36,2020-05-07
PITTSBURG,39,2,23,2020-05-07
OTTAWA,34,1,25,2020-05-07
PAWNEE,29,2,22,2020-05-07
CHEROKEE,29,1,23,2020-05-07
MUSKOGEE,28,6,20,2020-05-07
MAYES,24,4,18,2020-05-07
STEPHENS,22,1,21,2020-05-07
GARFIELD,21,1,9,2020-05-07
NOWATA,21,0,17,2020-05-07
SEMINOLE,19,2,10,2020-05-07
JACKSON,19,0,14,2020-05-07
LOGAN,18,1,13,2020-05-07
BEAVER,17,0,6,2020-05-07
OKMULGEE,17,0,16,2020-05-07
LINCOLN,16,2,8,2020-05-07
TILLMAN,16,0,1,2020-05-07
GARVIN,14,1,11,2020-05-07
SEQUOYAH,13,3,7,2020-05-07
LE FLORE,13,0,9,2020-05-07
CRAIG,13,0,9,2020-05-07
BRYAN,12,1,3,2020-05-07
CUSTER,11,0,11,2020-05-07
PONTOTOC,10,2,8,2020-05-07
MCCURTAIN,8,0,7,2020-05-07
KINGFISHER,8,0,8,2020-05-07
NOBLE,7,0,5,2020-05-07
CARTER,6,1,1,2020-05-07
BECKHAM,6,0,4,2020-05-07
LATIMER,5,1,2,2020-05-07
COTTON,5,1,3,2020-05-07
KIOWA,5,0,3,2020-05-07
HASKELL,5,0,5,2020-05-07
MCINTOSH,4,0,3,2020-05-07
MAJOR,4,1,1,2020-05-07
CHOCTAW,3,0,1,2020-05-07
LOVE,3,0,1,2020-05-07
WOODS,3,0,2,2020-05-07
JOHNSTON,3,0,3,2020-05-07
MURRAY,2,0,1,2020-05-07
GRANT,2,0,2,2020-05-07
MARSHALL,2,0,2,2020-05-07
BLAINE,2,0,0,2020-05-07
DEWEY,2,0,2,2020-05-07
JEFFERSON,2,0,2,2020-05-07
OKFUSKEE,1,0,1,2020-05-07
WOODWARD,1,0,1,2020-05-07
PUSHMATAHA,1,0,1,2020-05-07
ATOKA,1,0,1,2020-05-07
ALFALFA,1,0,1,2020-05-07
HARPER,1,0,1,2020-05-07
CIMARRON,1,0,1,2020-05-07
