County,Total Positive,Total Negative,Total Tested,Total Recovered,Deaths
Adams,0,395,395,0,0
Barnes,9,1003,1012,5,0
Benson,3,745,748,1,0
Billings,0,143,143,0,0
Bottineau,4,352,356,2,0
Bowman,1,398,399,1,0
Burke,5,157,162,5,0
Burleigh,144,8838,8982,120,0
Cass,1930,18423,20353,1610,60
Cavalier,0,248,248,0,0
Dickey,1,347,348,0,0
Divide,1,409,410,1,0
Dunn,11,303,314,11,0
Eddy,5,312,317,4,0
Emmons,4,343,347,3,1
Foster,1,150,151,1,0
Golden Valley,0,285,285,0,0
Grand Forks,339,6100,6439,322,4
Grant,2,121,123,2,0
Griggs,1,189,190,1,0
Hettinger,0,462,462,0,0
Kidder,1,112,113,0,0
LaMoure,1,289,290,0,0
Logan,0,170,170,0,0
McHenry,2,394,396,1,1
McIntosh,1,254,255,1,0
McKenzie,18,804,822,18,0
McLean,8,836,844,7,0
Mercer,6,674,680,6,0
Morton,60,2981,3041,57,2
Mountrail,43,1497,1540,42,0
Nelson,1,311,312,1,0
Oliver,1,80,81,1,0
Pembina,6,581,587,6,0
Pierce,3,423,426,3,0
Ramsey,8,1391,1399,7,1
Ransom,11,768,779,8,0
Renville,3,189,192,3,0
Richland,30,1484,1514,21,0
Rolette,7,1325,1332,5,0
Sargent,4,681,685,3,0
Sheridan,1,147,148,0,0
Sioux,2,561,563,1,0
Slope,3,134,137,3,0
Stark,63,3924,3987,58,2
Steele,1,227,228,1,0
Stutsman,49,3071,3120,20,0
Towner,0,139,139,0,0
Traill,14,1158,1172,8,0
Unknown,0,3702,3702,0,0
Walsh,16,727,743,15,0
Ward,44,6149,6193,37,1
Wells,8,411,419,3,0
Williams,25,2448,2473,25,0
