County,Cases,Deaths,Recovered,ReportDate
OKLAHOMA,1404,64,1205,2020-06-09
TULSA,1261,61,957,2020-06-09
TEXAS,954,6,908,2020-06-09
CLEVELAND,529,39,459,2020-06-09
WASHINGTON,343,37,281,2020-06-09
COMANCHE,311,3,279,2020-06-09
CADDO,174,10,143,2020-06-09
WAGONER,158,17,132,2020-06-09
CANADIAN,143,3,126,2020-06-09
GRADY,115,3,83,2020-06-09
MCCLAIN,110,4,99,2020-06-09
MCCURTAIN,109,1,46,2020-06-09
DELAWARE,103,16,84,2020-06-09
OSAGE,102,8,88,2020-06-09
CREEK,101,7,86,2020-06-09
CHOCTAW,100,1,39,2020-06-09
ADAIR,95,4,81,2020-06-09
ROGERS,89,5,77,2020-06-09
MUSKOGEE,67,7,32,2020-06-09
GREER,66,7,59,2020-06-09
POTTAWATOMIE,65,4,54,2020-06-09
KAY,60,7,46,2020-06-09
CARTER,55,1,40,2020-06-09
PAYNE,52,1,45,2020-06-09
PITTSBURG,43,3,38,2020-06-09
STEPHENS,43,1,38,2020-06-09
BRYAN,40,1,24,2020-06-09
CHEROKEE,37,1,27,2020-06-09
OTTAWA,35,2,33,2020-06-09
MAYES,35,4,27,2020-06-09
CUSTER,35,0,19,2020-06-09
PAWNEE,34,2,29,2020-06-09
GARFIELD,31,1,25,2020-06-09
SEMINOLE,30,2,23,2020-06-09
OKMULGEE,29,0,24,2020-06-09
JACKSON,29,3,22,2020-06-09
BEAVER,27,0,24,2020-06-09
NOWATA,24,1,22,2020-06-09
TILLMAN,23,1,22,2020-06-09
LINCOLN,22,2,20,2020-06-09
LOGAN,21,1,18,2020-06-09
LOVE,21,0,16,2020-06-09
PONTOTOC,20,2,11,2020-06-09
GARVIN,20,1,14,2020-06-09
SEQUOYAH,18,3,12,2020-06-09
LE FLORE,16,1,13,2020-06-09
CRAIG,16,0,15,2020-06-09
MCINTOSH,14,1,11,2020-06-09
KINGFISHER,12,0,11,2020-06-09
MARSHALL,11,0,8,2020-06-09
BLAINE,10,0,8,2020-06-09
WOODWARD,8,0,3,2020-06-09
NOBLE,7,0,7,2020-06-09
BECKHAM,7,0,6,2020-06-09
MAJOR,6,1,5,2020-06-09
MURRAY,6,0,4,2020-06-09
HASKELL,6,0,6,2020-06-09
OKFUSKEE,6,0,5,2020-06-09
KIOWA,6,0,4,2020-06-09
PUSHMATAHA,5,0,2,2020-06-09
ATOKA,5,0,2,2020-06-09
COTTON,5,2,3,2020-06-09
WOODS,5,0,3,2020-06-09
COAL,5,0,1,2020-06-09
LATIMER,5,1,4,2020-06-09
JEFFERSON,4,0,4,2020-06-09
JOHNSTON,3,0,3,2020-06-09
HUGHES,3,0,0,2020-06-09
DEWEY,2,0,2,2020-06-09
GRANT,2,0,2,2020-06-09
WASHITA,2,0,1,2020-06-09
CIMARRON,1,0,1,2020-06-09
HARPER,1,0,1,2020-06-09
ALFALFA,1,0,1,2020-06-09
