"county","as of","cases","deaths","url","notes","tested","pending","negative","positive","inconclusive","positives-travel","Locally Acquired (person to person or community spread)","Known Contact Positives","Community Transmission Positives","unknown/under investigation","recovered","Hospitalized","hospitalized-status","ICU","ICU-status","federal quarantine","Non-Resident Positive Tests","PUI (travelers + others)","travelers completed monitoring","for map?","updated","more granular data avaialble?","race data?"
"Los Angeles","4/12/2020 16:43:52","9192","296","http://publichealth.lacounty.gov/media/Coronavirus/","","47000","","","","","","","","","","","2246","ever","","","","","","","SCNG","","x",""
"Orange","4/12/2020 16:44:55","1277","19","https://occovid19.ochealthinfo.com/coronavirus-in-oc","","13528","","","","","","","","","","","107","current","52","current","","","","","SCNG","","x",""
"Riverside","4/12/2020 16:45:52","1619","41","https://www.rivcoph.org/coronavirus","","","","","","","","","","","","194","","","","","","","","","SCNG","","x",""
"San Benito","4/12/2020 16:47:46","35","2","https://hhsa.cosb.us/publichealth/communicable-disease/coronavirus/","","526","25","466","35","","","","","","","27","","","","","","","","","SCNG","","",""
"Alpine","4/10/2020 17:49:43","1","0","http://alpinecountyca.gov/AlertCenter.aspx?AID=COVID19-CASES-12","","6","1","4","2","","","","","","","1","","","","","","1","","","","","",""
"Amador","4/10/2020 17:49:58","7","0","https://www.amadorgov.org/services/covid-19/-fsiteid-1","""Amador County Public Health has confirmed 1 county resident traveling abroad has been diagnosed with novel coronavirus (COVID-19). This individual has not been at home in the county.""","","","","","","","","","","","2","2","","","","","","","","","","",""
"Butte","4/10/2020 17:50:14","14","0","http://www.buttecounty.net/publichealth/Home/fbclid/IwAR3fSGcPIbTuP9oMALIinPe68ft2E_vscQm2hDlGwwyilvdXog7KZwY9vTw","","","","","","","2","","","","3","","","","","","","","","","","","",""
"Calaveras","4/10/2020 17:50:40","8","0","https://covid19.calaverasgov.us/","","","","","","","","","","","","2","","","","","","","","","","","",""
"Colusa","4/10/2020 17:51:14","3","0","http://countyofcolusa.org/99/Public-Health","","","","","","","","","","","","","","","","","","","","","","","",""
"Del Norte","4/11/2020 16:56:42","2","0","http://www.co.del-norte.ca.us/departments/health-human-services/public-health","*these represent ""approximate"" number of tests","162","3","157","2","","","","","","","","","","","","","","","","","","",""
"El Dorado","4/12/2020 16:50:35","32","0","https://www.edcgov.us/Government/hhsa/Pages/EDCCOVID-19-Cases.aspx","they say there are ""more than 50"" pending results","1125","","1093","32","","","","","","","16","","","","","","","","","","","",""
"Fresno","4/11/2020 17:11:48","201","5","https://www.co.fresno.ca.us/departments/public-health/covid-19","fresno has stats on people who have been monitored and those who are currently being monitored","2833","","","","","","","","","","31","49","ever","","","","","","","","","x",""
"Glenn","4/10/2020 17:53:11","3","0","https://www.countyofglenn.net/dept/health-human-services/public-health/covid-19","","56","","53","3","","","","","","","2","0","","","","","","","","","","",""
"Humboldt","4/11/2020 17:04:23","50","0","https://humboldtgov.org/2707/COVID-Test-Results","","1367","","","","","","","","","","","3","","","","","","","","","","",""
"Imperial","4/12/2020 16:54:03","87","3","http://www.icphd.org/health-information-and-resources/healthy-facts/covid-19/","*(positives) Includes results from private laboratories. ∞(pending) Pending results for Public Health Laboratory testing only.","675","","","","","","","","","","25","","","","","","","","","","","",""
"Inyo","4/10/2020 17:54:42","12","0","https://www.inyocounty.us/covid-19/press-releases","(the testing data is behind the case data, hence 2 positive tests reported, but 1 test reported)","","28","116","12","","","","","","","","","","","","","","","","","","",""
"Kern","4/12/2020 16:55:30","396","3","https://kernpublichealth.com/2019-novel-coronavirus/","we no longer include the non-residents listed","6450","2534","3512","404","","","","","","","","","","","","","8","","","","","x",""
"Kings","4/12/2020 16:56:07","10","0","https://www.countyofkings.com/departments/health-welfare/public-health/coronavirus-disease-2019-covid-19","The number above indicating how many samples have been collected is the number of samples that our department has collected.","568","","529","","","2","","5","","","","","","","","","","","","","","",""
"Lake","4/10/2020 17:57:09","4","0","http://health.co.lake.ca.us/Coronavirus.htm","","","","238","","","","","","","","","","","","","","","","","","","",""
"Lassen","4/12/2020 16:57:05","0","0","https://lassencares.org/","","82","21","61","0","","","","","","","","","","","","","","","","","","",""
"Madera","4/12/2020 16:58:50","33","2","https://www.maderacounty.com/government/public-health/corona-virus-covid-19/covid-revised","pending tests only from the public health lab","409","","","","","","","","","","11","","","","","","","","","","","",""
"Mariposa","4/12/2020 16:59:06","0","0","https://www.mariposacounty.org/1592/COVID-19-Information","These numbers do not include additional testing through the commercial lab system, hospitals and clinics. Although Mariposa County Public Health does not receive information on the number of tests sent through those systems, Public Health is notified of all positive result tests.","76","5","71","0","","","","","","","","","","","","","","","","","","",""
"Mendocino","4/12/2020 16:59:44","4","0","https://www.mendocinocounty.org/community/novel-coronavirus","","380","20","356","4","","","","","","","4","","","","","","","","","","","",""
"Merced","4/12/2020 17:00:31","65","3","http://www.co.merced.ca.us/3362/Coronavirus-Media","","","","","","","","","","","","16","","","","","","","","","","","",""
"Modoc","4/11/2020 16:54:00","0","0","https://www.modocsheriff.us/modoc-covid-19-incident-updates","they weirdly link to the sheriff instead of the public health department","43","7","36","0","","","","","","","","","","","","","","","","","","",""
"Mono","4/12/2020 17:01:41","23","1","https://coronavirus.monocounty.ca.gov/","Their numbers are reported on the Inyo county page.","120","5","95","23","","","","","","","","","","","","","","","","","","",""
"Monterey","4/12/2020 17:02:10","87","3","https://www.co.monterey.ca.us/government/departments-a-h/health/diseases/2019-novel-coronavirus-2019-ncov/2019-novel-coronavirus-2019-ncov-local-data","Number of tests only updated on Mondays, according to their site. Total number of tests only results received.","1845","","","","","","","","","","15","20","","","","","","","","","","x",""
"Nevada","4/9/2020 18:13:18","34","1","https://www.mynevadacounty.com/2956/COVID-19-Cases-in-Nevada-County","","","","","","","2","","","4","2","","","","","","","","","","","","x",""
"Placer","4/12/2020 17:03:30","124","4","https://www.placer.ca.gov/6448/Cases-in-Placer","","","","2517","","","","","","","","","19","","7","","","","","","","","x",""
"Plumas","4/12/2020 18:00:50","4","0","https://www.plumascounty.us/2669/Novel-Coronavirus-2019","positive cases updated, but not testing results","265","31","230","4","","","","","","","","","","","","","","","","","","",""
"Sacramento","4/12/2020 18:00:12","707","26","https://www.saccounty.net/COVID-19/Pages/default.aspx","","","","","","","","","","","","","","","","","","","","","","","x (zip code)",""
"San Bernardino","4/12/2020 18:00:02","887","31","http://wp.sbcounty.gov/dph/coronavirus/","","7954","","","","","","","","","","","","","","","","","","","","","x",""
"San Diego","4/12/2020 17:59:20","1804","45","https://www.sandiegocounty.gov/content/sdc/hhsa/programs/phs/community_epidemiology/dc/2019-nCoV/status.html","","25234","","","","","","","","","","","415","","152","","","","","","","","x","x"
"San Joaquin","4/12/2020 17:58:27","273","16","http://www.sjcphs.org/","","","","","","","","","","","","","","","","","","","","","","","x",""
"San Luis Obispo","4/12/2020 17:58:12","114","1","https://www.emergencyslo.org/en/positive-case-details.aspx","Testing numbers don't include private labs positives or negatives.","716","","","","","","","","","","95","2","current","2","current","","","","","","","x",""
"Santa Barbara","4/12/2020 17:56:48","267","2","https://publichealthsbc.org/","","1798","","1528","267","3","","","","","","105","39","current","17","current","","","","","","","x",""
"Shasta","4/12/2020 17:54:29","24","3","https://www.co.shasta.ca.us/index/hhsa/health-safety/current-heath-concerns/coronavirus","Numbers are in a video report.","","","671","24","","","","","","","3","","","","","","","","","","","",""
"Sierra","4/11/2020 16:54:17","0","0","http://www.sierracounty.ca.gov/582/Coronavirus-COVID-19","","9","0","9","0","","","","","","","","","","","","","","","","","","",""
"Siskiyou","4/11/2020 16:58:26","5","0","https://www.co.siskiyou.ca.us/publichealth","","157","9","143","5","","","","","","","3","","","","","","","","","","","",""
"Stanislaus","4/12/2020 17:53:40","131","2","http://schsa.org/publichealth/pages/corona-virus/","","","","2405","","","","","","","","77","","","","","","","","","","","x",""
"Sutter","4/12/2020 17:49:00","22","2","https://www.suttercounty.org/doc/government/depts/cao/em/coronavirus","Yuba and Sutter appear to report together to a certain extent. Testing is reported together, so I'm placing it in sutter/","972","178","","","","","","","","","","3/1","ever/currently","","","","","","","","","",""
"Tehama","4/10/2020 17:08:36","1","0","https://www.tehamacohealthservices.net/","","","","150","","","","","","","","","","","","","","","","","","","",""
"Trinity","","0","0","https://www.trinitycounty.org/Public-Health","","58","","58","","","","","","","","","","","","","","","","","","","",""
"Tulare","4/11/2020 17:12:11","227","11","https://tchhsa.org/eng/index.cfm/public-health/covid-19-updates-novel-coronavirus/","","","","","","","","","","","","11","","","","","","","","","","","x",""
"Tuolumne","4/12/2020 17:51:50","1","0","https://www.tuolumnecounty.ca.gov/250/Public-Health","","314","6","307","1","","","","","","","","","","","","","1","","","","","",""
"Ventura","4/12/2020 17:50:59","314","10","https://www.vcemergency.com/","","5522","","","","","","","","","","172","64","ever","","","","","","","","","x",""
"Yolo","4/12/2020 17:50:43","93","3","https://www.yolocounty.org/health-human-services/adults/communicable-disease-investigation-and-control/novel-coronavirus-2019","","895","","","","","","","","","","","21","ever","","","","","","","","","",""
"Yuba","4/12/2020 17:48:51","15","1","https://www.yuba.org/coronavirus/","Yuba and Sutter appear to report together to a certain extent, and info is easier to find on the Sutter county website.","","","","","","","","","","","","3/1","ever/currently","","","","","","","","","",""
