OBJECTID,STAETFP,COUNTYFP,GEOID,COUNTY,LABEL,FULL_,County_Pos_Cases,County_Population,County_Rate_Per_100_000,State_Population,State_Pos_Unknown,State_Pos_Cases,Data_Source,Date_Data_Last_Updated,State_Number_Tested,State_Number_Hospitalizations,State_Deaths,State_Number_of_Counties_Pos,State_Rate_Per_100000,Shape__Area,Shape__Length,State_Number_Outbreaks
1,08,109,08109,SAGUACHE,Saguache,Saguache County,3,6837,-1,5695430,175,6893,Colorado Department of Public Health and Environment - Number of Positive COVID-19 Cases by County,"Data through April 10, 2020",34873,1376,274,56,121.05,13273871024.1289,529491.079018544,67
2,08,115,08115,SEDGWICK,Sedgwick,Sedgwick County,0,2275,0,5695430,175,6893,Colorado Department of Public Health and Environment - Number of Positive COVID-19 Cases by County,"Data through April 10, 2020",34873,1376,274,56,121.05,2491281577.11719,208249.56871408,67
3,08,017,08017,CHEYENNE,Cheyenne,Cheyenne County,0,1862,0,5695430,175,6893,Colorado Department of Public Health and Environment - Number of Positive COVID-19 Cases by County,"Data through April 10, 2020",34873,1376,274,56,121.05,7613550869.75391,373455.831824096,67
4,08,027,08027,CUSTER,Custer,Custer County,2,4928,-1,5695430,175,6893,Colorado Department of Public Health and Environment - Number of Positive COVID-19 Cases by County,"Data through April 10, 2020",34873,1376,274,56,121.05,3100361575.17578,290994.589030107,67
5,08,067,08067,LA PLATA,La Plata,La Plata County,43,56403,76.24,5695430,175,6893,Colorado Department of Public Health and Environment - Number of Positive COVID-19 Cases by County,"Data through April 10, 2020",34873,1376,274,56,121.05,6966607866.58203,371001.027724019,67
6,08,111,08111,SAN JUAN,San Juan,San Juan County,0,762,0,5695430,175,6893,Colorado Department of Public Health and Environment - Number of Positive COVID-19 Cases by County,"Data through April 10, 2020",34873,1376,274,56,121.05,1611963627.42969,209303.346789561,67
7,08,097,08097,PITKIN,Pitkin,Pitkin County,49,17879,274.06,5695430,175,6893,Colorado Department of Public Health and Environment - Number of Positive COVID-19 Cases by County,"Data through April 10, 2020",34873,1376,274,56,121.05,4204962607.14063,360368.050497512,67
8,08,093,08093,PARK,Park,Park County,6,18557,32.33,5695430,175,6893,Colorado Department of Public Health and Environment - Number of Positive COVID-19 Cases by County,"Data through April 10, 2020",34873,1376,274,56,121.05,9525822458.41406,477017.520520283,67
9,08,003,08003,ALAMOSA,Alamosa,Alamosa County,7,16184,43.25,5695430,175,6893,Colorado Department of Public Health and Environment - Number of Positive COVID-19 Cases by County,"Data through April 10, 2020",34873,1376,274,56,121.05,2987314188.43359,224661.437209443,67
10,08,099,08099,PROWERS,Prowers,Prowers County,1,12078,-1,5695430,175,6893,Colorado Department of Public Health and Environment - Number of Positive COVID-19 Cases by County,"Data through April 10, 2020",34873,1376,274,56,121.05,6861386117.78516,333326.752196427,67
11,08,081,08081,MOFFAT,Moffat,Moffat County,3,13181,-1,5695430,175,6893,Colorado Department of Public Health and Environment - Number of Positive COVID-19 Cases by County,"Data through April 10, 2020",34873,1376,274,56,121.05,21378597682.3633,615436.363722786,67
12,08,059,08059,JEFFERSON,Jefferson,Jefferson County,713,579491,123.04,5695430,175,6893,Colorado Department of Public Health and Environment - Number of Positive COVID-19 Cases by County,"Data through April 10, 2020",34873,1376,274,56,121.05,3379799618.59766,374132.11754513,67
13,08,117,08117,SUMMIT,Summit,Summit County,68,30973,219.55,5695430,175,6893,Colorado Department of Public Health and Environment - Number of Positive COVID-19 Cases by County,"Data through April 10, 2020",34873,1376,274,56,121.05,2707648429.75781,325660.775440309,67
14,08,101,08101,PUEBLO,Pueblo,Pueblo County,53,167116,31.71,5695430,175,6893,Colorado Department of Public Health and Environment - Number of Positive COVID-19 Cases by County,"Data through April 10, 2020",34873,1376,274,56,121.05,10064732291.2969,426421.345889861,67
15,08,013,08013,BOULDER,Boulder,Boulder County,246,325476,75.58,5695430,175,6893,Colorado Department of Public Health and Environment - Number of Positive COVID-19 Cases by County,"Data through April 10, 2020",34873,1376,274,56,121.05,3280791024.07031,290982.502053684,67
16,08,031,08031,DENVER,Denver,Denver County,1182,717797,164.67,5695430,175,6893,Colorado Department of Public Health and Environment - Number of Positive COVID-19 Cases by County,"Data through April 10, 2020",34873,1376,274,56,121.05,680063925.65625,341638.127461467,67
17,08,085,08085,MONTROSE,Montrose,Montrose County,50,42260,118.32,5695430,175,6893,Colorado Department of Public Health and Environment - Number of Positive COVID-19 Cases by County,"Data through April 10, 2020",34873,1376,274,56,121.05,9473395348.78906,544456.741798932,67
18,08,037,08037,EAGLE,Eagle,Eagle County,433,54863,789.24,5695430,175,6893,Colorado Department of Public Health and Environment - Number of Positive COVID-19 Cases by County,"Data through April 10, 2020",34873,1376,274,56,121.05,7395854605.48047,390147.77807481,67
