County,Total Positive,Total Negative,Unique Individuals Tested,Total Recovered,Deaths
Adams,0,591,591,0,0
Barnes,27,1947,1974,26,0
Benson,27,1485,1512,14,1
Billings,1,223,224,1,0
Bottineau,7,780,787,5,0
Bowman,1,712,713,1,0
Burke,8,268,276,7,0
Burleigh,595,18193,18788,432,1
Cass,2673,30994,33667,2452,74
Cavalier,24,783,807,18,0
Dickey,8,567,575,7,0
Divide,1,450,451,1,0
Dunn,27,445,472,20,0
Eddy,5,514,519,5,0
Emmons,9,467,476,3,1
Foster,3,388,391,3,0
Golden Valley,2,371,373,1,0
Grand Forks,549,11953,12502,446,4
Grant,4,250,254,4,0
Griggs,4,303,307,2,0
Hettinger,6,568,574,1,0
Kidder,4,228,232,3,0
LaMoure,14,761,775,13,0
Logan,1,364,365,1,0
McHenry,11,584,595,7,1
McIntosh,11,762,773,7,0
McKenzie,56,1294,1350,36,0
McLean,14,1663,1677,11,0
Mercer,13,947,960,9,0
Morton,175,5269,5444,123,3
Mountrail,93,2404,2497,60,1
Nelson,3,474,477,2,0
Oliver,3,138,141,2,0
Pembina,21,1287,1308,16,0
Pierce,8,663,671,7,0
Ramsey,26,2250,2276,19,1
Ransom,23,1054,1077,20,0
Renville,8,260,268,5,0
Richland,53,2076,2129,48,0
Rolette,13,2693,2706,12,0
Sargent,8,877,885,8,0
Sheridan,4,202,206,3,0
Sioux,46,1414,1460,38,0
Slope,3,137,140,3,0
Stark,122,5838,5960,100,3
Steele,6,292,298,3,0
Stutsman,76,4374,4450,67,2
Towner,4,248,252,3,0
Traill,33,1574,1607,26,0
Unknown,0,3118,3118,0,0
Walsh,83,2990,3073,51,0
Ward,114,8893,9007,74,1
Wells,11,532,543,11,0
Williams,166,4174,4340,82,1
