County,Cases,Deaths,Recovered,ReportDate
OKLAHOMA,816,31,549,2020-05-01
TULSA,584,33,405,2020-05-01
CLEVELAND,426,29,300,2020-05-01
WASHINGTON,263,22,136,2020-05-01
TEXAS,138,1,40,2020-05-01
WAGONER,120,15,91,2020-05-01
CANADIAN,98,3,74,2020-05-01
DELAWARE,91,13,71,2020-05-01
COMANCHE,81,2,62,2020-05-01
CREEK,80,6,60,2020-05-01
OSAGE,76,8,54,2020-05-01
MCCLAIN,74,2,18,2020-05-01
ADAIR,65,3,37,2020-05-01
GREER,65,6,48,2020-05-01
CADDO,64,7,41,2020-05-01
ROGERS,60,4,36,2020-05-01
POTTAWATOMIE,48,4,32,2020-05-01
KAY,47,7,38,2020-05-01
PAYNE,44,1,39,2020-05-01
GRADY,36,2,22,2020-05-01
OTTAWA,34,1,25,2020-05-01
PITTSBURG,32,2,19,2020-05-01
PAWNEE,29,2,21,2020-05-01
MUSKOGEE,27,5,20,2020-05-01
CHEROKEE,27,1,21,2020-05-01
MAYES,24,4,16,2020-05-01
STEPHENS,22,1,19,2020-05-01
NOWATA,21,0,12,2020-05-01
GARFIELD,17,1,8,2020-05-01
OKMULGEE,16,0,14,2020-05-01
JACKSON,16,0,11,2020-05-01
LOGAN,16,1,10,2020-05-01
GARVIN,14,1,11,2020-05-01
LINCOLN,12,0,8,2020-05-01
SEQUOYAH,12,3,7,2020-05-01
SEMINOLE,11,2,4,2020-05-01
CRAIG,11,0,7,2020-05-01
LE FLORE,11,0,6,2020-05-01
CUSTER,10,0,10,2020-05-01
PONTOTOC,10,2,8,2020-05-01
BEAVER,9,0,0,2020-05-01
KINGFISHER,8,0,6,2020-05-01
BRYAN,8,1,3,2020-05-01
MCCURTAIN,8,0,8,2020-05-01
NOBLE,6,0,5,2020-05-01
COTTON,5,1,3,2020-05-01
BECKHAM,5,0,2,2020-05-01
KIOWA,5,0,2,2020-05-01
LATIMER,5,1,2,2020-05-01
HASKELL,4,0,2,2020-05-01
JOHNSTON,3,0,3,2020-05-01
CARTER,3,1,0,2020-05-01
WOODS,3,0,1,2020-05-01
MAJOR,3,1,1,2020-05-01
CHOCTAW,3,0,1,2020-05-01
JEFFERSON,2,0,2,2020-05-01
DEWEY,2,0,2,2020-05-01
MCINTOSH,2,0,2,2020-05-01
TILLMAN,2,0,1,2020-05-01
GRANT,2,0,2,2020-05-01
MARSHALL,2,0,2,2020-05-01
LOVE,2,0,1,2020-05-01
ATOKA,1,0,1,2020-05-01
WOODWARD,1,0,1,2020-05-01
OKFUSKEE,1,0,1,2020-05-01
PUSHMATAHA,1,0,0,2020-05-01
CIMARRON,1,0,0,2020-05-01
HARPER,1,0,1,2020-05-01
ALFALFA,1,0,1,2020-05-01
MURRAY,1,0,1,2020-05-01
