County,Total Positive,Total Negative,Total Tested,Total Recovered
Adams,0,32,32,0
Barnes,4,158,162,3
Benson,0,355,355,0
Billings,0,20,20,0
Bottineau,0,122,122,0
Bowman,1,182,183,1
Burke,3,60,63,2
Burleigh,79,2641,2720,49
Cass,542,6244,6786,213
Cavalier,0,42,42,0
Dickey,0,40,40,0
Divide,1,53,54,1
Dunn,10,141,151,6
Eddy,1,61,62,1
Emmons,1,66,67,0
Foster,1,38,39,1
Golden Valley,0,26,26,0
Grand Forks,262,3438,3700,68
Grant,1,33,34,1
Griggs,0,30,30,0
Hettinger,0,144,144,0
Kidder,0,31,31,0
LaMoure,0,50,50,0
Logan,0,36,36,0
McHenry,1,100,101,0
McIntosh,1,64,65,1
McKenzie,13,325,338,10
McLean,3,249,252,3
Mercer,0,143,143,0
Morton,24,838,862,16
Mountrail,35,980,1015,30
Nelson,1,146,147,0
Oliver,1,23,24,1
Pembina,3,141,144,0
Pierce,2,63,65,2
Ramsey,3,319,322,3
Ransom,1,93,94,0
Renville,1,46,47,0
Richland,7,254,261,7
Rolette,1,167,168,1
Sargent,1,77,78,1
Sheridan,0,22,22,0
Sioux,1,71,72,1
Slope,3,125,128,3
Stark,52,2400,2452,23
Steele,0,34,34,0
Stutsman,7,948,955,2
Towner,0,39,39,0
Traill,0,166,166,0
Unknown,0,3361,3361,0
Walsh,7,445,452,3
Ward,21,1877,1898,19
Wells,2,204,206,1
Williams,10,655,665,9
