ï»¿OBJECTID,FULL_,GEOID,LABEL,STAETFP,COUNTY,COUNTYFP,County_Pos_Cases,County_Population,County_Rate_Per_100_000,County_Pos_Cases_Yesterday,County_Pos_Cases_Change,County_Deaths,County_Deaths_Yesterday,County_Deaths_Change,State_Pos_Cases,State_Population,State_Rate_Per_100000,State_Deaths,State_Number_Hospitalizations,State_Number_Tested,State_Number_of_Counties_Pos,State_Number_of_Outbreaks,Data_Source,Date_Data_Last_Updated,Shape__Area,Shape__Length
1,Saguache County,08109,Saguache,08,SAGUACHE,109,3,6837,-1,3,0,,,,15768,5694287,276.91,820,2747,75259,56,161,Colorado Department of Public Health and Environment,"Data through April 30, 2020",13273871024.1289,529491.079018544
2,Sedgwick County,08115,Sedgwick,08,SEDGWICK,115,0,2275,0,0,0,,,,15768,5694287,276.91,820,2747,75259,56,161,Colorado Department of Public Health and Environment,"Data through April 30, 2020",2491281577.11719,208249.56871408
3,Cheyenne County,08017,Cheyenne,08,CHEYENNE,017,0,1862,0,0,0,,,,15768,5694287,276.91,820,2747,75259,56,161,Colorado Department of Public Health and Environment,"Data through April 30, 2020",7613550869.75391,373455.831824096
4,Custer County,08027,Custer,08,CUSTER,027,2,4928,-1,2,0,,,,15768,5694287,276.91,820,2747,75259,56,161,Colorado Department of Public Health and Environment,"Data through April 30, 2020",3100361575.17578,290994.589030107
5,La Plata County,08067,La Plata,08,LA PLATA,067,63,56403,111.7,62,1,,,,15768,5694287,276.91,820,2747,75259,56,161,Colorado Department of Public Health and Environment,"Data through April 30, 2020",6966607866.58203,371001.027724019
6,San Juan County,08111,San Juan,08,SAN JUAN,111,0,762,0,0,0,,,,15768,5694287,276.91,820,2747,75259,56,161,Colorado Department of Public Health and Environment,"Data through April 30, 2020",1611963627.42969,209303.346789561
7,Pitkin County,08097,Pitkin,08,PITKIN,097,51,17879,285.25,65,-14,2,2,0,15768,5694287,276.91,820,2747,75259,56,161,Colorado Department of Public Health and Environment,"Data through April 30, 2020",4204962607.14063,360368.050497512
8,Park County,08093,Park,08,PARK,093,13,18557,70.05,11,2,,,,15768,5694287,276.91,820,2747,75259,56,161,Colorado Department of Public Health and Environment,"Data through April 30, 2020",9525822458.41406,477017.520520283
9,Alamosa County,08003,Alamosa,08,ALAMOSA,003,10,16184,61.79,10,0,2,2,0,15768,5694287,276.91,820,2747,75259,56,161,Colorado Department of Public Health and Environment,"Data through April 30, 2020",2987314188.43359,224661.437209443
10,Prowers County,08099,Prowers,08,PROWERS,099,1,12078,-1,1,0,,,,15768,5694287,276.91,820,2747,75259,56,161,Colorado Department of Public Health and Environment,"Data through April 30, 2020",6861386117.78516,333326.752196427
11,Moffat County,08081,Moffat,08,MOFFAT,081,6,13181,45.52,6,0,,,,15768,5694287,276.91,820,2747,75259,56,161,Colorado Department of Public Health and Environment,"Data through April 30, 2020",21378597682.3633,615436.363722786
12,Jefferson County,08059,Jefferson,08,JEFFERSON,059,1373,579491,236.93,1338,35,80,73,7,15768,5694287,276.91,820,2747,75259,56,161,Colorado Department of Public Health and Environment,"Data through April 30, 2020",3379799618.59766,374132.11754513
13,Summit County,08117,Summit,08,SUMMIT,117,130,30973,419.72,128,2,1,1,0,15768,5694287,276.91,820,2747,75259,56,161,Colorado Department of Public Health and Environment,"Data through April 30, 2020",2707648429.75781,325660.775440309
14,Pueblo County,08101,Pueblo,08,PUEBLO,101,146,167116,87.36,139,7,10,10,0,15768,5694287,276.91,820,2747,75259,56,161,Colorado Department of Public Health and Environment,"Data through April 30, 2020",10064732291.2969,426421.345889861
15,Boulder County,08013,Boulder,08,BOULDER,013,618,325476,189.88,580,38,40,40,0,15768,5694287,276.91,820,2747,75259,56,161,Colorado Department of Public Health and Environment,"Data through April 30, 2020",3280791024.07031,290982.502053684
16,Denver County,08031,Denver,08,DENVER,031,3092,717797,430.76,3001,91,163,154,9,15768,5694287,276.91,820,2747,75259,56,161,Colorado Department of Public Health and Environment,"Data through April 30, 2020",680063925.65625,341638.127461467
17,Montrose County,08085,Montrose,08,MONTROSE,085,98,42260,231.9,96,2,11,11,0,15768,5694287,276.91,820,2747,75259,56,161,Colorado Department of Public Health and Environment,"Data through April 30, 2020",9473395348.78906,544456.741798932
18,Eagle County,08037,Eagle,08,EAGLE,037,544,54863,991.56,550,-6,7,7,0,15768,5694287,276.91,820,2747,75259,56,161,Colorado Department of Public Health and Environment,"Data through April 30, 2020",7395854605.48047,390147.77807481
19,San Miguel County,08113,San Miguel,08,SAN MIGUEL,113,19,8177,232.36,19,0,,,,15768,5694287,276.91,820,2747,75259,56,161,Colorado Department of Public Health and Environment,"Data through April 30, 2020",5384599734.96484,409162.439815051
20,Costilla County,08023,Costilla,08,COSTILLA,023,3,3809,-1,3,0,,,,15768,5694287,276.91,820,2747,75259,56,161,Colorado Department of Public Health and Environment,"Data through April 30, 2020",5044736712.28125,326902.580049715
21,Broomfield County,08014,Broomfield,08,BROOMFIELD,014,157,69453,226.05,150,7,11,9,2,15768,5694287,276.91,820,2747,75259,56,161,Colorado Department of Public Health and Environment,"Data through April 30, 2020",148046030.359375,146355.830495437
