Report Date,FIPS,Locality,Health District,Total Cases
4/3/2020,51003,Albemarle,Thomas Jefferson,26
4/3/2020,51009,Amherst,Central Virginia,6
4/3/2020,51011,Appomattox,Central Virginia,0
4/3/2020,51013,Arlington,Arlington,135
4/3/2020,51015,Augusta,Central Shenandoah,4
4/3/2020,51019,Bedford,Central Virginia,3
4/3/2020,51021,Bland,Mount Rogers,0
4/3/2020,51025,Brunswick,Southside,1
4/3/2020,51027,Buchanan,Cumberland Plateau,0
4/3/2020,51029,Buckingham,Piedmont,3
4/3/2020,51031,Campbell,Central Virginia,2
4/3/2020,51033,Caroline,Rappahannock,1
4/3/2020,51035,Carroll,Mount Rogers,1
4/3/2020,51036,Charles City,Chickahominy,4
4/3/2020,51037,Charlotte,Piedmont,0
4/3/2020,51043,Clarke,Lord Fairfax,2
4/3/2020,51047,Culpeper,Rappahannock Rapidan,7
4/3/2020,51049,Cumberland,Piedmont,1
4/3/2020,51053,Dinwiddie,Crater,0
4/3/2020,51057,Essex,Three Rivers,0
4/3/2020,51077,Grayson,Mount Rogers,0
4/3/2020,51079,Greene,Thomas Jefferson,1
4/3/2020,51081,Greensville,Crater,4
4/3/2020,51083,Halifax,Southside,1
4/3/2020,51085,Hanover,Chickahominy,12
4/3/2020,51087,Henrico,Henrico,112
4/3/2020,51091,Highland,Central Shenandoah,0
4/3/2020,51093,Isle of Wight,Western Tidewater,11
4/3/2020,51097,King and Queen,Three Rivers,1
4/3/2020,51105,Lee,Lenowisco,2
4/3/2020,51109,Louisa,Thomas Jefferson,12
4/3/2020,51111,Lunenburg,Piedmont,0
4/3/2020,51113,Madison,Rappahannock Rapidan,2
4/3/2020,51115,Mathews,Three Rivers,2
4/3/2020,51119,Middlesex,Three Rivers,0
4/3/2020,51127,New Kent,Chickahominy,6
4/3/2020,51131,Northampton,Eastern Shore,2
4/3/2020,51133,Northumberland,Three Rivers,3
4/3/2020,51141,Patrick,West Piedmont,0
4/3/2020,51143,Pittsylvania,Pittsylvania-Danville,1
4/3/2020,51145,Powhatan,Chesterfield,4
4/3/2020,51149,Prince George,Crater,10
4/3/2020,51153,Prince William,Prince William,131
4/3/2020,51155,Pulaski,New River,1
