County,Total Positive,Total Negative,Unique Individuals Tested,Total Recovered,Deaths
Adams,0,462,462,0,0
Barnes,18,1306,1324,9,0
Benson,3,1028,1031,3,0
Billings,1,157,158,0,0
Bottineau,5,642,647,4,0
Bowman,1,439,440,1,0
Burke,5,181,186,5,0
Burleigh,214,12061,12275,168,0
Cass,2165,23543,25708,2010,65
Cavalier,2,399,401,0,0
Dickey,4,436,440,2,0
Divide,1,423,424,1,0
Dunn,13,346,359,11,0
Eddy,5,459,464,5,0
Emmons,4,374,378,3,1
Foster,2,303,305,1,0
Golden Valley,0,297,297,0,0
Grand Forks,366,7255,7621,341,4
Grant,2,226,228,2,0
Griggs,2,250,252,1,0
Hettinger,0,507,507,0,0
Kidder,2,153,155,2,0
LaMoure,11,359,370,7,0
Logan,0,290,290,0,0
McHenry,3,453,456,2,1
McIntosh,1,660,661,1,0
McKenzie,25,908,933,21,0
McLean,11,1200,1211,11,0
Mercer,6,762,768,6,0
Morton,72,3715,3787,66,2
Mountrail,43,1586,1629,43,0
Nelson,1,396,397,1,0
Oliver,1,94,95,1,0
Pembina,9,671,680,7,0
Pierce,4,472,476,4,0
Ramsey,11,1697,1708,7,1
Ransom,16,947,963,13,0
Renville,4,209,213,3,0
Richland,39,1691,1730,35,0
Rolette,9,1714,1723,8,0
Sargent,4,751,755,4,0
Sheridan,1,178,179,1,0
Sioux,20,1209,1229,4,0
Slope,3,135,138,3,0
Stark,68,4387,4455,61,2
Steele,1,240,241,1,0
Stutsman,62,3952,4014,54,1
Towner,0,163,163,0,0
Traill,15,1245,1260,15,0
Unknown,0,2415,2415,0,0
Walsh,19,1329,1348,17,0
Ward,54,7087,7141,46,1
Wells,8,455,463,7,0
Williams,26,2710,2736,26,0
