County,Total Positive,Total Negative,Unique Individuals Tested,Total Recovered,Deaths
Adams,0,460,460,0,0
Barnes,16,1234,1250,9,0
Benson,3,1012,1015,2,0
Billings,1,156,157,0,0
Bottineau,5,625,630,3,0
Bowman,1,434,435,1,0
Burke,5,169,174,5,0
Burleigh,192,11413,11605,145,0
Cass,2118,22651,24769,1922,64
Cavalier,1,384,385,0,0
Dickey,4,429,433,1,0
Divide,1,421,422,1,0
Dunn,12,326,338,11,0
Eddy,5,459,464,5,0
Emmons,4,364,368,3,1
Foster,1,296,297,1,0
Golden Valley,0,295,295,0,0
Grand Forks,361,6986,7347,335,4
Grant,2,218,220,2,0
Griggs,1,240,241,1,0
Hettinger,0,503,503,0,0
Kidder,2,145,147,2,0
LaMoure,10,345,355,6,0
Logan,0,286,286,0,0
McHenry,3,430,433,1,1
McIntosh,1,585,586,1,0
McKenzie,24,885,909,18,0
McLean,11,1172,1183,11,0
Mercer,6,752,758,6,0
Morton,70,3530,3600,60,2
Mountrail,43,1554,1597,43,0
Nelson,1,391,392,1,0
Oliver,1,89,90,1,0
Pembina,7,651,658,7,0
Pierce,4,459,463,3,0
Ramsey,8,1542,1550,7,1
Ransom,13,938,951,12,0
Renville,3,201,204,3,0
Richland,38,1661,1699,30,0
Rolette,8,1700,1708,7,0
Sargent,4,744,748,4,0
Sheridan,1,177,178,1,0
Sioux,12,797,809,2,0
Slope,3,135,138,3,0
Stark,67,4251,4318,60,2
Steele,1,236,237,1,0
Stutsman,60,3494,3554,40,0
Towner,0,158,158,0,0
Traill,15,1228,1243,14,0
Unknown,0,2496,2496,0,0
Walsh,17,1305,1322,16,0
Ward,51,6467,6518,43,1
Wells,8,446,454,6,0
Williams,26,2655,2681,26,0
