County,Total Positive,Total Negative,Unique Individuals Tested,Total Recovered,Deaths
Adams,0,464,464,0,0
Barnes,18,1324,1342,9,0
Benson,3,1035,1038,3,0
Billings,1,157,158,0,0
Bottineau,5,650,655,4,0
Bowman,1,441,442,1,0
Burke,5,182,187,5,0
Burleigh,217,12149,12366,174,0
Cass,2171,23737,25908,2014,65
Cavalier,2,403,405,0,0
Dickey,4,438,442,2,0
Divide,1,425,426,1,0
Dunn,13,349,362,12,0
Eddy,5,460,465,5,0
Emmons,4,374,378,3,1
Foster,2,305,307,1,0
Golden Valley,0,298,298,0,0
Grand Forks,373,7325,7698,343,4
Grant,2,226,228,2,0
Griggs,2,252,254,1,0
Hettinger,0,510,510,0,0
Kidder,2,154,156,2,0
LaMoure,11,376,387,8,0
Logan,0,293,293,0,0
McHenry,3,457,460,2,1
McIntosh,1,661,662,1,0
McKenzie,27,918,945,21,0
McLean,11,1207,1218,11,0
Mercer,6,764,770,6,0
Morton,73,3750,3823,67,2
Mountrail,43,1600,1643,43,0
Nelson,1,396,397,1,0
Oliver,1,94,95,1,0
Pembina,9,676,685,7,0
Pierce,4,478,482,4,0
Ramsey,10,1684,1694,7,1
Ransom,16,951,967,13,0
Renville,4,211,215,3,0
Richland,41,1707,1748,37,0
Rolette,10,1718,1728,8,0
Sargent,5,755,760,4,0
Sheridan,1,178,179,1,0
Sioux,20,1212,1232,6,0
Slope,3,135,138,3,0
Stark,70,4411,4481,61,2
Steele,1,241,242,1,0
Stutsman,62,3965,4027,55,1
Towner,0,167,167,0,0
Traill,15,1256,1271,15,0
Unknown,0,2421,2421,0,0
Walsh,20,1337,1357,17,0
Ward,58,7159,7217,46,1
Wells,8,456,464,7,0
Williams,28,2759,2787,26,0
