County,Total Positive,Total Negative,Unique Individuals Tested,Total Recovered,Deaths
Adams,0,486,486,0,0
Barnes,24,1835,1859,19,0
Benson,14,1204,1218,4,0
Billings,1,204,205,1,0
Bottineau,5,729,734,5,0
Bowman,1,700,701,1,0
Burke,7,246,253,5,0
Burleigh,425,16364,16789,244,0
Cass,2442,27976,30418,2234,72
Cavalier,14,717,731,3,0
Dickey,5,504,509,4,0
Divide,1,445,446,1,0
Dunn,23,396,419,13,0
Eddy,5,488,493,5,0
Emmons,4,418,422,3,1
Foster,3,365,368,2,0
Golden Valley,0,316,316,0,0
Grand Forks,431,9764,10195,384,4
Grant,3,240,243,3,0
Griggs,2,278,280,2,0
Hettinger,1,534,535,1,0
Kidder,2,211,213,2,0
LaMoure,13,702,715,12,0
Logan,0,325,325,0,0
McHenry,9,534,543,3,1
McIntosh,6,727,733,2,0
McKenzie,33,1035,1068,26,0
McLean,11,1458,1469,11,0
Mercer,9,880,889,7,0
Morton,126,4730,4856,87,2
Mountrail,61,1757,1818,45,0
Nelson,2,441,443,1,0
Oliver,2,128,130,1,0
Pembina,14,904,918,9,0
Pierce,8,635,643,5,0
Ramsey,19,1926,1945,8,1
Ransom,21,1010,1031,17,0
Renville,5,237,242,5,0
Richland,47,1916,1963,41,0
Rolette,12,2398,2410,10,0
Sargent,7,830,837,6,0
Sheridan,2,196,198,1,0
Sioux,36,1262,1298,21,0
Slope,3,137,140,3,0
Stark,92,4905,4997,70,3
Steele,4,278,282,2,0
Stutsman,66,4216,4282,62,2
Towner,3,206,209,0,0
Traill,27,1437,1464,16,0
Unknown,0,2470,2470,0,0
Walsh,46,2390,2436,25,0
Ward,71,8372,8443,58,1
Wells,10,498,508,8,0
Williams,65,3248,3313,35,0
