County,Total Positive,Total Negative,Unique Individuals Tested,Total Recovered,Deaths
Adams,0,495,495,0,0
Barnes,24,1851,1875,20,0
Benson,16,1229,1245,4,0
Billings,1,205,206,1,0
Bottineau,6,735,741,5,0
Bowman,1,702,703,1,0
Burke,7,258,265,5,0
Burleigh,466,16660,17126,278,0
Cass,2492,28694,31186,2271,72
Cavalier,17,736,753,3,0
Dickey,6,513,519,4,0
Divide,1,446,447,1,0
Dunn,25,410,435,14,0
Eddy,5,491,496,5,0
Emmons,4,425,429,3,1
Foster,3,368,371,2,0
Golden Valley,0,325,325,0,0
Grand Forks,458,10031,10489,395,4
Grant,4,245,249,3,0
Griggs,2,280,282,2,0
Hettinger,1,545,546,1,0
Kidder,3,211,214,2,0
LaMoure,14,712,726,13,0
Logan,1,334,335,0,0
McHenry,9,546,555,3,1
McIntosh,8,730,738,2,0
McKenzie,38,1079,1117,26,0
McLean,11,1471,1482,11,0
Mercer,9,897,906,7,0
Morton,135,4849,4984,95,2
Mountrail,66,1782,1848,47,0
Nelson,2,443,445,1,0
Oliver,2,131,133,2,0
Pembina,14,927,941,10,0
Pierce,8,638,646,5,0
Ramsey,22,1965,1987,9,1
Ransom,21,1021,1042,19,0
Renville,7,242,249,5,0
Richland,47,1943,1990,42,0
Rolette,12,2433,2445,11,0
Sargent,8,834,842,6,0
Sheridan,2,198,200,1,0
Sioux,37,1319,1356,23,0
Slope,3,137,140,3,0
Stark,99,5360,5459,76,3
Steele,4,280,284,3,0
Stutsman,68,4248,4316,62,2
Towner,3,218,221,0,0
Traill,28,1461,1489,18,0
Unknown,0,2602,2602,0,0
Walsh,59,2491,2550,25,0
Ward,76,8462,8538,62,1
Wells,10,502,512,8,0
Williams,77,3326,3403,38,0
