County,Cases,Deaths,Recovered,ReportDate
OKLAHOMA,1461,64,1246,2020-06-11
TULSA,1372,62,987,2020-06-11
TEXAS,956,6,924,2020-06-11
CLEVELAND,533,40,462,2020-06-11
WASHINGTON,344,37,289,2020-06-11
COMANCHE,317,3,286,2020-06-11
CADDO,173,10,148,2020-06-11
WAGONER,164,17,132,2020-06-11
CANADIAN,144,3,127,2020-06-11
MCCURTAIN,122,2,64,2020-06-11
GRADY,115,3,89,2020-06-11
MCCLAIN,112,4,102,2020-06-11
DELAWARE,104,16,84,2020-06-11
OSAGE,104,8,89,2020-06-11
CREEK,101,7,86,2020-06-11
CHOCTAW,101,1,52,2020-06-11
ADAIR,95,4,85,2020-06-11
ROGERS,92,5,78,2020-06-11
MUSKOGEE,69,7,37,2020-06-11
GREER,66,7,57,2020-06-11
POTTAWATOMIE,66,4,57,2020-06-11
KAY,64,7,48,2020-06-11
PAYNE,60,1,45,2020-06-11
CARTER,57,1,45,2020-06-11
BRYAN,47,1,26,2020-06-11
MAYES,46,4,28,2020-06-11
STEPHENS,44,1,38,2020-06-11
PITTSBURG,44,3,38,2020-06-11
CHEROKEE,39,1,28,2020-06-11
CUSTER,38,0,23,2020-06-11
OTTAWA,36,2,33,2020-06-11
PAWNEE,35,2,30,2020-06-11
GARFIELD,31,1,25,2020-06-11
JACKSON,30,3,22,2020-06-11
SEMINOLE,30,3,22,2020-06-11
OKMULGEE,29,0,24,2020-06-11
BEAVER,29,0,24,2020-06-11
NOWATA,24,1,22,2020-06-11
TILLMAN,23,1,22,2020-06-11
LOGAN,22,1,18,2020-06-11
LINCOLN,22,2,20,2020-06-11
GARVIN,20,1,15,2020-06-11
LOVE,20,0,16,2020-06-11
PONTOTOC,20,2,12,2020-06-11
SEQUOYAH,19,3,13,2020-06-11
LE FLORE,17,1,13,2020-06-11
CRAIG,16,0,15,2020-06-11
MCINTOSH,14,1,11,2020-06-11
MARSHALL,13,0,10,2020-06-11
KINGFISHER,12,0,11,2020-06-11
WOODWARD,9,0,4,2020-06-11
BLAINE,9,0,8,2020-06-11
BECKHAM,7,0,6,2020-06-11
NOBLE,7,0,7,2020-06-11
HASKELL,6,0,6,2020-06-11
KIOWA,6,0,4,2020-06-11
OKFUSKEE,6,0,6,2020-06-11
COAL,6,0,2,2020-06-11
MURRAY,6,0,5,2020-06-11
PUSHMATAHA,6,0,2,2020-06-11
MAJOR,6,1,5,2020-06-11
LATIMER,5,1,4,2020-06-11
WOODS,5,0,3,2020-06-11
COTTON,5,2,3,2020-06-11
ATOKA,5,0,2,2020-06-11
JOHNSTON,4,0,3,2020-06-11
JEFFERSON,4,0,4,2020-06-11
HUGHES,3,0,3,2020-06-11
GRANT,2,0,2,2020-06-11
WASHITA,2,0,1,2020-06-11
DEWEY,2,0,2,2020-06-11
HARPER,1,0,1,2020-06-11
CIMARRON,1,0,1,2020-06-11
ALFALFA,1,0,1,2020-06-11
