County,Total Positive,Total Negative,Total Tested,Total Recovered,Deaths
Adams,0,398,398,0,0
Barnes,9,1036,1045,5,0
Benson,3,764,767,1,0
Billings,0,143,143,0,0
Bottineau,4,509,513,2,0
Bowman,1,400,401,1,0
Burke,5,159,164,5,0
Burleigh,150,9130,9280,124,0
Cass,1984,19270,21254,1665,62
Cavalier,0,252,252,0,0
Dickey,2,370,372,0,0
Divide,1,409,410,1,0
Dunn,11,310,321,11,0
Eddy,5,313,318,4,0
Emmons,4,348,352,3,1
Foster,1,155,156,1,0
Golden Valley,0,288,288,0,0
Grand Forks,339,6221,6560,322,4
Grant,2,199,201,2,0
Griggs,1,190,191,1,0
Hettinger,0,466,466,0,0
Kidder,2,115,117,0,0
LaMoure,6,295,301,0,0
Logan,0,171,171,0,0
McHenry,2,407,409,1,1
McIntosh,1,266,267,1,0
McKenzie,21,815,836,17,0
McLean,8,851,859,7,0
Mercer,6,682,688,6,0
Morton,61,3095,3156,58,2
Mountrail,43,1512,1555,42,0
Nelson,1,312,313,1,0
Oliver,1,83,84,1,0
Pembina,6,593,599,6,0
Pierce,3,423,426,3,0
Ramsey,8,1405,1413,7,1
Ransom,12,778,790,8,0
Renville,3,190,193,3,0
Richland,32,1505,1537,22,0
Rolette,7,1334,1341,5,0
Sargent,4,694,698,3,0
Sheridan,1,147,148,0,0
Sioux,2,566,568,1,0
Slope,3,135,138,3,0
Stark,63,3979,4042,58,2
Steele,1,227,228,1,0
Stutsman,51,3117,3168,22,0
Towner,0,141,141,0,0
Traill,15,1179,1194,8,0
Unknown,0,3562,3562,0,0
Walsh,16,821,837,15,0
Ward,45,6181,6226,39,1
Wells,8,417,425,4,0
Williams,26,2480,2506,25,0
