County,Total Positive,Total Negative,Total Tested,Total Recovered,Deaths
Adams,0,67,67,0,0
Barnes,4,668,672,4,0
Benson,1,500,501,1,0
Billings,0,31,31,0,0
Bottineau,2,269,271,0,0
Bowman,1,356,357,1,0
Burke,5,121,126,4,0
Burleigh,128,7060,7188,90,0
Cass,1442,13069,14511,810,41
Cavalier,0,204,204,0,0
Dickey,0,249,249,0,0
Divide,1,179,180,1,0
Dunn,12,188,200,12,0
Eddy,8,239,247,1,0
Emmons,6,199,205,0,1
Foster,1,113,114,1,0
Golden Valley,0,83,83,0,0
Grand Forks,320,5066,5386,226,3
Grant,2,99,101,2,0
Griggs,1,158,159,0,0
Hettinger,0,219,219,0,0
Kidder,0,91,91,0,0
LaMoure,0,253,253,0,0
Logan,0,151,151,0,0
McHenry,2,297,299,1,1
McIntosh,1,222,223,1,0
McKenzie,16,674,690,16,0
McLean,7,622,629,6,0
Mercer,5,537,542,4,0
Morton,64,2262,2326,31,2
Mountrail,39,1325,1364,34,0
Nelson,2,215,217,1,0
Oliver,1,67,68,1,0
Pembina,6,428,434,6,0
Pierce,4,264,268,3,0
Ramsey,9,1080,1089,6,1
Ransom,7,499,506,2,0
Renville,1,146,147,1,0
Richland,15,798,813,7,0
Rolette,4,1062,1066,4,0
Sargent,3,551,554,3,0
Sheridan,0,42,42,0,0
Sioux,2,449,451,1,0
Slope,3,130,133,3,0
Stark,61,3446,3507,56,2
Steele,1,70,71,0,0
Stutsman,18,2226,2244,14,0
Towner,0,122,122,0,0
Traill,20,546,566,1,0
Unknown,0,5970,5970,0,0
Walsh,11,623,634,7,0
Ward,54,3949,4003,21,1
Wells,2,253,255,2,0
Williams,25,2006,2031,20,0
