County,Total Positive,Total Negative,Total Tested,Total Recovered,Deaths
Adams,0,403,403,0,0
Barnes,9,1079,1088,7,0
Benson,3,998,1001,2,0
Billings,0,143,143,0,0
Bottineau,4,538,542,3,0
Bowman,1,406,407,1,0
Burke,5,162,167,5,0
Burleigh,167,9750,9917,132,0
Cass,2058,21298,23356,1794,62
Cavalier,0,263,263,0,0
Dickey,3,382,385,0,0
Divide,1,410,411,1,0
Dunn,11,317,328,11,0
Eddy,5,439,444,4,0
Emmons,4,351,355,3,1
Foster,1,211,212,1,0
Golden Valley,0,293,293,0,0
Grand Forks,345,6621,6966,325,4
Grant,2,202,204,2,0
Griggs,1,231,232,1,0
Hettinger,0,469,469,0,0
Kidder,2,141,143,0,0
LaMoure,10,315,325,4,0
Logan,0,181,181,0,0
McHenry,2,417,419,1,1
McIntosh,1,370,371,1,0
McKenzie,21,831,852,18,0
McLean,10,1117,1127,7,0
Mercer,6,692,698,6,0
Morton,67,3202,3269,58,2
Mountrail,43,1531,1574,42,0
Nelson,1,368,369,1,0
Oliver,1,86,87,1,0
Pembina,7,624,631,6,0
Pierce,3,425,428,3,0
Ramsey,8,1487,1495,7,1
Ransom,12,793,805,8,0
Renville,3,195,198,3,0
Richland,37,1594,1631,22,0
Rolette,7,1348,1355,5,0
Sargent,4,709,713,4,0
Sheridan,1,171,172,1,0
Sioux,4,668,672,2,0
Slope,3,135,138,3,0
Stark,63,4043,4106,58,2
Steele,1,232,233,1,0
Stutsman,52,3219,3271,26,0
Towner,0,150,150,0,0
Traill,15,1204,1219,13,0
Unknown,0,3042,3042,0,0
Walsh,16,1141,1157,16,0
Ward,47,6313,6360,42,1
Wells,8,425,433,6,0
Williams,26,2540,2566,26,0
