OBJECTID,STAETFP,COUNTYFP,GEOID,COUNTY,LABEL,FULL_,County_Pos_Cases,County_Population,County_Rate_Per_100_000,State_Population,State_Pos_Unknown,State_Pos_Cases,Data_Source,Date_Data_Last_Updated,State_Number_Tested,State_Number_Hospitalizations,State_Deaths,State_Number_of_Counties_Pos,State_Rate_Per_100000,Shape__Area,Shape__Length
1,08,109,08109,SAGUACHE,Saguache,Saguache County,0,6837,0,5695430,160,2627,Colorado Department of Public Health and Environment - Number of Positive COVID-19 Cases by County,"Data through March 29, 2020",15364,414,51,47,46.13,13273871024.1289,529491.079018544
2,08,115,08115,SEDGWICK,Sedgwick,Sedgwick County,0,2275,0,5695430,160,2627,Colorado Department of Public Health and Environment - Number of Positive COVID-19 Cases by County,"Data through March 29, 2020",15364,414,51,47,46.13,2491281577.11719,208249.56871408
3,08,017,08017,CHEYENNE,Cheyenne,Cheyenne County,0,1862,0,5695430,160,2627,Colorado Department of Public Health and Environment - Number of Positive COVID-19 Cases by County,"Data through March 29, 2020",15364,414,51,47,46.13,7613550869.75391,373455.831824096
4,08,027,08027,CUSTER,Custer,Custer County,0,4928,0,5695430,160,2627,Colorado Department of Public Health and Environment - Number of Positive COVID-19 Cases by County,"Data through March 29, 2020",15364,414,51,47,46.13,3100361575.17578,290994.589030107
5,08,067,08067,LA PLATA,La Plata,La Plata County,21,56403,37.23,5695430,160,2627,Colorado Department of Public Health and Environment - Number of Positive COVID-19 Cases by County,"Data through March 29, 2020",15364,414,51,47,46.13,6966607866.58203,371001.027724019
6,08,111,08111,SAN JUAN,San Juan,San Juan County,0,762,0,5695430,160,2627,Colorado Department of Public Health and Environment - Number of Positive COVID-19 Cases by County,"Data through March 29, 2020",15364,414,51,47,46.13,1611963627.42969,209303.346789561
7,08,097,08097,PITKIN,Pitkin,Pitkin County,29,17879,162.2,5695430,160,2627,Colorado Department of Public Health and Environment - Number of Positive COVID-19 Cases by County,"Data through March 29, 2020",15364,414,51,47,46.13,4204962607.14063,360368.050497512
8,08,093,08093,PARK,Park,Park County,4,18557,-1,5695430,160,2627,Colorado Department of Public Health and Environment - Number of Positive COVID-19 Cases by County,"Data through March 29, 2020",15364,414,51,47,46.13,9525822458.41406,477017.520520283
9,08,003,08003,ALAMOSA,Alamosa,Alamosa County,1,16184,-1,5695430,160,2627,Colorado Department of Public Health and Environment - Number of Positive COVID-19 Cases by County,"Data through March 29, 2020",15364,414,51,47,46.13,2987314188.43359,224661.437209443
10,08,099,08099,PROWERS,Prowers,Prowers County,0,12078,0,5695430,160,2627,Colorado Department of Public Health and Environment - Number of Positive COVID-19 Cases by County,"Data through March 29, 2020",15364,414,51,47,46.13,6861386117.78516,333326.752196427
11,08,081,08081,MOFFAT,Moffat,Moffat County,4,13181,-1,5695430,160,2627,Colorado Department of Public Health and Environment - Number of Positive COVID-19 Cases by County,"Data through March 29, 2020",15364,414,51,47,46.13,21378597682.3633,615436.363722786
12,08,059,08059,JEFFERSON,Jefferson,Jefferson County,253,579491,43.66,5695430,160,2627,Colorado Department of Public Health and Environment - Number of Positive COVID-19 Cases by County,"Data through March 29, 2020",15364,414,51,47,46.13,3379799618.59766,374132.11754513
13,08,117,08117,SUMMIT,Summit,Summit County,14,30973,45.2,5695430,160,2627,Colorado Department of Public Health and Environment - Number of Positive COVID-19 Cases by County,"Data through March 29, 2020",15364,414,51,47,46.13,2707648429.75781,325660.775440309
14,08,101,08101,PUEBLO,Pueblo,Pueblo County,16,167116,9.57,5695430,160,2627,Colorado Department of Public Health and Environment - Number of Positive COVID-19 Cases by County,"Data through March 29, 2020",15364,414,51,47,46.13,10064732291.2969,426421.345889861
15,08,013,08013,BOULDER,Boulder,Boulder County,100,325476,30.72,5695430,160,2627,Colorado Department of Public Health and Environment - Number of Positive COVID-19 Cases by County,"Data through March 29, 2020",15364,414,51,47,46.13,3280791024.07031,290982.502053684
16,08,031,08031,DENVER,Denver,Denver County,465,717797,64.78,5695430,160,2627,Colorado Department of Public Health and Environment - Number of Positive COVID-19 Cases by County,"Data through March 29, 2020",15364,414,51,47,46.13,680063925.65625,341638.127461467
17,08,085,08085,MONTROSE,Montrose,Montrose County,10,42260,23.66,5695430,160,2627,Colorado Department of Public Health and Environment - Number of Positive COVID-19 Cases by County,"Data through March 29, 2020",15364,414,51,47,46.13,9473395348.78906,544456.741798932
18,08,037,08037,EAGLE,Eagle,Eagle County,213,54863,388.24,5695430,160,2627,Colorado Department of Public Health and Environment - Number of Positive COVID-19 Cases by County,"Data through March 29, 2020",15364,414,51,47,46.13,7395854605.48047,390147.77807481
19,08,113,08113,SAN MIGUEL,San Miguel,San Miguel County,1,8177,-1,5695430,160,2627,Colorado Department of Public Health and Environment - Number of Positive COVID-19 Cases by County,"Data through March 29, 2020",15364,414,51,47,46.13,5384599734.96484,409162.439815051
20,08,023,08023,COSTILLA,Costilla,Costilla County,3,3809,-1,5695430,160,2627,Colorado Department of Public Health and Environment - Number of Positive COVID-19 Cases by County,"Data through March 29, 2020",15364,414,51,47,46.13,5044736712.28125,326902.580049715
21,08,014,08014,BROOMFIELD,Broomfield,Broomfield County,18,69453,25.92,5695430,160,2627,Colorado Department of Public Health and Environment - Number of Positive COVID-19 Cases by County,"Data through March 29, 2020",15364,414,51,47,46.13,148046030.359375,146355.830495437
22,08,015,08015,CHAFFEE,Chaffee,Chaffee County,15,20028,74.9,5695430,160,2627,Colorado Department of Public Health and Environment - Number of Positive COVID-19 Cases by County,"Data through March 29, 2020",15364,414,51,47,46.13,4328004367.16797,386588.205582361
23,08,025,08025,CROWLEY,Crowley,Crowley County,1,5857,-1,5695430,160,2627,Colorado Department of Public Health and Environment - Number of Positive COVID-19 Cases by County,"Data through March 29, 2020",15364,414,51,47,46.13,3373467236.0625,243673.421602718
24,08,043,08043,FREMONT,Fremont,Fremont County,2,47912,-1,5695430,160,2627,Colorado Department of Public Health and Environment - Number of Positive COVID-19 Cases by County,"Data through March 29, 2020",15364,414,51,47,46.13,6491723772.80859,368122.636694602
25,08,055,08055,HUERFANO,Huerfano,Huerfano County,1,6854,-1,5695430,160,2627,Colorado Department of Public Health and Environment - Number of Positive COVID-19 Cases by County,"Data through March 29, 2020",15364,414,51,47,46.13,6600175788.24219,473895.539017731
26,08,029,08029,DELTA,Delta,Delta County,1,30936,-1,5695430,160,2627,Colorado Department of Public Health and Environment - Number of Positive COVID-19 Cases by County,"Data through March 29, 2020",15364,414,51,47,46.13,4913548287.83594,340015.070505667
27,08,045,08045,GARFIELD,Garfield,Garfield County,31,59807,51.83,5695430,160,2627,Colorado Department of Public Health and Environment - Number of Positive COVID-19 Cases by County,"Data through March 29, 2020",15364,414,51,47,46.13,12911081555.8047,662380.047263359
28,08,103,08103,RIO BLANCO,Rio Blanco,Rio Blanco County,0,6305,0,5695430,160,2627,Colorado Department of Public Health and Environment - Number of Positive COVID-19 Cases by County,"Data through March 29, 2020",15364,414,51,47,46.13,14232867247.625,615863.666810983
29,08,087,08087,MORGAN,Morgan,Morgan County,4,28503,-1,5695430,160,2627,Colorado Department of Public Health and Environment - Number of Positive COVID-19 Cases by County,"Data through March 29, 2020",15364,414,51,47,46.13,5761403665.51953,305025.067510655
30,08,073,08073,LINCOLN,Lincoln,Lincoln County,1,5584,-1,5695430,160,2627,Colorado Department of Public Health and Environment - Number of Positive COVID-19 Cases by County,"Data through March 29, 2020",15364,414,51,47,46.13,11104214487.6953,501503.379966312
31,08,083,08083,MONTEZUMA,Montezuma,Montezuma County,1,26159,-1,5695430,160,2627,Colorado Department of Public Health and Environment - Number of Positive COVID-19 Cases by County,"Data through March 29, 2020",15364,414,51,47,46.13,8372827720.81641,400009.056123532
32,08,001,08001,ADAMS,Adams,Adams County,152,511473,29.72,5695430,160,2627,Colorado Department of Public Health and Environment - Number of Positive COVID-19 Cases by County of Identification,"Data through March 29, 2020",15364,414,51,47,46.13,5210141150.01953,511835.400891218
