County,Total Positive,Total Negative,Unique Individuals Tested,Total Recovered,Deaths
Adams,0,584,584,0,0
Barnes,25,1867,1892,21,0
Benson,16,1251,1267,4,0
Billings,1,205,206,1,0
Bottineau,7,751,758,5,0
Bowman,1,705,706,1,0
Burke,7,262,269,6,0
Burleigh,478,17008,17486,310,0
Cass,2522,29007,31529,2304,73
Cavalier,18,739,757,4,0
Dickey,6,530,536,4,0
Divide,1,447,448,1,0
Dunn,26,420,446,15,0
Eddy,5,498,503,5,0
Emmons,5,429,434,3,1
Foster,3,374,377,3,0
Golden Valley,1,327,328,0,0
Grand Forks,462,10114,10576,402,4
Grant,4,248,252,3,0
Griggs,2,284,286,2,0
Hettinger,2,552,554,1,0
Kidder,4,213,217,2,0
LaMoure,14,717,731,13,0
Logan,1,338,339,0,0
McHenry,9,557,566,4,1
McIntosh,8,742,750,2,0
McKenzie,43,1209,1252,27,0
McLean,12,1527,1539,11,0
Mercer,9,906,915,7,0
Morton,140,4968,5108,99,2
Mountrail,84,2410,2494,50,0
Nelson,2,445,447,1,0
Oliver,2,133,135,2,0
Pembina,15,950,965,11,0
Pierce,8,638,646,6,0
Ramsey,23,1996,2019,12,1
Ransom,21,1029,1050,19,0
Renville,7,245,252,5,0
Richland,47,1972,2019,42,0
Rolette,12,2438,2450,11,0
Sargent,8,842,850,7,0
Sheridan,2,198,200,1,0
Sioux,39,1385,1424,23,0
Slope,3,137,140,3,0
Stark,103,5417,5520,79,3
Steele,4,281,285,3,0
Stutsman,69,4269,4338,62,2
Towner,3,227,230,0,0
Traill,28,1468,1496,21,0
Unknown,0,2401,2401,0,0
Walsh,65,2529,2594,30,0
Ward,78,8563,8641,63,1
Wells,11,507,518,9,0
Williams,99,3740,3839,40,0
