County,Total Positive,Total Negative,Unique Individuals Tested,Total Recovered,Deaths
Adams,0,461,461,0,0
Barnes,18,1274,1292,9,0
Benson,3,1016,1019,2,0
Billings,1,157,158,0,0
Bottineau,5,632,637,3,0
Bowman,1,436,437,1,0
Burke,5,169,174,5,0
Burleigh,198,11559,11757,148,0
Cass,2138,23143,25281,1938,64
Cavalier,1,388,389,0,0
Dickey,4,432,436,1,0
Divide,1,421,422,1,0
Dunn,12,330,342,11,0
Eddy,5,456,461,5,0
Emmons,4,370,374,3,1
Foster,1,297,298,1,0
Golden Valley,0,295,295,0,0
Grand Forks,361,7112,7473,336,4
Grant,2,220,222,2,0
Griggs,2,245,247,1,0
Hettinger,0,505,505,0,0
Kidder,2,151,153,2,0
LaMoure,11,357,368,6,0
Logan,0,288,288,0,0
McHenry,3,439,442,1,1
McIntosh,1,660,661,1,0
McKenzie,24,885,909,18,0
McLean,11,1185,1196,11,0
Mercer,6,757,763,6,0
Morton,70,3565,3635,61,2
Mountrail,43,1559,1602,43,0
Nelson,1,394,395,1,0
Oliver,1,89,90,1,0
Pembina,7,657,664,7,0
Pierce,4,461,465,3,0
Ramsey,8,1625,1633,7,1
Ransom,15,940,955,12,0
Renville,3,205,208,3,0
Richland,38,1675,1713,31,0
Rolette,9,1703,1712,7,0
Sargent,4,747,751,4,0
Sheridan,1,177,178,1,0
Sioux,12,800,812,2,0
Slope,3,135,138,3,0
Stark,68,4325,4393,60,2
Steele,1,236,237,1,0
Stutsman,62,3934,3996,45,1
Towner,0,159,159,0,0
Traill,15,1238,1253,14,0
Unknown,0,2436,2436,0,0
Walsh,17,1313,1330,16,0
Ward,52,6755,6807,44,1
Wells,8,446,454,6,0
Williams,26,2671,2697,26,0
