County,Total Positive,Total Negative,Total Tested,Total Recovered,Deaths
Adams,0,68,68,0,0
Barnes,4,681,685,4,0
Benson,1,505,506,1,0
Billings,0,32,32,0,0
Bottineau,2,268,270,0,0
Bowman,1,357,358,1,0
Burke,5,122,127,4,0
Burleigh,129,7185,7314,92,0
Cass,1487,13557,15044,847,41
Cavalier,0,206,206,0,0
Dickey,0,250,250,0,0
Divide,1,179,180,1,0
Dunn,12,191,203,12,0
Eddy,7,241,248,2,0
Emmons,6,202,208,0,1
Foster,1,112,113,1,0
Golden Valley,0,84,84,0,0
Grand Forks,321,5105,5426,228,3
Grant,2,100,102,2,0
Griggs,1,160,161,0,0
Hettinger,0,218,218,0,0
Kidder,0,92,92,0,0
LaMoure,0,256,256,0,0
Logan,0,152,152,0,0
McHenry,2,300,302,1,1
McIntosh,1,234,235,1,0
McKenzie,16,679,695,16,0
McLean,7,626,633,6,0
Mercer,5,542,547,4,0
Morton,64,2346,2410,31,2
Mountrail,39,1330,1369,34,0
Nelson,2,233,235,1,0
Oliver,1,69,70,1,0
Pembina,6,434,440,6,0
Pierce,4,264,268,3,0
Ramsey,9,1088,1097,6,1
Ransom,8,604,612,2,0
Renville,1,146,147,1,0
Richland,15,881,896,9,0
Rolette,4,1087,1091,4,0
Sargent,3,561,564,3,0
Sheridan,0,42,42,0,0
Sioux,2,451,453,1,0
Slope,3,130,133,3,0
Stark,61,3474,3535,56,2
Steele,1,75,76,0,0
Stutsman,18,2257,2275,16,0
Towner,0,123,123,0,0
Traill,20,561,581,1,0
Unknown,0,5903,5903,0,0
Walsh,11,629,640,7,0
Ward,54,4006,4060,21,1
Wells,3,255,258,2,0
Williams,25,2130,2155,20,0
