County,Total Positive,Total Negative,Unique Individuals Tested,Total Recovered,Deaths
Adams,0,590,590,0,0
Barnes,26,1930,1956,24,0
Benson,23,1470,1493,12,1
Billings,1,223,224,1,0
Bottineau,7,777,784,5,0
Bowman,1,711,712,1,0
Burke,8,267,275,7,0
Burleigh,580,18058,18638,412,1
Cass,2663,30750,33413,2421,73
Cavalier,25,775,800,17,0
Dickey,8,566,574,6,0
Divide,1,450,451,1,0
Dunn,27,442,469,20,0
Eddy,5,513,518,5,0
Emmons,9,467,476,3,1
Foster,3,386,389,3,0
Golden Valley,2,364,366,0,0
Grand Forks,533,11797,12330,434,4
Grant,4,249,253,3,0
Griggs,3,294,297,2,0
Hettinger,6,566,572,1,0
Kidder,4,227,231,3,0
LaMoure,14,757,771,13,0
Logan,1,362,363,1,0
McHenry,11,580,591,7,1
McIntosh,10,760,770,7,0
McKenzie,52,1283,1335,34,0
McLean,14,1594,1608,11,0
Mercer,12,943,955,9,0
Morton,172,5241,5413,120,3
Mountrail,91,2398,2489,60,1
Nelson,3,467,470,2,0
Oliver,3,138,141,2,0
Pembina,20,1269,1289,16,0
Pierce,8,656,664,7,0
Ramsey,25,2208,2233,18,1
Ransom,23,1049,1072,19,0
Renville,8,260,268,5,0
Richland,52,2072,2124,48,0
Rolette,13,2684,2697,12,0
Sargent,8,876,884,8,0
Sheridan,4,201,205,3,0
Sioux,46,1410,1456,37,0
Slope,3,137,140,3,0
Stark,121,5788,5909,97,3
Steele,6,290,296,3,0
Stutsman,75,4343,4418,65,2
Towner,4,245,249,2,0
Traill,31,1572,1603,26,0
Unknown,0,2913,2913,0,0
Walsh,79,2961,3040,48,0
Ward,110,8863,8973,72,1
Wells,11,527,538,11,0
Williams,157,4133,4290,72,1
