County,Total Positive,Total Negative,Total Tested,Total Recovered,Deaths
Adams,0,384,384,0,0
Barnes,5,778,783,4,0
Benson,1,613,614,1,0
Billings,0,141,141,0,0
Bottineau,2,305,307,1,0
Bowman,1,389,390,1,0
Burke,5,149,154,5,0
Burleigh,130,8119,8249,103,0
Cass,1762,16656,18418,1376,54
Cavalier,0,222,222,0,0
Dickey,1,266,267,0,0
Divide,1,405,406,1,0
Dunn,11,289,300,11,0
Eddy,4,265,269,4,0
Emmons,4,224,228,2,1
Foster,1,131,132,1,0
Golden Valley,0,282,282,0,0
Grand Forks,335,5711,6046,301,3
Grant,2,112,114,2,0
Griggs,1,184,185,0,0
Hettinger,0,436,436,0,0
Kidder,0,100,100,0,0
LaMoure,0,270,270,0,0
Logan,0,160,160,0,0
McHenry,2,338,340,1,1
McIntosh,1,244,245,1,0
McKenzie,17,763,780,16,0
McLean,7,720,727,7,0
Mercer,5,634,639,5,0
Morton,60,2688,2748,44,2
Mountrail,41,1394,1435,40,0
Nelson,1,293,294,1,0
Oliver,1,77,78,1,0
Pembina,6,507,513,6,0
Pierce,3,280,283,3,0
Ramsey,8,1222,1230,6,1
Ransom,9,648,657,7,0
Renville,3,169,172,1,0
Richland,22,1188,1210,18,0
Rolette,6,1171,1177,5,0
Sargent,3,647,650,3,0
Sheridan,0,136,136,0,0
Sioux,1,466,467,0,0
Slope,3,130,133,3,0
Stark,62,3659,3721,58,2
Steele,1,147,148,0,0
Stutsman,24,3025,3049,18,0
Towner,0,128,128,0,0
Traill,14,1028,1042,4,0
Unknown,0,4759,4759,0,0
Walsh,14,682,696,11,0
Ward,38,4611,4649,30,1
Wells,3,299,302,2,0
Williams,25,2354,2379,23,0
