County,Cases,Deaths,Recovered,ReportDate
TULSA,1653,62,1059,2020-06-15
OKLAHOMA,1643,64,1306,2020-06-15
TEXAS,975,6,947,2020-06-15
CLEVELAND,552,40,481,2020-06-15
WASHINGTON,350,37,300,2020-06-15
COMANCHE,341,4,294,2020-06-15
CADDO,176,10,156,2020-06-15
WAGONER,171,17,136,2020-06-15
CANADIAN,156,3,132,2020-06-15
MCCURTAIN,151,2,79,2020-06-15
GRADY,118,3,101,2020-06-15
MCCLAIN,116,4,104,2020-06-15
OSAGE,114,8,91,2020-06-15
DELAWARE,109,16,85,2020-06-15
CREEK,106,7,91,2020-06-15
PAYNE,104,1,45,2020-06-15
CHOCTAW,102,1,90,2020-06-15
ROGERS,99,5,79,2020-06-15
ADAIR,96,4,87,2020-06-15
MUSKOGEE,79,8,48,2020-06-15
POTTAWATOMIE,72,4,59,2020-06-15
GREER,66,7,57,2020-06-15
KAY,65,7,49,2020-06-15
CARTER,60,1,50,2020-06-15
MAYES,56,4,28,2020-06-15
CHEROKEE,48,1,32,2020-06-15
BRYAN,48,1,33,2020-06-15
GARFIELD,47,1,26,2020-06-15
STEPHENS,45,1,39,2020-06-15
PITTSBURG,43,3,39,2020-06-15
PAWNEE,41,2,33,2020-06-15
CUSTER,41,0,33,2020-06-15
OTTAWA,37,2,33,2020-06-15
SEMINOLE,31,3,25,2020-06-15
BEAVER,30,0,28,2020-06-15
GARVIN,30,1,17,2020-06-15
JACKSON,30,3,23,2020-06-15
OKMULGEE,30,0,25,2020-06-15
LOVE,25,0,18,2020-06-15
NOWATA,25,1,22,2020-06-15
LOGAN,25,1,19,2020-06-15
LINCOLN,24,2,20,2020-06-15
TILLMAN,23,1,22,2020-06-15
PONTOTOC,21,2,15,2020-06-15
SEQUOYAH,21,3,14,2020-06-15
LE FLORE,20,1,13,2020-06-15
MCINTOSH,16,1,12,2020-06-15
CRAIG,16,0,15,2020-06-15
MARSHALL,16,0,11,2020-06-15
NOBLE,14,0,7,2020-06-15
KINGFISHER,13,0,12,2020-06-15
BLAINE,12,0,9,2020-06-15
MURRAY,11,0,5,2020-06-15
WOODWARD,11,0,5,2020-06-15
ATOKA,8,0,3,2020-06-15
BECKHAM,8,0,7,2020-06-15
PUSHMATAHA,7,0,3,2020-06-15
COAL,6,0,4,2020-06-15
KIOWA,6,0,4,2020-06-15
MAJOR,6,1,5,2020-06-15
LATIMER,6,1,4,2020-06-15
HASKELL,6,0,6,2020-06-15
OKFUSKEE,6,0,6,2020-06-15
JOHNSTON,5,0,5,2020-06-15
WOODS,5,0,4,2020-06-15
DEWEY,5,0,2,2020-06-15
COTTON,5,2,3,2020-06-15
JEFFERSON,4,0,4,2020-06-15
HUGHES,3,0,3,2020-06-15
WASHITA,2,0,1,2020-06-15
GRANT,2,0,2,2020-06-15
HARPER,1,0,1,2020-06-15
CIMARRON,1,0,1,2020-06-15
ALFALFA,1,0,1,2020-06-15
