County,Cases,Deaths,Recovered,ReportDate
OKLAHOMA,838,33,563,2020-05-03
TULSA,628,34,430,2020-05-03
CLEVELAND,432,29,323,2020-05-03
WASHINGTON,273,23,170,2020-05-03
TEXAS,201,2,64,2020-05-03
WAGONER,122,15,91,2020-05-03
CANADIAN,100,3,76,2020-05-03
COMANCHE,98,2,63,2020-05-03
DELAWARE,91,13,71,2020-05-03
CREEK,80,6,61,2020-05-03
MCCLAIN,77,2,20,2020-05-03
OSAGE,76,8,56,2020-05-03
CADDO,69,8,44,2020-05-03
ROGERS,66,4,42,2020-05-03
ADAIR,65,3,39,2020-05-03
GREER,65,6,52,2020-05-03
POTTAWATOMIE,52,4,33,2020-05-03
KAY,47,7,38,2020-05-03
PAYNE,44,1,39,2020-05-03
GRADY,39,2,28,2020-05-03
PITTSBURG,39,2,21,2020-05-03
OTTAWA,34,1,25,2020-05-03
PAWNEE,29,2,21,2020-05-03
MUSKOGEE,27,6,20,2020-05-03
CHEROKEE,27,1,22,2020-05-03
MAYES,24,4,17,2020-05-03
STEPHENS,22,1,19,2020-05-03
NOWATA,21,0,13,2020-05-03
GARFIELD,19,1,8,2020-05-03
JACKSON,17,0,11,2020-05-03
LOGAN,16,1,11,2020-05-03
OKMULGEE,16,0,14,2020-05-03
BEAVER,14,0,3,2020-05-03
GARVIN,14,1,11,2020-05-03
LINCOLN,14,1,8,2020-05-03
TILLMAN,14,0,1,2020-05-03
LE FLORE,13,0,8,2020-05-03
SEMINOLE,12,2,7,2020-05-03
SEQUOYAH,12,3,7,2020-05-03
CRAIG,11,0,7,2020-05-03
CUSTER,11,0,10,2020-05-03
PONTOTOC,10,2,8,2020-05-03
BRYAN,9,1,3,2020-05-03
KINGFISHER,8,0,7,2020-05-03
MCCURTAIN,8,0,7,2020-05-03
NOBLE,6,0,5,2020-05-03
COTTON,5,1,3,2020-05-03
BECKHAM,5,0,2,2020-05-03
KIOWA,5,0,2,2020-05-03
LATIMER,5,1,2,2020-05-03
HASKELL,5,0,4,2020-05-03
CARTER,4,1,0,2020-05-03
MAJOR,3,1,1,2020-05-03
WOODS,3,0,2,2020-05-03
CHOCTAW,3,0,1,2020-05-03
JOHNSTON,3,0,3,2020-05-03
MURRAY,2,0,1,2020-05-03
JEFFERSON,2,0,2,2020-05-03
MARSHALL,2,0,2,2020-05-03
GRANT,2,0,2,2020-05-03
MCINTOSH,2,0,2,2020-05-03
DEWEY,2,0,2,2020-05-03
LOVE,2,0,1,2020-05-03
CIMARRON,1,0,1,2020-05-03
ATOKA,1,0,1,2020-05-03
OKFUSKEE,1,0,1,2020-05-03
WOODWARD,1,0,1,2020-05-03
PUSHMATAHA,1,0,0,2020-05-03
HARPER,1,0,1,2020-05-03
ALFALFA,1,0,1,2020-05-03
