OBJECTID,STAETFP,COUNTYFP,GEOID,COUNTY,LABEL,FULL_,County_Pos_Cases,County_Population,County_Rate_Per_100_000,State_Population,State_Pos_Unknown,State_Pos_Cases,Data_Source,Date_Data_Last_Updated,State_Number_Tested,State_Number_Hospitalizations,State_Deaths,State_Number_of_Counties_Pos,State_Rate_Per_100000,Shape__Area,Shape__Length,State_Number_Outbreaks
1,08,109,08109,SAGUACHE,Saguache,Saguache County,3,6837,-1,5695430,80,9433,Colorado Department of Public Health and Environment - Number of Positive COVID-19 Cases by County,"Data through April 17, 2020",44606,1797,411,56,165.66,13273871024.1289,529491.079018544,107
2,08,115,08115,SEDGWICK,Sedgwick,Sedgwick County,0,2275,0,5695430,80,9433,Colorado Department of Public Health and Environment - Number of Positive COVID-19 Cases by County,"Data through April 17, 2020",44606,1797,411,56,165.66,2491281577.11719,208249.56871408,107
3,08,017,08017,CHEYENNE,Cheyenne,Cheyenne County,0,1862,0,5695430,80,9433,Colorado Department of Public Health and Environment - Number of Positive COVID-19 Cases by County,"Data through April 17, 2020",44606,1797,411,56,165.66,7613550869.75391,373455.831824096,107
4,08,027,08027,CUSTER,Custer,Custer County,2,4928,-1,5695430,80,9433,Colorado Department of Public Health and Environment - Number of Positive COVID-19 Cases by County,"Data through April 17, 2020",44606,1797,411,56,165.66,3100361575.17578,290994.589030107,107
5,08,067,08067,LA PLATA,La Plata,La Plata County,52,56403,92.19,5695430,80,9433,Colorado Department of Public Health and Environment - Number of Positive COVID-19 Cases by County,"Data through April 17, 2020",44606,1797,411,56,165.66,6966607866.58203,371001.027724019,107
6,08,111,08111,SAN JUAN,San Juan,San Juan County,0,762,0,5695430,80,9433,Colorado Department of Public Health and Environment - Number of Positive COVID-19 Cases by County,"Data through April 17, 2020",44606,1797,411,56,165.66,1611963627.42969,209303.346789561,107
7,08,097,08097,PITKIN,Pitkin,Pitkin County,57,17879,318.81,5695430,80,9433,Colorado Department of Public Health and Environment - Number of Positive COVID-19 Cases by County,"Data through April 17, 2020",44606,1797,411,56,165.66,4204962607.14063,360368.050497512,107
8,08,093,08093,PARK,Park,Park County,6,18557,32.33,5695430,80,9433,Colorado Department of Public Health and Environment - Number of Positive COVID-19 Cases by County,"Data through April 17, 2020",44606,1797,411,56,165.66,9525822458.41406,477017.520520283,107
9,08,003,08003,ALAMOSA,Alamosa,Alamosa County,7,16184,43.25,5695430,80,9433,Colorado Department of Public Health and Environment - Number of Positive COVID-19 Cases by County,"Data through April 17, 2020",44606,1797,411,56,165.66,2987314188.43359,224661.437209443,107
10,08,099,08099,PROWERS,Prowers,Prowers County,1,12078,-1,5695430,80,9433,Colorado Department of Public Health and Environment - Number of Positive COVID-19 Cases by County,"Data through April 17, 2020",44606,1797,411,56,165.66,6861386117.78516,333326.752196427,107
