County,Total Positive,Total Negative,Total Tested,Total Recovered,Deaths
Adams,0,397,397,0,0
Barnes,9,1015,1024,5,0
Benson,3,750,753,1,0
Billings,0,143,143,0,0
Bottineau,4,360,364,2,0
Bowman,1,400,401,1,0
Burke,5,159,164,5,0
Burleigh,147,9000,9147,123,0
Cass,1958,18872,20830,1637,61
Cavalier,0,250,250,0,0
Dickey,1,364,365,0,0
Divide,1,409,410,1,0
Dunn,11,307,318,11,0
Eddy,5,313,318,4,0
Emmons,4,345,349,3,1
Foster,1,154,155,1,0
Golden Valley,0,286,286,0,0
Grand Forks,339,6145,6484,322,4
Grant,2,193,195,2,0
Griggs,1,190,191,1,0
Hettinger,0,465,465,0,0
Kidder,2,114,116,0,0
LaMoure,6,289,295,0,0
Logan,0,169,169,0,0
McHenry,2,398,400,1,1
McIntosh,1,265,266,1,0
McKenzie,18,809,827,17,0
McLean,8,839,847,7,0
Mercer,6,679,685,6,0
Morton,60,3009,3069,58,2
Mountrail,43,1508,1551,42,0
Nelson,1,311,312,1,0
Oliver,1,80,81,1,0
Pembina,6,586,592,6,0
Pierce,3,423,426,3,0
Ramsey,8,1400,1408,7,1
Ransom,11,772,783,8,0
Renville,3,190,193,3,0
Richland,31,1495,1526,21,0
Rolette,7,1327,1334,5,0
Sargent,4,684,688,3,0
Sheridan,1,147,148,0,0
Sioux,2,561,563,1,0
Slope,3,134,137,3,0
Stark,63,3948,4011,58,2
Steele,1,227,228,1,0
Stutsman,51,3099,3150,20,0
Towner,0,139,139,0,0
Traill,14,1159,1173,8,0
Unknown,0,3638,3638,0,0
Walsh,16,759,775,15,0
Ward,44,6170,6214,39,1
Wells,8,414,422,3,0
Williams,25,2460,2485,25,0
