OBJECTID,STAETFP,COUNTYFP,GEOID,COUNTY,LABEL,FULL_,County_Pos_Cases,County_Population,County_Rate_Per_100_000,State_Population,State_Pos_Unknown,State_Pos_Cases,Data_Source,Date_Data_Last_Updated,State_Number_Tested,State_Number_Hospitalizations,State_Deaths,State_Number_of_Counties_Pos,State_Rate_Per_100000,Shape__Area,Shape__Length,State_Number_Outbreaks
1,08,109,08109,SAGUACHE,Saguache,Saguache County,3,6837,-1,5695430,95,10878,Colorado Department of Public Health and Environment - Number of Positive COVID-19 Cases by County,"Data through April 21, 2020",50645,2123,508,56,191.03,13273871024.1289,529491.079018544,123
2,08,115,08115,SEDGWICK,Sedgwick,Sedgwick County,0,2275,0,5695430,95,10878,Colorado Department of Public Health and Environment - Number of Positive COVID-19 Cases by County,"Data through April 21, 2020",50645,2123,508,56,191.03,2491281577.11719,208249.56871408,123
3,08,017,08017,CHEYENNE,Cheyenne,Cheyenne County,0,1862,0,5695430,95,10878,Colorado Department of Public Health and Environment - Number of Positive COVID-19 Cases by County,"Data through April 21, 2020",50645,2123,508,56,191.03,7613550869.75391,373455.831824096,123
4,08,027,08027,CUSTER,Custer,Custer County,2,4928,-1,5695430,95,10878,Colorado Department of Public Health and Environment - Number of Positive COVID-19 Cases by County,"Data through April 21, 2020",50645,2123,508,56,191.03,3100361575.17578,290994.589030107,123
5,08,067,08067,LA PLATA,La Plata,La Plata County,53,56403,93.97,5695430,95,10878,Colorado Department of Public Health and Environment - Number of Positive COVID-19 Cases by County,"Data through April 21, 2020",50645,2123,508,56,191.03,6966607866.58203,371001.027724019,123
6,08,111,08111,SAN JUAN,San Juan,San Juan County,0,762,0,5695430,95,10878,Colorado Department of Public Health and Environment - Number of Positive COVID-19 Cases by County,"Data through April 21, 2020",50645,2123,508,56,191.03,1611963627.42969,209303.346789561,123
7,08,097,08097,PITKIN,Pitkin,Pitkin County,57,17879,318.81,5695430,95,10878,Colorado Department of Public Health and Environment - Number of Positive COVID-19 Cases by County,"Data through April 21, 2020",50645,2123,508,56,191.03,4204962607.14063,360368.050497512,123
8,08,093,08093,PARK,Park,Park County,6,18557,32.33,5695430,95,10878,Colorado Department of Public Health and Environment - Number of Positive COVID-19 Cases by County,"Data through April 21, 2020",50645,2123,508,56,191.03,9525822458.41406,477017.520520283,123
9,08,003,08003,ALAMOSA,Alamosa,Alamosa County,9,16184,55.61,5695430,95,10878,Colorado Department of Public Health and Environment - Number of Positive COVID-19 Cases by County,"Data through April 21, 2020",50645,2123,508,56,191.03,2987314188.43359,224661.437209443,123
10,08,099,08099,PROWERS,Prowers,Prowers County,1,12078,-1,5695430,95,10878,Colorado Department of Public Health and Environment - Number of Positive COVID-19 Cases by County,"Data through April 21, 2020",50645,2123,508,56,191.03,6861386117.78516,333326.752196427,123
