County,Total Positive,Total Negative,Unique Individuals Tested,Total Recovered,Deaths
Adams,0,484,484,0,0
Barnes,23,1828,1851,19,0
Benson,11,1189,1200,4,0
Billings,1,204,205,1,0
Bottineau,5,726,731,5,0
Bowman,1,700,701,1,0
Burke,6,202,208,5,0
Burleigh,409,16200,16609,241,0
Cass,2421,27697,30118,2219,70
Cavalier,13,707,720,3,0
Dickey,5,495,500,4,0
Divide,1,445,446,1,0
Dunn,19,391,410,13,0
Eddy,5,485,490,5,0
Emmons,4,413,417,3,1
Foster,3,364,367,2,0
Golden Valley,0,314,314,0,0
Grand Forks,422,9654,10076,382,4
Grant,3,239,242,3,0
Griggs,2,274,276,2,0
Hettinger,1,529,530,1,0
Kidder,2,175,177,2,0
LaMoure,13,699,712,12,0
Logan,0,321,321,0,0
McHenry,6,532,538,2,1
McIntosh,5,726,731,2,0
McKenzie,31,1024,1055,26,0
McLean,11,1450,1461,11,0
Mercer,8,866,874,7,0
Morton,123,4683,4806,78,2
Mountrail,59,1756,1815,45,0
Nelson,2,437,439,1,0
Oliver,2,126,128,1,0
Pembina,14,895,909,9,0
Pierce,7,630,637,5,0
Ramsey,19,1896,1915,8,1
Ransom,21,1006,1027,17,0
Renville,5,238,243,5,0
Richland,45,1907,1952,41,0
Rolette,11,2388,2399,10,0
Sargent,7,823,830,6,0
Sheridan,2,196,198,1,0
Sioux,33,1260,1293,19,0
Slope,3,137,140,3,0
Stark,89,4839,4928,69,3
Steele,4,277,281,1,0
Stutsman,66,4189,4255,62,2
Towner,2,198,200,0,0
Traill,25,1430,1455,16,0
Unknown,0,2410,2410,0,0
Walsh,44,2369,2413,23,0
Ward,69,8304,8373,58,1
Wells,9,494,503,8,0
Williams,62,3221,3283,34,0
