County,Total Positive,Total Negative,Total Tested,Total Recovered,Deaths
Adams,0,65,65,0,0
Barnes,4,626,630,4,0
Benson,1,485,486,0,0
Billings,0,30,30,0,0
Bottineau,1,255,256,0,0
Bowman,1,353,354,1,0
Burke,5,120,125,4,0
Burleigh,120,6730,6850,89,0
Cass,1277,11933,13210,734,38
Cavalier,0,199,199,0,0
Dickey,0,141,141,0,0
Divide,1,173,174,1,0
Dunn,12,186,198,12,0
Eddy,2,183,185,1,0
Emmons,1,119,120,0,1
Foster,1,108,109,1,0
Golden Valley,0,79,79,0,0
Grand Forks,319,4881,5200,213,3
Grant,2,96,98,1,0
Griggs,0,152,152,0,0
Hettinger,0,216,216,0,0
Kidder,0,90,90,0,0
LaMoure,0,242,242,0,0
Logan,0,145,145,0,0
McHenry,2,275,277,1,1
McIntosh,1,215,216,1,0
McKenzie,16,654,670,16,0
McLean,7,592,599,6,0
Mercer,4,521,525,3,0
Morton,63,2171,2234,31,2
Mountrail,39,1308,1347,34,0
Nelson,2,193,195,1,0
Oliver,1,45,46,1,0
Pembina,6,421,427,6,0
Pierce,3,261,264,3,0
Ramsey,8,1064,1072,4,1
Ransom,7,389,396,2,0
Renville,1,139,140,1,0
Richland,13,753,766,7,0
Rolette,4,1044,1048,4,0
Sargent,3,446,449,3,0
Sheridan,0,37,37,0,0
Sioux,2,435,437,1,0
Slope,3,130,133,3,0
Stark,61,3416,3477,54,2
Steele,1,60,61,0,0
Stutsman,17,2176,2193,13,0
Towner,0,120,120,0,0
Traill,20,503,523,0,0
Unknown,0,6153,6153,0,0
Walsh,11,611,622,7,0
Ward,29,3344,3373,21,1
Wells,2,245,247,2,0
Williams,22,1777,1799,16,0
