County,Total Positive,Total Negative,Total Tested,Total Recovered
Adams,0,63,63,0
Barnes,4,476,480,4
Benson,1,463,464,0
Billings,0,27,27,0
Bottineau,0,243,243,0
Bowman,1,346,347,1
Burke,5,116,121,4
Burleigh,107,5261,5368,71
Cass,991,10165,11156,548
Cavalier,0,158,158,0
Dickey,0,86,86,0
Divide,1,171,172,1
Dunn,11,169,180,11
Eddy,2,175,177,1
Emmons,1,86,87,0
Foster,1,97,98,1
Golden Valley,0,76,76,0
Grand Forks,304,4335,4639,163
Grant,2,89,91,1
Griggs,0,51,51,0
Hettinger,0,198,198,0
Kidder,0,83,83,0
LaMoure,0,104,104,0
Logan,0,57,57,0
McHenry,2,250,252,0
McIntosh,1,84,85,1
McKenzie,15,627,642,13
McLean,5,522,527,5
Mercer,4,426,430,3
Morton,37,1702,1739,19
Mountrail,38,1262,1300,34
Nelson,1,170,171,1
Oliver,1,37,38,1
Pembina,6,396,402,4
Pierce,3,257,260,2
Ramsey,7,760,767,3
Ransom,3,314,317,1
Renville,1,133,134,1
Richland,9,425,434,7
Rolette,3,938,941,1
Sargent,3,415,418,1
Sheridan,0,32,32,0
Sioux,1,423,424,1
Slope,3,129,132,3
Stark,61,3308,3369,50
Steele,0,42,42,0
Stutsman,16,2022,2038,10
Towner,0,115,115,0
Traill,1,230,231,0
Unknown,0,5060,5060,0
Walsh,9,529,538,7
Ward,28,3001,3029,20
Wells,2,229,231,2
Williams,21,1666,1687,11
