County,Cases,Deaths,Recovered,ReportDate
OKLAHOMA,1013,45,770,2020-05-14
TULSA,743,37,603,2020-05-14
TEXAS,541,4,264,2020-05-14
CLEVELAND,458,35,385,2020-05-14
WASHINGTON,301,29,243,2020-05-14
COMANCHE,197,3,99,2020-05-14
WAGONER,131,17,99,2020-05-14
CANADIAN,116,3,94,2020-05-14
CADDO,110,9,65,2020-05-14
DELAWARE,93,16,69,2020-05-14
OSAGE,90,8,63,2020-05-14
MCCLAIN,86,2,67,2020-05-14
CREEK,83,7,69,2020-05-14
ADAIR,74,3,55,2020-05-14
ROGERS,72,5,60,2020-05-14
GREER,66,7,55,2020-05-14
GRADY,58,2,40,2020-05-14
POTTAWATOMIE,55,4,44,2020-05-14
KAY,49,7,38,2020-05-14
PAYNE,44,1,42,2020-05-14
PITTSBURG,39,3,30,2020-05-14
OTTAWA,34,2,28,2020-05-14
MUSKOGEE,30,6,20,2020-05-14
CHEROKEE,29,1,23,2020-05-14
PAWNEE,29,2,22,2020-05-14
MAYES,26,4,20,2020-05-14
NOWATA,23,0,19,2020-05-14
GARFIELD,22,1,14,2020-05-14
STEPHENS,22,1,21,2020-05-14
JACKSON,21,1,17,2020-05-14
SEMINOLE,21,2,16,2020-05-14
TILLMAN,21,1,2,2020-05-14
BEAVER,20,0,14,2020-05-14
LOGAN,18,1,16,2020-05-14
LINCOLN,17,2,11,2020-05-14
OKMULGEE,16,0,16,2020-05-14
GARVIN,15,1,13,2020-05-14
SEQUOYAH,14,3,8,2020-05-14
LE FLORE,14,1,11,2020-05-14
CRAIG,13,0,11,2020-05-14
CUSTER,12,0,12,2020-05-14
BRYAN,12,1,7,2020-05-14
KINGFISHER,10,0,10,2020-05-14
PONTOTOC,10,2,8,2020-05-14
MCCURTAIN,9,0,7,2020-05-14
CARTER,7,1,4,2020-05-14
NOBLE,7,0,5,2020-05-14
KIOWA,6,0,3,2020-05-14
MAJOR,6,1,3,2020-05-14
BECKHAM,6,0,5,2020-05-14
COTTON,5,2,3,2020-05-14
LATIMER,5,1,2,2020-05-14
MCINTOSH,5,0,4,2020-05-14
HASKELL,5,0,5,2020-05-14
CHOCTAW,3,0,2,2020-05-14
WOODS,3,0,2,2020-05-14
LOVE,3,0,1,2020-05-14
JOHNSTON,3,0,3,2020-05-14
JEFFERSON,3,0,3,2020-05-14
GRANT,2,0,2,2020-05-14
MURRAY,2,0,2,2020-05-14
MARSHALL,2,0,2,2020-05-14
DEWEY,2,0,2,2020-05-14
OKFUSKEE,2,0,1,2020-05-14
BLAINE,1,0,0,2020-05-14
HARPER,1,0,1,2020-05-14
WOODWARD,1,0,1,2020-05-14
CIMARRON,1,0,1,2020-05-14
ALFALFA,1,0,1,2020-05-14
PUSHMATAHA,1,0,1,2020-05-14
ATOKA,1,0,1,2020-05-14
WASHITA,1,0,0,2020-05-14
