County,Cases,Deaths,Recovered,ReportDate
TULSA,2070,65,1284,2020-06-19
OKLAHOMA,1946,65,1418,2020-06-19
TEXAS,977,6,957,2020-06-19
CLEVELAND,620,40,500,2020-06-19
WASHINGTON,365,38,310,2020-06-19
COMANCHE,361,5,309,2020-06-19
PAYNE,208,1,53,2020-06-19
MCCURTAIN,200,2,108,2020-06-19
WAGONER,194,17,141,2020-06-19
CANADIAN,186,3,139,2020-06-19
CADDO,181,10,160,2020-06-19
OSAGE,125,8,97,2020-06-19
GRADY,123,4,109,2020-06-19
ROGERS,122,5,86,2020-06-19
CREEK,121,7,97,2020-06-19
MCCLAIN,121,4,106,2020-06-19
DELAWARE,114,16,86,2020-06-19
CHOCTAW,107,1,97,2020-06-19
ADAIR,103,4,89,2020-06-19
MUSKOGEE,88,9,49,2020-06-19
POTTAWATOMIE,80,4,62,2020-06-19
KAY,77,7,54,2020-06-19
BRYAN,68,1,42,2020-06-19
GREER,66,7,57,2020-06-19
CARTER,63,1,54,2020-06-19
CHEROKEE,60,1,35,2020-06-19
MAYES,60,4,34,2020-06-19
GARFIELD,54,1,45,2020-06-19
STEPHENS,48,1,40,2020-06-19
PITTSBURG,47,3,39,2020-06-19
PAWNEE,46,2,35,2020-06-19
CUSTER,45,0,37,2020-06-19
OTTAWA,42,2,34,2020-06-19
GARVIN,41,1,19,2020-06-19
OKMULGEE,36,0,31,2020-06-19
SEMINOLE,33,3,29,2020-06-19
JACKSON,32,3,25,2020-06-19
BEAVER,30,0,30,2020-06-19
MCINTOSH,27,1,13,2020-06-19
NOWATA,27,1,22,2020-06-19
LOGAN,26,1,20,2020-06-19
NOBLE,26,0,11,2020-06-19
LE FLORE,25,1,15,2020-06-19
LINCOLN,25,2,20,2020-06-19
LOVE,25,0,19,2020-06-19
PONTOTOC,24,2,19,2020-06-19
TILLMAN,23,1,22,2020-06-19
SEQUOYAH,22,3,16,2020-06-19
MARSHALL,21,0,11,2020-06-19
CRAIG,17,0,16,2020-06-19
KINGFISHER,17,0,12,2020-06-19
BLAINE,13,0,9,2020-06-19
MURRAY,13,0,10,2020-06-19
WOODWARD,12,0,6,2020-06-19
ATOKA,11,0,4,2020-06-19
JOHNSTON,8,0,5,2020-06-19
BECKHAM,8,0,7,2020-06-19
PUSHMATAHA,8,0,5,2020-06-19
MAJOR,7,1,5,2020-06-19
HASKELL,7,0,6,2020-06-19
LATIMER,7,1,5,2020-06-19
COAL,6,0,4,2020-06-19
OKFUSKEE,6,0,6,2020-06-19
KIOWA,6,0,4,2020-06-19
WOODS,5,0,5,2020-06-19
COTTON,5,2,3,2020-06-19
JEFFERSON,4,0,4,2020-06-19
DEWEY,4,0,2,2020-06-19
WASHITA,3,0,1,2020-06-19
HUGHES,3,0,3,2020-06-19
GRANT,2,0,2,2020-06-19
ALFALFA,1,0,1,2020-06-19
HARPER,1,0,1,2020-06-19
CIMARRON,1,0,1,2020-06-19
