OBJECTID,STAETFP,COUNTYFP,GEOID,COUNTY,LABEL,FULL_,County_Pos_Cases,County_Population,County_Rate_Per_100_000,State_Population,State_Pos_Unknown,State_Pos_Cases,Data_Source,Date_Data_Last_Updated,State_Number_Tested,State_Number_Hospitalizations,State_Deaths,State_Number_of_Counties_Pos,State_Rate_Per_100000,Shape__Area,Shape__Length,State_Number_Outbreaks
1,08,109,08109,SAGUACHE,Saguache,Saguache County,3,6837,-1,5695430,145,7691,Colorado Department of Public Health and Environment - Number of Positive COVID-19 Cases by County,"Data through April 12, 2020",38742,1493,308,56,135.07,13273871024.1289,529491.079018544,72
2,08,115,08115,SEDGWICK,Sedgwick,Sedgwick County,0,2275,0,5695430,145,7691,Colorado Department of Public Health and Environment - Number of Positive COVID-19 Cases by County,"Data through April 12, 2020",38742,1493,308,56,135.07,2491281577.11719,208249.56871408,72
3,08,017,08017,CHEYENNE,Cheyenne,Cheyenne County,0,1862,0,5695430,145,7691,Colorado Department of Public Health and Environment - Number of Positive COVID-19 Cases by County,"Data through April 12, 2020",38742,1493,308,56,135.07,7613550869.75391,373455.831824096,72
4,08,027,08027,CUSTER,Custer,Custer County,2,4928,-1,5695430,145,7691,Colorado Department of Public Health and Environment - Number of Positive COVID-19 Cases by County,"Data through April 12, 2020",38742,1493,308,56,135.07,3100361575.17578,290994.589030107,72
5,08,067,08067,LA PLATA,La Plata,La Plata County,44,56403,78.01,5695430,145,7691,Colorado Department of Public Health and Environment - Number of Positive COVID-19 Cases by County,"Data through April 12, 2020",38742,1493,308,56,135.07,6966607866.58203,371001.027724019,72
6,08,111,08111,SAN JUAN,San Juan,San Juan County,0,762,0,5695430,145,7691,Colorado Department of Public Health and Environment - Number of Positive COVID-19 Cases by County,"Data through April 12, 2020",38742,1493,308,56,135.07,1611963627.42969,209303.346789561,72
7,08,097,08097,PITKIN,Pitkin,Pitkin County,49,17879,274.06,5695430,145,7691,Colorado Department of Public Health and Environment - Number of Positive COVID-19 Cases by County,"Data through April 12, 2020",38742,1493,308,56,135.07,4204962607.14063,360368.050497512,72
8,08,093,08093,PARK,Park,Park County,6,18557,32.33,5695430,145,7691,Colorado Department of Public Health and Environment - Number of Positive COVID-19 Cases by County,"Data through April 12, 2020",38742,1493,308,56,135.07,9525822458.41406,477017.520520283,72
9,08,003,08003,ALAMOSA,Alamosa,Alamosa County,7,16184,43.25,5695430,145,7691,Colorado Department of Public Health and Environment - Number of Positive COVID-19 Cases by County,"Data through April 12, 2020",38742,1493,308,56,135.07,2987314188.43359,224661.437209443,72
10,08,099,08099,PROWERS,Prowers,Prowers County,1,12078,-1,5695430,145,7691,Colorado Department of Public Health and Environment - Number of Positive COVID-19 Cases by County,"Data through April 12, 2020",38742,1493,308,56,135.07,6861386117.78516,333326.752196427,72
11,08,081,08081,MOFFAT,Moffat,Moffat County,3,13181,-1,5695430,145,7691,Colorado Department of Public Health and Environment - Number of Positive COVID-19 Cases by County,"Data through April 12, 2020",38742,1493,308,56,135.07,21378597682.3633,615436.363722786,72
12,08,059,08059,JEFFERSON,Jefferson,Jefferson County,787,579491,135.81,5695430,145,7691,Colorado Department of Public Health and Environment - Number of Positive COVID-19 Cases by County,"Data through April 12, 2020",38742,1493,308,56,135.07,3379799618.59766,374132.11754513,72
13,08,117,08117,SUMMIT,Summit,Summit County,72,30973,232.46,5695430,145,7691,Colorado Department of Public Health and Environment - Number of Positive COVID-19 Cases by County,"Data through April 12, 2020",38742,1493,308,56,135.07,2707648429.75781,325660.775440309,72
14,08,101,08101,PUEBLO,Pueblo,Pueblo County,64,167116,38.3,5695430,145,7691,Colorado Department of Public Health and Environment - Number of Positive COVID-19 Cases by County,"Data through April 12, 2020",38742,1493,308,56,135.07,10064732291.2969,426421.345889861,72
15,08,013,08013,BOULDER,Boulder,Boulder County,284,325476,87.26,5695430,145,7691,Colorado Department of Public Health and Environment - Number of Positive COVID-19 Cases by County,"Data through April 12, 2020",38742,1493,308,56,135.07,3280791024.07031,290982.502053684,72
16,08,031,08031,DENVER,Denver,Denver County,1346,717797,187.52,5695430,145,7691,Colorado Department of Public Health and Environment - Number of Positive COVID-19 Cases by County,"Data through April 12, 2020",38742,1493,308,56,135.07,680063925.65625,341638.127461467,72
17,08,085,08085,MONTROSE,Montrose,Montrose County,59,42260,139.61,5695430,145,7691,Colorado Department of Public Health and Environment - Number of Positive COVID-19 Cases by County,"Data through April 12, 2020",38742,1493,308,56,135.07,9473395348.78906,544456.741798932,72
18,08,037,08037,EAGLE,Eagle,Eagle County,457,54863,832.98,5695430,145,7691,Colorado Department of Public Health and Environment - Number of Positive COVID-19 Cases by County,"Data through April 12, 2020",38742,1493,308,56,135.07,7395854605.48047,390147.77807481,72
19,08,113,08113,SAN MIGUEL,San Miguel,San Miguel County,12,8177,146.75,5695430,145,7691,Colorado Department of Public Health and Environment - Number of Positive COVID-19 Cases by County,"Data through April 12, 2020",38742,1493,308,56,135.07,5384599734.96484,409162.439815051,72
20,08,023,08023,COSTILLA,Costilla,Costilla County,3,3809,-1,5695430,145,7691,Colorado Department of Public Health and Environment - Number of Positive COVID-19 Cases by County,"Data through April 12, 2020",38742,1493,308,56,135.07,5044736712.28125,326902.580049715,72
21,08,014,08014,BROOMFIELD,Broomfield,Broomfield County,81,69453,116.63,5695430,145,7691,Colorado Department of Public Health and Environment - Number of Positive COVID-19 Cases by County,"Data through April 12, 2020",38742,1493,308,56,135.07,148046030.359375,146355.830495437,72
22,08,015,08015,CHAFFEE,Chaffee,Chaffee County,28,20028,139.8,5695430,145,7691,Colorado Department of Public Health and Environment - Number of Positive COVID-19 Cases by County,"Data through April 12, 2020",38742,1493,308,56,135.07,4328004367.16797,386588.205582361,72
23,08,025,08025,CROWLEY,Crowley,Crowley County,2,5857,-1,5695430,145,7691,Colorado Department of Public Health and Environment - Number of Positive COVID-19 Cases by County,"Data through April 12, 2020",38742,1493,308,56,135.07,3373467236.0625,243673.421602718,72
24,08,043,08043,FREMONT,Fremont,Fremont County,8,47912,16.7,5695430,145,7691,Colorado Department of Public Health and Environment - Number of Positive COVID-19 Cases by County,"Data through April 12, 2020",38742,1493,308,56,135.07,6491723772.80859,368122.636694602,72
25,08,055,08055,HUERFANO,Huerfano,Huerfano County,1,6854,-1,5695430,145,7691,Colorado Department of Public Health and Environment - Number of Positive COVID-19 Cases by County,"Data through April 12, 2020",38742,1493,308,56,135.07,6600175788.24219,473895.539017731,72
26,08,029,08029,DELTA,Delta,Delta County,7,30936,22.63,5695430,145,7691,Colorado Department of Public Health and Environment - Number of Positive COVID-19 Cases by County,"Data through April 12, 2020",38742,1493,308,56,135.07,4913548287.83594,340015.070505667,72
27,08,045,08045,GARFIELD,Garfield,Garfield County,58,59807,96.98,5695430,145,7691,Colorado Department of Public Health and Environment - Number of Positive COVID-19 Cases by County,"Data through April 12, 2020",38742,1493,308,56,135.07,12911081555.8047,662380.047263359,72
28,08,103,08103,RIO BLANCO,Rio Blanco,Rio Blanco County,1,6305,-1,5695430,145,7691,Colorado Department of Public Health and Environment - Number of Positive COVID-19 Cases by County,"Data through April 12, 2020",38742,1493,308,56,135.07,14232867247.625,615863.666810983,72
29,08,087,08087,MORGAN,Morgan,Morgan County,75,28503,263.13,5695430,145,7691,Colorado Department of Public Health and Environment - Number of Positive COVID-19 Cases by County,"Data through April 12, 2020",38742,1493,308,56,135.07,5761403665.51953,305025.067510655,72
30,08,073,08073,LINCOLN,Lincoln,Lincoln County,2,5584,-1,5695430,145,7691,Colorado Department of Public Health and Environment - Number of Positive COVID-19 Cases by County,"Data through April 12, 2020",38742,1493,308,56,135.07,11104214487.6953,501503.379966312,72
31,08,083,08083,MONTEZUMA,Montezuma,Montezuma County,12,26159,45.87,5695430,145,7691,Colorado Department of Public Health and Environment - Number of Positive COVID-19 Cases by County,"Data through April 12, 2020",38742,1493,308,56,135.07,8372827720.81641,400009.056123532,72
32,08,001,08001,ADAMS,Adams,Adams County,693,511473,135.49,5695430,145,7691,Colorado Department of Public Health and Environment - Number of Positive COVID-19 Cases by County of Identification,"Data through April 12, 2020",38742,1493,308,56,135.07,5210141150.01953,511835.400891218,72
33,08,079,08079,MINERAL,Mineral,Mineral County,2,777,-1,5695430,145,7691,Colorado Department of Public Health and Environment - Number of Positive COVID-19 Cases by County,"Data through April 12, 2020",38742,1493,308,56,135.07,3634702483.06641,263045.388781546,72
34,08,089,08089,OTERO,Otero,Otero County,5,18364,27.23,5695430,145,7691,Colorado Department of Public Health and Environment - Number of Positive COVID-19 Cases by County,"Data through April 12, 2020",38742,1493,308,56,135.07,5290668251.41406,335426.330930159,72
35,08,095,08095,PHILLIPS,Phillips,Phillips County,4,4266,-1,5695430,145,7691,Colorado Department of Public Health and Environment - Number of Positive COVID-19 Cases by County,"Data through April 12, 2020",38742,1493,308,56,135.07,3093819023.79688,227633.738214857,72
36,08,091,08091,OURAY,Ouray,Ouray County,4,4798,-1,5695430,145,7691,Colorado Department of Public Health and Environment - Number of Positive COVID-19 Cases by County,"Data through April 12, 2020",38742,1493,308,56,135.07,2274816289.12891,272615.623145942,72
37,08,011,08011,BENT,Bent,Bent County,0,5819,0,5695430,145,7691,Colorado Department of Public Health and Environment - Number of Positive COVID-19 Cases by County,"Data through April 12, 2020",38742,1493,308,56,135.07,6430590598.72656,323583.727603443,72
38,08,007,08007,ARCHULETA,Archuleta,Archuleta County,6,13737,43.68,5695430,145,7691,Colorado Department of Public Health and Environment - Number of Positive COVID-19 Cases by County,"Data through April 12, 2020",38742,1493,308,56,135.07,5542147892.29297,332854.375928837,72
39,08,107,08107,ROUTT,Routt,Routt County,41,25683,159.64,5695430,145,7691,Colorado Department of Public Health and Environment - Number of Positive COVID-19 Cases by County,"Data through April 12, 2020",38742,1493,308,56,135.07,10614530971.7148,532136.256905045,72
40,08,053,08053,HINSDALE,Hinsdale,Hinsdale County,2,804,-1,5695430,145,7691,Colorado Department of Public Health and Environment - Number of Positive COVID-19 Cases by County,"Data through April 12, 2020",38742,1493,308,56,135.07,4669808237.98828,359599.201114798,72
41,08,123,08123,WELD,Weld,Weld County,808,314251,257.12,5695430,145,7691,Colorado Department of Public Health and Environment - Number of Positive COVID-19 Cases by County,"Data through April 12, 2020",38742,1493,308,56,135.07,18041133099.0898,641092.26859247,72
42,08,069,08069,LARIMER,Larimer,Larimer County,193,350362,55.09,5695430,145,7691,Colorado Department of Public Health and Environment - Number of Positive COVID-19 Cases by County,"Data through April 12, 2020",38742,1493,308,56,135.07,11869666547.0664,482557.23477005,72
43,08,065,08065,LAKE,Lake,Lake County,4,7762,-1,5695430,145,7691,Colorado Department of Public Health and Environment - Number of Positive COVID-19 Cases by County,"Data through April 12, 2020",38742,1493,308,56,135.07,1658108649.73438,213386.288543794,72
44,08,105,08105,RIO GRANDE,Rio Grande,Rio Grande County,5,11226,44.54,5695430,145,7691,Colorado Department of Public Health and Environment - Number of Positive COVID-19 Cases by County,"Data through April 12, 2020",38742,1493,308,56,135.07,3769075953.91406,271469.141210196,72
45,08,047,08047,GILPIN,Gilpin,Gilpin County,1,6097,-1,5695430,145,7691,Colorado Department of Public Health and Environment - Number of Positive COVID-19 Cases by County,"Data through April 12, 2020",38742,1493,308,56,135.07,661227908.605469,121354.050357325,72
46,08,125,08125,YUMA,Yuma,Yuma County,2,10029,-1,5695430,145,7691,Colorado Department of Public Health and Environment - Number of Positive COVID-19 Cases by County,"Data through April 12, 2020",38742,1493,308,56,135.07,10467950650.7617,420189.213207024,72
47,08,057,08057,JACKSON,Jackson,Jackson County,0,1396,0,5695430,145,7691,Colorado Department of Public Health and Environment - Number of Positive COVID-19 Cases by County,"Data through April 12, 2020",38742,1493,308,56,135.07,7304560868.78125,472651.746203251,72
48,08,063,08063,KIT CARSON,Kit Carson,Kit Carson County,8,7157,111.78,5695430,145,7691,Colorado Department of Public Health and Environment - Number of Positive COVID-19 Cases by County,"Data through April 12, 2020",38742,1493,308,56,135.07,9363594130.41406,400120.724499853,72
49,08,019,08019,CLEAR CREEK,Clear Creek,Clear Creek County,11,9663,113.84,5695430,145,7691,Colorado Department of Public Health and Environment - Number of Positive COVID-19 Cases by County,"Data through April 12, 2020",38742,1493,308,56,135.07,1736216264.01172,211108.263142895,72
50,08,075,08075,LOGAN,Logan,Logan County,13,21854,59.49,5695430,145,7691,Colorado Department of Public Health and Environment - Number of Positive COVID-19 Cases by County,"Data through April 12, 2020",38742,1493,308,56,135.07,8328152552.15234,372747.682548311,72
51,08,121,08121,WASHINGTON,Washington,Washington County,2,4729,-1,5695430,145,7691,Colorado Department of Public Health and Environment - Number of Positive COVID-19 Cases by County,"Data through April 12, 2020",38742,1493,308,56,135.07,11143769306.3555,459622.732781113,72
52,08,035,08035,DOUGLAS,Douglas,Douglas County,304,342842,88.67,5695430,145,7691,Colorado Department of Public Health and Environment - Number of Positive COVID-19 Cases by County,"Data through April 12, 2020",38742,1493,308,56,135.07,3653484422.51172,276727.953834991,72
53,08,021,08021,CONEJOS,Conejos,Conejos County,0,8136,0,5695430,145,7691,Colorado Department of Public Health and Environment - Number of Positive COVID-19 Cases by County,"Data through April 12, 2020",38742,1493,308,56,135.07,5279802537.71094,331488.671176898,72
54,08,041,08041,EL PASO,El Paso,El Paso County,641,714395,89.73,5695430,145,7691,Colorado Department of Public Health and Environment - Number of Positive COVID-19 Cases by County,"Data through April 12, 2020",38742,1493,308,56,135.07,9102643574.50391,401357.096288885,72
55,08,061,08061,KIOWA,Kiowa,Kiowa County,0,1373,0,5695430,145,7691,Colorado Department of Public Health and Environment - Number of Positive COVID-19 Cases by County,"Data through April 12, 2020",38742,1493,308,56,135.07,7549913092.20313,424067.864853848,72
56,08,119,08119,TELLER,Teller,Teller County,15,25060,59.86,5695430,145,7691,Colorado Department of Public Health and Environment - Number of Positive COVID-19 Cases by County,"Data through April 12, 2020",38742,1493,308,56,135.07,2392495005.71094,233307.545938797,72
57,08,051,08051,GUNNISON,Gunnison,Gunnison County,99,17173,576.49,5695430,145,7691,Colorado Department of Public Health and Environment - Number of Positive COVID-19 Cases by County,"Data through April 12, 2020",38742,1493,308,56,135.07,13869269448.5195,669945.263503513,72
58,08,009,08009,BACA,Baca,Baca County,10,3547,281.93,5695430,145,7691,Colorado Department of Public Health and Environment - Number of Positive COVID-19 Cases by County,"Data through April 12, 2020",38742,1493,308,56,135.07,10491691046.9727,413607.350631197,72
59,08,039,08039,ELBERT,Elbert,Elbert County,16,26218,61.03,5695430,145,7691,Colorado Department of Public Health and Environment - Number of Positive COVID-19 Cases by County,"Data through April 12, 2020",38742,1493,308,56,135.07,8013602362.3125,412091.404768861,72
60,08,077,08077,MESA,Mesa,Mesa County,35,153630,22.78,5695430,145,7691,Colorado Department of Public Health and Environment - Number of Positive COVID-19 Cases by County,"Data through April 12, 2020",38742,1493,308,56,135.07,14355754237.5938,614897.951141589,72
61,08,033,08033,DOLORES,Dolores,Dolores County,0,2053,0,5695430,145,7691,Colorado Department of Public Health and Environment - Number of Positive COVID-19 Cases by County,"Data through April 12, 2020",38742,1493,308,56,135.07,4433037486.37891,377983.232895077,72
62,08,005,08005,ARAPAHOE,Arapahoe,Arapahoe County,1142,651342,175.33,5695430,145,7691,Colorado Department of Public Health and Environment - Number of Positive COVID-19 Cases by County,"Data through April 12, 2020",38742,1493,308,56,135.07,3523320321.52344,435283.847309801,72
63,08,071,08071,LAS ANIMAS,Las Animas,Las Animas County,2,14491,-1,5695430,145,7691,Colorado Department of Public Health and Environment - Number of Positive COVID-19 Cases by County,"Data through April 12, 2020",38742,1493,308,56,135.07,19590463047.1133,660024.150359288,72
64,08,049,08049,GRAND,Grand,Grand County,4,15474,-1,5695430,145,7691,Colorado Department of Public Health and Environment - Number of Positive COVID-19 Cases by County,"Data through April 12, 2020",38742,1493,308,56,135.07,8286034228.99609,526946.918699701,72
