"county","as of","cases","deaths","url","notes","tested","pending","negative","positive","inconclusive","positives-travel","Locally Acquired (person to person or community spread)","Known Contact Positives","Community Transmission Positives","unknown/under investigation","recovered","Hospitalized","hospitalized-status","ICU","ICU-status","federal quarantine","Non-Resident Positive Tests","PUI (travelers + others)","travelers completed monitoring","for map?","updated","more granular data avaialble?","race data?"
"Alameda","4/13/2020 12:04:28","886","23","http://www.acphd.org/2019-ncov.aspx","","","","","","","","","","","","","","","","","","","","","BANG","","x","x"
"Contra Costa","4/13/2020 12:04:42","552","11","https://cchealth.org/coronavirus/","","7485","","","","","","","","","","","41","currently","","","","","","","BANG","","",""
"Marin","4/13/2020 16:45:09","170","10","https://coronavirus.marinhhs.org/surveillance","They sometimes miss our cutoff for reporting sat EOD because they post updates late, so day-to-day change might be off.","2145","","","","","","","","","","","28","","","","","","","","BANG","","",""
"Napa","4/13/2020 16:45:57","34","2","https://legacy.livestories.com/s/v2/coronavirus-report-for-napa-county-ca/9065d62d-f5a6-445f-b2a9-b7cf30b846dd/","Napa has some competing info on different sites, so be careful.","726","127","565","34","","","","","","","","","","","","","","","","BANG","","","x"
"San Francisco","4/13/2020 12:14:26","957","15","https://www.sfdph.org/dph/alerts/coronavirus.asp","SF hospitalization numbers are from the health director in a press conference, but they are not releasing them on a daily basis yet.","7961","","","","","","","","","","","93","current","30","current","","","","","BANG","","","x"
"San Mateo","4/13/2020 12:15:04","701","21","https://www.smchealth.org/coronavirus","Their portal says it was updated on the previous day, but the numbers aren't reported until the next day. So, for example, it says ""data last updated April 8th"" but those numbers are reported on the 9th.","6773","6043","5517","699","","","","","","","","72","current","20","current","","","","","BANG","","",""
"Santa Clara","4/13/2020 16:46:53","1666","60","https://www.sccgov.org/sites/phd/DiseaseInformation/novel-coronavirus/Pages/dashboard.aspx","","15529","193","13670","1666","","","","","","","","197","current","74","current","","","","","BANG","","x","x"
"Santa Cruz","4/13/2020 12:17:26","91","1","https://www.santacruzhealth.org/HSAHome/HSADivisions/PublicHealth/CommunicableDiseaseControl/Coronavirus.aspx","","","","2340","","","","","","","","37","16","required hospitalization","","","","","","","BANG","","x",""
"Solano","4/13/2020 16:48:09","135","2","http://www.solanocounty.com/depts/ph/ncov.asp","no weekend updates","1855","","","","","","","","","","","","cumulative/current","","","","","","","BANG","","x",""
"Sonoma","4/12/2020","147","2","https://socoemergency.org/emergency/novel-coronavirus/novel-coronavirus-in-sonoma-county/","The display ""active cases"" prominently but it doesn't include deaths and recovered. Make sure to pull ""cumulative cases.""","3626","","","","","","","","","","61","21","hispitalized","","","","","","","BANG","","",""
"Los Angeles","4/13/2020 15:14:47","9420","320","http://publichealth.lacounty.gov/media/Coronavirus/","","52000","","","","","","","","","","","2354","ever","","","","","","","SCNG","","x",""
"Orange","4/13/2020 15:15:21","1283","19","https://occovid19.ochealthinfo.com/coronavirus-in-oc","","14175","","","","","","","","","","","103","current","51","current","","","","","SCNG","","x",""
"Riverside","4/13/2020 15:16:02","1751","50","https://www.rivcoph.org/coronavirus","","","","","","","","","","","","297","","","","","","","","","SCNG","","x",""
"San Benito","4/13/2020 15:16:56","38","2","https://hhsa.cosb.us/publichealth/communicable-disease/coronavirus/","","557","37","482","38","","","","","","","28","","","","","","","","","SCNG","","",""
"Alpine","4/10/2020 17:49:43","1","0","http://alpinecountyca.gov/AlertCenter.aspx?AID=COVID19-CASES-12","","6","1","4","2","","","","","","","1","","","","","","1","","","","","",""
"Amador","4/13/2020 15:18:14","7","0","https://www.amadorgov.org/services/covid-19/-fsiteid-1","""Amador County Public Health has confirmed 1 county resident traveling abroad has been diagnosed with novel coronavirus (COVID-19). This individual has not been at home in the county.""","","","","","","","","","","","2","2","","","","","","","","","","",""
"Butte","4/13/2020 16:50:09","15","0","https://infogram.com/butte-county-covid-19-1h0r6r9k3k776ek?live","","","","","","","","","","","","10","1","currently","","","","","","","","","",""
"Calaveras","4/13/2020 16:51:34","9","0","https://covid19.calaverasgov.us/","","","","","","","","","","","","6","","","","","","","","","","","",""
"Colusa","4/10/2020 17:51:14","3","0","http://countyofcolusa.org/99/Public-Health","","","","","","","","","","","","","","","","","","","","","","","",""
"Del Norte","4/13/2020 16:52:37","2","0","http://www.co.del-norte.ca.us/departments/health-human-services/public-health","*these represent ""approximate"" number of tests","176","2","172","2","","","","","","","","","","","","","","","","","","",""
"El Dorado","4/12/2020 16:50:35","32","0","https://www.edcgov.us/Government/hhsa/Pages/EDCCOVID-19-Cases.aspx","they say there are ""more than 50"" pending results","1125","","1093","32","","","","","","","16","","","","","","","","","","","",""
"Fresno","4/13/2020 16:53:49","222","5","https://www.co.fresno.ca.us/departments/public-health/covid-19","fresno has stats on people who have been monitored and those who are currently being monitored","3212","","","","","","","","","","37","51","ever","","","","","","","","","x",""
"Glenn","4/13/2020 16:55:08","4","0","https://www.countyofglenn.net/dept/health-human-services/public-health/covid-19","","60","","56","4","","","","","","","2","0","","","","","","","","","","",""
"Humboldt","4/11/2020 17:04:23","50","0","https://humboldtgov.org/2707/COVID-Test-Results","","1418","","","","","","","","","","","3","","","","","","","","","","",""
"Imperial","4/12/2020 16:54:03","87","3","http://www.icphd.org/health-information-and-resources/healthy-facts/covid-19/","*(positives) Includes results from private laboratories. ∞(pending) Pending results for Public Health Laboratory testing only.","675","","","","","","","","","","25","","","","","","","","","","","",""
"Inyo","4/10/2020 17:54:42","12","0","https://www.inyocounty.us/covid-19/press-releases","(the testing data is behind the case data, hence 2 positive tests reported, but 1 test reported)","","28","116","12","","","","","","","","","","","","","","","","","","",""
"Kern","4/13/2020 15:20:02","436","3","https://kernpublichealth.com/2019-novel-coronavirus/","we no longer include the non-residents listed","6533","2535","3554","444","","","","","","","","","","","","","8","","","","","x",""
"Kings","4/13/2020 16:57:52","12","1","https://www.countyofkings.com/departments/health-welfare/public-health/coronavirus-disease-2019-covid-19","The number above indicating how many samples have been collected is the number of samples that our department has collected.","609","","574","","","","","","","","3","","","","","","","","","","","",""
"Lake","4/10/2020 17:57:09","4","0","http://health.co.lake.ca.us/Coronavirus.htm","","","","238","","","","","","","","","","","","","","","","","","","",""
"Lassen","4/13/2020 16:58:48","0","0","https://lassencares.org/","","85","4","81","0","","","","","","","","","","","","","","","","","","",""
"Madera","4/13/2020 16:59:28","33","2","https://www.maderacounty.com/government/public-health/corona-virus-covid-19/covid-revised","pending tests only from the public health lab","428","","","","","","","","","","11","","","","","","","","","","","",""
"Mariposa","4/13/2020 16:59:54","0","0","https://www.mariposacounty.org/1592/COVID-19-Information","These numbers do not include additional testing through the commercial lab system, hospitals and clinics. Although Mariposa County Public Health does not receive information on the number of tests sent through those systems, Public Health is notified of all positive result tests.","79","4","75","0","","","","","","","","","","","","","","","","","","",""
