County,Total Positive,Total Negative,Total Tested,Total Recovered,Deaths
Adams,0,394,394,0,0
Barnes,9,986,995,5,0
Benson,2,735,737,1,0
Billings,0,143,143,0,0
Bottineau,3,332,335,1,0
Bowman,1,397,398,1,0
Burke,5,156,161,5,0
Burleigh,141,8660,8801,107,0
Cass,1880,18025,19905,1490,60
Cavalier,0,232,232,0,0
Dickey,1,284,285,0,0
Divide,1,406,407,1,0
Dunn,11,299,310,11,0
Eddy,4,310,314,4,0
Emmons,4,242,246,2,1
Foster,1,146,147,1,0
Golden Valley,0,283,283,0,0
Grand Forks,336,5952,6288,303,4
Grant,2,121,123,2,0
Griggs,1,186,187,1,0
Hettinger,0,462,462,0,0
Kidder,0,112,112,0,0
LaMoure,1,284,285,0,0
Logan,0,169,169,0,0
McHenry,2,383,385,1,1
McIntosh,1,253,254,1,0
McKenzie,18,792,810,17,0
McLean,7,796,803,7,0
Mercer,6,665,671,5,0
Morton,60,2917,2977,46,2
Mountrail,42,1471,1513,40,0
Nelson,1,308,309,1,0
Oliver,1,80,81,1,0
Pembina,6,571,577,6,0
Pierce,3,298,301,3,0
Ramsey,8,1367,1375,6,1
Ransom,11,760,771,8,0
Renville,3,186,189,1,0
Richland,27,1471,1498,20,0
Rolette,6,1209,1215,5,0
Sargent,4,673,677,3,0
Sheridan,1,142,143,0,0
Sioux,2,557,559,0,0
Slope,3,133,136,3,0
Stark,62,3900,3962,58,2
Steele,1,163,164,0,0
Stutsman,35,3057,3092,19,0
Towner,0,135,135,0,0
Traill,14,1145,1159,5,0
Unknown,0,3803,3803,0,0
Walsh,16,713,729,15,0
Ward,43,6031,6074,36,1
Wells,5,359,364,3,0
Williams,25,2410,2435,23,0
