County,Total Positive,Total Negative,Total Tested,Total Recovered,Deaths
Adams,0,390,390,0,0
Barnes,6,807,813,4,0
Benson,1,740,741,1,0
Billings,0,143,143,0,0
Bottineau,3,319,322,1,0
Bowman,1,391,392,1,0
Burke,5,154,159,5,0
Burleigh,134,8336,8470,107,0
Cass,1803,17301,19104,1440,55
Cavalier,0,227,227,0,0
Dickey,1,271,272,0,0
Divide,1,405,406,1,0
Dunn,11,297,308,11,0
Eddy,4,296,300,4,0
Emmons,4,228,232,2,1
Foster,1,139,140,1,0
Golden Valley,0,283,283,0,0
Grand Forks,336,5805,6141,302,3
Grant,2,115,117,2,0
Griggs,1,185,186,0,0
Hettinger,0,444,444,0,0
Kidder,0,106,106,0,0
LaMoure,0,277,277,0,0
Logan,0,164,164,0,0
McHenry,2,349,351,1,1
McIntosh,1,252,253,1,0
McKenzie,17,781,798,17,0
McLean,7,745,752,7,0
Mercer,5,643,648,5,0
Morton,60,2843,2903,46,2
Mountrail,42,1430,1472,40,0
Nelson,1,304,305,1,0
Oliver,1,77,78,1,0
Pembina,6,549,555,6,0
Pierce,3,290,293,3,0
Ramsey,8,1337,1345,6,1
Ransom,11,719,730,7,0
Renville,3,176,179,1,0
Richland,23,1387,1410,19,0
Rolette,6,1177,1183,5,0
Sargent,4,660,664,3,0
Sheridan,0,138,138,0,0
Sioux,1,467,468,0,0
Slope,3,130,133,3,0
Stark,62,3831,3893,58,2
Steele,1,147,148,0,0
Stutsman,29,3011,3040,18,0
Towner,0,134,134,0,0
Traill,14,1029,1043,5,0
Unknown,0,4117,4117,0,0
Walsh,15,691,706,13,0
Ward,39,5108,5147,35,1
Wells,3,313,316,3,0
Williams,25,2380,2405,23,0
