OBJECTID,STAETFP,COUNTYFP,GEOID,COUNTY,LABEL,FULL_,County_Pos_Cases,County_Population,County_Rate_Per_100_000,State_Population,State_Pos_Unknown,State_Pos_Cases,Data_Source,Date_Data_Last_Updated,State_Number_Tested,State_Number_Hospitalizations,State_Deaths,State_Number_of_Counties_Pos,State_Rate_Per_100000,Shape__Area,Shape__Length
1,08,109,08109,SAGUACHE,Saguache,Saguache County,0,6829,0,5695430,1,475,Colorado Department of Public Health and Environment - Number of Positive COVID-19 Cases by County,"March 21, 2020",4550,49,5,29,8.34,13273871024.1289,529491.079018544
2,08,115,08115,SEDGWICK,Sedgwick,Sedgwick County,0,2275,0,5695430,1,475,Colorado Department of Public Health and Environment - Number of Positive COVID-19 Cases by County,"March 21, 2020",4550,49,5,29,8.34,2491281577.11719,208249.56871408
3,08,017,08017,CHEYENNE,Cheyenne,Cheyenne County,0,1867,0,5695430,1,475,Colorado Department of Public Health and Environment - Number of Positive COVID-19 Cases by County,"March 21, 2020",4550,49,5,29,8.34,7613550869.75391,373455.831824096
4,08,027,08027,CUSTER,Custer,Custer County,0,4934,0,5695430,1,475,Colorado Department of Public Health and Environment - Number of Positive COVID-19 Cases by County,"March 21, 2020",4550,49,5,29,8.34,3100361575.17578,290994.589030107
5,08,067,08067,LA PLATA,La Plata,La Plata County,0,56446,0,5695430,1,475,Colorado Department of Public Health and Environment - Number of Positive COVID-19 Cases by County,"March 21, 2020",4550,49,5,29,8.34,6966607866.58203,371001.027724019
6,08,111,08111,SAN JUAN,San Juan,San Juan County,0,747,0,5695430,1,475,Colorado Department of Public Health and Environment - Number of Positive COVID-19 Cases by County,"March 21, 2020",4550,49,5,29,8.34,1611963627.42969,209303.346789561
7,08,097,08097,PITKIN,Pitkin,Pitkin County,15,17926,83.68,5695430,1,475,Colorado Department of Public Health and Environment - Number of Positive COVID-19 Cases by County,"March 21, 2020",4550,49,5,29,8.34,4204962607.14063,360368.050497512
8,08,093,08093,PARK,Park,Park County,1,18545,-1,5695430,1,475,Colorado Department of Public Health and Environment - Number of Positive COVID-19 Cases by County,"March 21, 2020",4550,49,5,29,8.34,9525822458.41406,477017.520520283
9,08,003,08003,ALAMOSA,Alamosa,Alamosa County,0,16178,0,5695430,1,475,Colorado Department of Public Health and Environment - Number of Positive COVID-19 Cases by County,"March 21, 2020",4550,49,5,29,8.34,2987314188.43359,224661.437209443
10,08,099,08099,PROWERS,Prowers,Prowers County,0,12076,0,5695430,1,475,Colorado Department of Public Health and Environment - Number of Positive COVID-19 Cases by County,"March 21, 2020",4550,49,5,29,8.34,6861386117.78516,333326.752196427
