County,Total Positive,Total Negative,Unique Individuals Tested,Total Recovered,Deaths
Adams,0,476,476,0,0
Barnes,20,1398,1418,18,0
Benson,4,1156,1160,3,0
Billings,1,186,187,1,0
Bottineau,5,699,704,5,0
Bowman,1,692,693,1,0
Burke,6,193,199,5,0
Burleigh,302,14126,14428,198,0
Cass,2295,26277,28572,2110,66
Cavalier,3,446,449,2,0
Dickey,4,471,475,4,0
Divide,1,439,440,1,0
Dunn,14,362,376,12,0
Eddy,5,468,473,5,0
Emmons,4,387,391,3,1
Foster,2,336,338,2,0
Golden Valley,0,307,307,0,0
Grand Forks,397,9175,9572,362,4
Grant,3,235,238,3,0
Griggs,2,268,270,2,0
Hettinger,1,518,519,0,0
Kidder,2,169,171,2,0
LaMoure,13,682,695,11,0
Logan,0,303,303,0,0
McHenry,4,501,505,2,1
McIntosh,2,707,709,1,0
McKenzie,27,971,998,24,0
McLean,11,1406,1417,11,0
Mercer,7,821,828,6,0
Morton,100,4259,4359,69,2
Mountrail,51,1676,1727,43,0
Nelson,1,419,420,1,0
Oliver,2,120,122,1,0
Pembina,9,744,753,9,0
Pierce,5,492,497,4,0
Ramsey,11,1774,1785,8,1
Ransom,17,984,1001,17,0
Renville,5,231,236,4,0
Richland,42,1804,1846,40,0
Rolette,11,2216,2227,8,0
Sargent,6,794,800,4,0
Sheridan,1,185,186,1,0
Sioux,25,1249,1274,9,0
Slope,3,135,138,3,0
Stark,77,4621,4698,68,3
Steele,2,252,254,1,0
Stutsman,63,4089,4152,61,1
Towner,0,182,182,0,0
Traill,21,1370,1391,15,0
Unknown,0,2235,2235,0,0
Walsh,26,1417,1443,20,0
Ward,61,7969,8030,53,1
Wells,9,476,485,7,0
Williams,38,2984,3022,26,0
