County,Total Positive,Total Negative,Total Tested,Total Recovered,Deaths
Adams,0,72,72,0,0
Barnes,4,735,739,4,0
Benson,1,517,518,1,0
Billings,0,143,143,0,0
Bottineau,2,284,286,1,0
Bowman,1,363,364,1,0
Burke,5,127,132,5,0
Burleigh,125,7699,7824,102,0
Cass,1632,15331,16963,1091,46
Cavalier,0,213,213,0,0
Dickey,0,261,261,0,0
Divide,1,393,394,1,0
Dunn,12,199,211,12,0
Eddy,4,251,255,2,0
Emmons,4,213,217,0,1
Foster,1,120,121,1,0
Golden Valley,0,101,101,0,0
Grand Forks,328,5278,5606,296,3
Grant,2,105,107,2,0
Griggs,1,181,182,1,0
Hettinger,0,305,305,0,0
Kidder,0,95,95,0,0
LaMoure,0,260,260,0,0
Logan,0,154,154,0,0
McHenry,2,311,313,1,1
McIntosh,1,239,240,1,0
McKenzie,16,717,733,16,0
McLean,7,646,653,7,0
Mercer,5,593,598,4,0
Morton,59,2445,2504,36,2
Mountrail,39,1353,1392,37,0
Nelson,1,281,282,1,0
Oliver,1,73,74,1,0
Pembina,6,468,474,6,0
Pierce,3,272,275,3,0
Ramsey,8,1124,1132,6,1
Ransom,8,622,630,4,0
Renville,1,150,151,1,0
Richland,20,1010,1030,11,0
Rolette,5,1133,1138,4,0
Sargent,3,573,576,3,0
Sheridan,0,45,45,0,0
Sioux,2,463,465,1,0
Slope,3,130,133,3,0
Stark,61,3559,3620,58,2
Steele,1,137,138,0,0
Stutsman,18,2358,2376,17,0
Towner,0,127,127,0,0
Traill,11,955,966,1,0
Unknown,0,5186,5186,0,0
Walsh,13,651,664,7,0
Ward,37,4223,4260,21,1
Wells,3,264,267,2,0
Williams,24,2265,2289,21,0
