County,Total Positive,Total Negative,Total Tested,Total Recovered,Deaths
Adams,0,400,400,0,0
Barnes,9,1073,1082,6,0
Benson,3,812,815,2,0
Billings,0,143,143,0,0
Bottineau,4,519,523,2,0
Bowman,1,404,405,1,0
Burke,5,161,166,5,0
Burleigh,159,9667,9826,128,0
Cass,2037,20474,22511,1752,62
Cavalier,0,256,256,0,0
Dickey,3,378,381,0,0
Divide,1,409,410,1,0
Dunn,11,315,326,11,0
Eddy,5,430,435,4,0
Emmons,4,348,352,3,1
Foster,1,172,173,1,0
Golden Valley,0,292,292,0,0
Grand Forks,342,6523,6865,325,4
Grant,2,202,204,2,0
Griggs,1,225,226,1,0
Hettinger,0,468,468,0,0
Kidder,2,125,127,0,0
LaMoure,9,309,318,3,0
Logan,0,171,171,0,0
McHenry,2,414,416,1,1
McIntosh,1,269,270,1,0
McKenzie,21,827,848,18,0
McLean,9,1059,1068,7,0
Mercer,6,689,695,6,0
Morton,63,3172,3235,58,2
Mountrail,43,1525,1568,42,0
Nelson,1,372,373,1,0
Oliver,1,84,85,1,0
Pembina,6,619,625,6,0
Pierce,3,425,428,3,0
Ramsey,8,1421,1429,7,1
Ransom,12,790,802,8,0
Renville,3,193,196,3,0
Richland,36,1561,1597,22,0
Rolette,7,1342,1349,5,0
Sargent,4,704,708,4,0
Sheridan,1,150,151,0,0
Sioux,3,623,626,2,0
Slope,3,135,138,3,0
Stark,63,4022,4085,58,2
Steele,1,232,233,1,0
Stutsman,51,3183,3234,26,0
Towner,0,145,145,0,0
Traill,15,1194,1209,13,0
Unknown,0,3168,3168,0,0
Walsh,16,1026,1042,15,0
Ward,46,6252,6298,41,1
Wells,8,421,429,5,0
Williams,26,2522,2548,26,0
