County,Total Positive,Total Negative,Total Tested,Total Recovered,Deaths
Adams,0,399,399,0,0
Barnes,9,1051,1060,6,0
Benson,3,790,793,1,0
Billings,0,143,143,0,0
Bottineau,4,515,519,2,0
Bowman,1,400,401,1,0
Burke,5,161,166,5,0
Burleigh,156,9520,9676,126,0
Cass,2006,19602,21608,1712,62
Cavalier,0,253,253,0,0
Dickey,2,376,378,0,0
Divide,1,410,411,1,0
Dunn,11,314,325,11,0
Eddy,5,426,431,4,0
Emmons,4,349,353,3,1
Foster,1,167,168,1,0
Golden Valley,0,297,297,0,0
Grand Forks,341,6379,6720,322,4
Grant,2,200,202,2,0
Griggs,1,195,196,1,0
Hettinger,0,467,467,0,0
Kidder,2,116,118,0,0
LaMoure,8,299,307,0,0
Logan,0,172,172,0,0
McHenry,2,412,414,1,1
McIntosh,1,268,269,1,0
McKenzie,21,820,841,17,0
McLean,9,1046,1055,7,0
Mercer,6,689,695,6,0
Morton,62,3149,3211,58,2
Mountrail,43,1519,1562,42,0
Nelson,1,331,332,1,0
Oliver,1,83,84,1,0
Pembina,6,597,603,6,0
Pierce,3,425,428,3,0
Ramsey,8,1412,1420,7,1
Ransom,12,783,795,8,0
Renville,3,191,194,3,0
Richland,33,1534,1567,22,0
Rolette,7,1336,1343,5,0
Sargent,4,701,705,4,0
Sheridan,1,148,149,0,0
Sioux,3,606,609,1,0
Slope,3,135,138,3,0
Stark,63,4006,4069,58,2
Steele,1,227,228,1,0
Stutsman,51,3174,3225,23,0
Towner,0,141,141,0,0
Traill,15,1183,1198,12,0
Unknown,0,3262,3262,0,0
Walsh,16,828,844,15,0
Ward,45,6218,6263,41,1
Wells,8,419,427,4,0
Williams,26,2504,2530,25,0
