OBJECTID,STAETFP,COUNTYFP,GEOID,COUNTY,LABEL,FULL_,County_Pos_Cases,County_Population,County_Rate_Per_100_000,State_Population,State_Pos_Unknown,State_Pos_Cases,Data_Source,Date_Data_Last_Updated,State_Number_Tested,State_Number_Hospitalizations,State_Deaths,State_Number_of_Counties_Pos,State_Rate_Per_100000,Shape__Area,Shape__Length
1,08,109,08109,SAGUACHE,Saguache,Saguache County,0,6837,0,5695430,186,2307,Colorado Department of Public Health and Environment - Number of Positive COVID-19 Cases by County,"Data through March 28, 2020",14470,326,47,46,40.51,13273871024.1289,529491.079018544
2,08,115,08115,SEDGWICK,Sedgwick,Sedgwick County,0,2275,0,5695430,186,2307,Colorado Department of Public Health and Environment - Number of Positive COVID-19 Cases by County,"Data through March 28, 2020",14470,326,47,46,40.51,2491281577.11719,208249.56871408
3,08,017,08017,CHEYENNE,Cheyenne,Cheyenne County,0,1862,0,5695430,186,2307,Colorado Department of Public Health and Environment - Number of Positive COVID-19 Cases by County,"Data through March 28, 2020",14470,326,47,46,40.51,7613550869.75391,373455.831824096
4,08,027,08027,CUSTER,Custer,Custer County,0,4928,0,5695430,186,2307,Colorado Department of Public Health and Environment - Number of Positive COVID-19 Cases by County,"Data through March 28, 2020",14470,326,47,46,40.51,3100361575.17578,290994.589030107
5,08,067,08067,LA PLATA,La Plata,La Plata County,21,56403,37.23,5695430,186,2307,Colorado Department of Public Health and Environment - Number of Positive COVID-19 Cases by County,"Data through March 28, 2020",14470,326,47,46,40.51,6966607866.58203,371001.027724019
6,08,111,08111,SAN JUAN,San Juan,San Juan County,0,762,0,5695430,186,2307,Colorado Department of Public Health and Environment - Number of Positive COVID-19 Cases by County,"Data through March 28, 2020",14470,326,47,46,40.51,1611963627.42969,209303.346789561
7,08,097,08097,PITKIN,Pitkin,Pitkin County,27,17879,151.02,5695430,186,2307,Colorado Department of Public Health and Environment - Number of Positive COVID-19 Cases by County,"Data through March 28, 2020",14470,326,47,46,40.51,4204962607.14063,360368.050497512
8,08,093,08093,PARK,Park,Park County,3,18557,-1,5695430,186,2307,Colorado Department of Public Health and Environment - Number of Positive COVID-19 Cases by County,"Data through March 28, 2020",14470,326,47,46,40.51,9525822458.41406,477017.520520283
9,08,003,08003,ALAMOSA,Alamosa,Alamosa County,1,16184,-1,5695430,186,2307,Colorado Department of Public Health and Environment - Number of Positive COVID-19 Cases by County,"Data through March 28, 2020",14470,326,47,46,40.51,2987314188.43359,224661.437209443
10,08,099,08099,PROWERS,Prowers,Prowers County,0,12078,0,5695430,186,2307,Colorado Department of Public Health and Environment - Number of Positive COVID-19 Cases by County,"Data through March 28, 2020",14470,326,47,46,40.51,6861386117.78516,333326.752196427
11,08,081,08081,MOFFAT,Moffat,Moffat County,2,13181,-1,5695430,186,2307,Colorado Department of Public Health and Environment - Number of Positive COVID-19 Cases by County,"Data through March 28, 2020",14470,326,47,46,40.51,21378597682.3633,615436.363722786
12,08,059,08059,JEFFERSON,Jefferson,Jefferson County,213,579491,36.76,5695430,186,2307,Colorado Department of Public Health and Environment - Number of Positive COVID-19 Cases by County,"Data through March 28, 2020",14470,326,47,46,40.51,3379799618.59766,374132.11754513
13,08,117,08117,SUMMIT,Summit,Summit County,11,30973,35.51,5695430,186,2307,Colorado Department of Public Health and Environment - Number of Positive COVID-19 Cases by County,"Data through March 28, 2020",14470,326,47,46,40.51,2707648429.75781,325660.775440309
14,08,101,08101,PUEBLO,Pueblo,Pueblo County,10,167116,5.98,5695430,186,2307,Colorado Department of Public Health and Environment - Number of Positive COVID-19 Cases by County,"Data through March 28, 2020",14470,326,47,46,40.51,10064732291.2969,426421.345889861
15,08,013,08013,BOULDER,Boulder,Boulder County,90,325476,27.65,5695430,186,2307,Colorado Department of Public Health and Environment - Number of Positive COVID-19 Cases by County,"Data through March 28, 2020",14470,326,47,46,40.51,3280791024.07031,290982.502053684
16,08,031,08031,DENVER,Denver,Denver County,408,717797,56.84,5695430,186,2307,Colorado Department of Public Health and Environment - Number of Positive COVID-19 Cases by County,"Data through March 28, 2020",14470,326,47,46,40.51,680063925.65625,341638.127461467
17,08,085,08085,MONTROSE,Montrose,Montrose County,8,42260,18.93,5695430,186,2307,Colorado Department of Public Health and Environment - Number of Positive COVID-19 Cases by County,"Data through March 28, 2020",14470,326,47,46,40.51,9473395348.78906,544456.741798932
18,08,037,08037,EAGLE,Eagle,Eagle County,187,54863,340.85,5695430,186,2307,Colorado Department of Public Health and Environment - Number of Positive COVID-19 Cases by County,"Data through March 28, 2020",14470,326,47,46,40.51,7395854605.48047,390147.77807481
19,08,113,08113,SAN MIGUEL,San Miguel,San Miguel County,1,8177,-1,5695430,186,2307,Colorado Department of Public Health and Environment - Number of Positive COVID-19 Cases by County,"Data through March 28, 2020",14470,326,47,46,40.51,5384599734.96484,409162.439815051
20,08,023,08023,COSTILLA,Costilla,Costilla County,1,3809,-1,5695430,186,2307,Colorado Department of Public Health and Environment - Number of Positive COVID-19 Cases by County,"Data through March 28, 2020",14470,326,47,46,40.51,5044736712.28125,326902.580049715
21,08,014,08014,BROOMFIELD,Broomfield,Broomfield County,17,69453,24.48,5695430,186,2307,Colorado Department of Public Health and Environment - Number of Positive COVID-19 Cases by County,"Data through March 28, 2020",14470,326,47,46,40.51,148046030.359375,146355.830495437
22,08,015,08015,CHAFFEE,Chaffee,Chaffee County,15,20028,74.9,5695430,186,2307,Colorado Department of Public Health and Environment - Number of Positive COVID-19 Cases by County,"Data through March 28, 2020",14470,326,47,46,40.51,4328004367.16797,386588.205582361
23,08,025,08025,CROWLEY,Crowley,Crowley County,1,5857,-1,5695430,186,2307,Colorado Department of Public Health and Environment - Number of Positive COVID-19 Cases by County,"Data through March 28, 2020",14470,326,47,46,40.51,3373467236.0625,243673.421602718
24,08,043,08043,FREMONT,Fremont,Fremont County,1,47912,-1,5695430,186,2307,Colorado Department of Public Health and Environment - Number of Positive COVID-19 Cases by County,"Data through March 28, 2020",14470,326,47,46,40.51,6491723772.80859,368122.636694602
25,08,055,08055,HUERFANO,Huerfano,Huerfano County,1,6854,-1,5695430,186,2307,Colorado Department of Public Health and Environment - Number of Positive COVID-19 Cases by County,"Data through March 28, 2020",14470,326,47,46,40.51,6600175788.24219,473895.539017731
26,08,029,08029,DELTA,Delta,Delta County,1,30936,-1,5695430,186,2307,Colorado Department of Public Health and Environment - Number of Positive COVID-19 Cases by County,"Data through March 28, 2020",14470,326,47,46,40.51,4913548287.83594,340015.070505667
27,08,045,08045,GARFIELD,Garfield,Garfield County,25,59807,41.8,5695430,186,2307,Colorado Department of Public Health and Environment - Number of Positive COVID-19 Cases by County,"Data through March 28, 2020",14470,326,47,46,40.51,12911081555.8047,662380.047263359
28,08,103,08103,RIO BLANCO,Rio Blanco,Rio Blanco County,0,6305,0,5695430,186,2307,Colorado Department of Public Health and Environment - Number of Positive COVID-19 Cases by County,"Data through March 28, 2020",14470,326,47,46,40.51,14232867247.625,615863.666810983
29,08,087,08087,MORGAN,Morgan,Morgan County,5,28503,17.54,5695430,186,2307,Colorado Department of Public Health and Environment - Number of Positive COVID-19 Cases by County,"Data through March 28, 2020",14470,326,47,46,40.51,5761403665.51953,305025.067510655
30,08,073,08073,LINCOLN,Lincoln,Lincoln County,1,5584,-1,5695430,186,2307,Colorado Department of Public Health and Environment - Number of Positive COVID-19 Cases by County,"Data through March 28, 2020",14470,326,47,46,40.51,11104214487.6953,501503.379966312
31,08,083,08083,MONTEZUMA,Montezuma,Montezuma County,1,26159,-1,5695430,186,2307,Colorado Department of Public Health and Environment - Number of Positive COVID-19 Cases by County,"Data through March 28, 2020",14470,326,47,46,40.51,8372827720.81641,400009.056123532
32,08,001,08001,ADAMS,Adams,Adams County,110,511473,21.51,5695430,186,2307,Colorado Department of Public Health and Environment - Number of Positive COVID-19 Cases by County of Identification,"Data through March 28, 2020",14470,326,47,46,40.51,5210141150.01953,511835.400891218
33,08,079,08079,MINERAL,Mineral,Mineral County,1,777,-1,5695430,186,2307,Colorado Department of Public Health and Environment - Number of Positive COVID-19 Cases by County,"Data through March 28, 2020",14470,326,47,46,40.51,3634702483.06641,263045.388781546
34,08,089,08089,OTERO,Otero,Otero County,3,18364,-1,5695430,186,2307,Colorado Department of Public Health and Environment - Number of Positive COVID-19 Cases by County,"Data through March 28, 2020",14470,326,47,46,40.51,5290668251.41406,335426.330930159
35,08,095,08095,PHILLIPS,Phillips,Phillips County,0,4266,0,5695430,186,2307,Colorado Department of Public Health and Environment - Number of Positive COVID-19 Cases by County,"Data through March 28, 2020",14470,326,47,46,40.51,3093819023.79688,227633.738214857
36,08,091,08091,OURAY,Ouray,Ouray County,0,4798,0,5695430,186,2307,Colorado Department of Public Health and Environment - Number of Positive COVID-19 Cases by County,"Data through March 28, 2020",14470,326,47,46,40.51,2274816289.12891,272615.623145942
37,08,011,08011,BENT,Bent,Bent County,0,5819,0,5695430,186,2307,Colorado Department of Public Health and Environment - Number of Positive COVID-19 Cases by County,"Data through March 28, 2020",14470,326,47,46,40.51,6430590598.72656,323583.727603443
38,08,007,08007,ARCHULETA,Archuleta,Archuleta County,0,13737,0,5695430,186,2307,Colorado Department of Public Health and Environment - Number of Positive COVID-19 Cases by County,"Data through March 28, 2020",14470,326,47,46,40.51,5542147892.29297,332854.375928837
39,08,107,08107,ROUTT,Routt,Routt County,16,25683,62.3,5695430,186,2307,Colorado Department of Public Health and Environment - Number of Positive COVID-19 Cases by County,"Data through March 28, 2020",14470,326,47,46,40.51,10614530971.7148,532136.256905045
