County,Total Positive,Total Negative,Unique Individuals Tested,Total Recovered,Deaths
Adams,0,590,590,0,0
Barnes,26,1925,1951,24,0
Benson,23,1469,1492,8,1
Billings,1,223,224,1,0
Bottineau,7,772,779,5,0
Bowman,1,709,710,1,0
Burke,8,267,275,7,0
Burleigh,564,17898,18462,388,1
Cass,2639,30415,33054,2403,73
Cavalier,25,766,791,16,0
Dickey,8,565,573,6,0
Divide,1,450,451,1,0
Dunn,27,442,469,20,0
Eddy,5,513,518,5,0
Emmons,8,464,472,3,1
Foster,3,386,389,3,0
Golden Valley,2,364,366,0,0
Grand Forks,509,11130,11639,423,4
Grant,4,249,253,3,0
Griggs,3,294,297,2,0
Hettinger,6,565,571,1,0
Kidder,4,225,229,3,0
LaMoure,14,725,739,13,0
Logan,1,358,359,1,0
McHenry,11,578,589,5,1
McIntosh,9,758,767,6,0
McKenzie,52,1278,1330,32,0
McLean,14,1587,1601,11,0
Mercer,12,937,949,9,0
Morton,168,5198,5366,117,3
Mountrail,90,2385,2475,58,1
Nelson,3,463,466,2,0
Oliver,3,137,140,2,0
Pembina,20,1255,1275,16,0
Pierce,8,656,664,7,0
Ramsey,25,2149,2174,18,1
Ransom,23,1046,1069,19,0
Renville,8,258,266,5,0
Richland,51,2041,2092,46,0
Rolette,13,2549,2562,12,0
Sargent,8,871,879,7,0
Sheridan,4,200,204,3,0
Sioux,46,1408,1454,31,0
Slope,3,137,140,3,0
Stark,120,5766,5886,96,3
Steele,6,286,292,3,0
Stutsman,74,4327,4401,65,2
Towner,4,241,245,2,0
Traill,30,1553,1583,26,0
Unknown,0,2685,2685,0,0
Walsh,77,2922,2999,45,0
Ward,102,8791,8893,72,1
Wells,11,524,535,11,0
Williams,135,4085,4220,65,0
