"county","as of","cases","deaths","url","notes","tested","pending","negative","positive","inconclusive","positives-travel","Locally Acquired (person to person or community spread)","Known Contact Positives","Community Transmission Positives","unknown/under investigation","recovered","Hospitalized","hospitalized-status","ICU","ICU-status","federal quarantine","Non-Resident Positive Tests","PUI (travelers + others)","travelers completed monitoring","for map?","updated","more granular data avaialble?","race data?"
"Alameda","4/15/2020 17:49:52","962","36","http://www.acphd.org/2019-ncov.aspx","","","","","","","","","","","","","","","","","","","","","BANG","","x","x"
"Contra Costa","4/15/2020 13:59:48","615","14","https://cchealth.org/coronavirus/","","7993","","","","","","","","","","","44","currently","","","","","","","BANG","","",""
"Marin","4/15/2020 17:06:35","184","10","https://coronavirus.marinhhs.org/surveillance","They sometimes miss our cutoff for reporting sat EOD because they post updates late, so day-to-day change might be off.","2343","","","","","","","","","","121","","ever/currently","","","","","","","BANG","","",""
"Napa","4/15/2020 17:50:03","38","2","https://legacy.livestories.com/s/v2/coronavirus-report-for-napa-county-ca/9065d62d-f5a6-445f-b2a9-b7cf30b846dd/","Napa has some competing info on different sites, so be careful.","739","136","565","38","","","","","","","","","","","","","","","","BANG","","","x"
"San Francisco","4/15/2020 14:02:11","1013","17","https://www.sfdph.org/dph/alerts/coronavirus.asp","SF hospitalization numbers are from the health director in a press conference, but they are not releasing them on a daily basis yet.","9001","","","","","","","","","","","90","current","31","current","","","","","BANG","","","x"
"San Mateo","4/14/2020 14:17:24","747","21","https://www.smchealth.org/coronavirus","Their portal says it was updated on the previous day, but the numbers aren't reported until the next day. So, for example, it says ""data last updated April 8th"" but those numbers are reported on the 9th.","7163","184","6252","727","","","","","","","","76","current","22","current","","","","","BANG","","",""
"Santa Clara","4/15/2020 14:09:34","1793","65","https://www.sccgov.org/sites/phd/DiseaseInformation/novel-coronavirus/Pages/dashboard.aspx","","15529","193","13670","1666","","","","","","","","195","current","76","current","","","","","BANG","","x","x"
"Santa Cruz","4/15/2020 14:12:28","96","2","https://www.santacruzhealth.org/HSAHome/HSADivisions/PublicHealth/CommunicableDiseaseControl/Coronavirus.aspx","","","","2460","","","","","","","","41","17","required hospitalization","","","","","","","BANG","","x",""
"Solano","4/15/2020 17:09:16","141","2","http://www.solanocounty.com/depts/ph/ncov.asp","no weekend updates","2015","","","","","","","","","","","","cumulative/current","","","","","","","BANG","","x",""
"Sonoma","4/14/2020 21:26:24","160","2","https://socoemergency.org/emergency/novel-coronavirus/novel-coronavirus-in-sonoma-county/","The display ""active cases"" prominently but it doesn't include deaths and recovered. Make sure to pull ""cumulative cases.""","3865","","","","","","","","","","70","21","hospitalized","","","","","","","BANG","","",""
"Los Angeles","4/15/2020 14:33:08","10496","402","http://publichealth.lacounty.gov/media/Coronavirus/","","67500","","","","","","","","","","","2517","ever","","","","","","","SCNG","","x",""
"Orange","4/15/2020 14:33:46","1376","22","https://occovid19.ochealthinfo.com/coronavirus-in-oc","","15305","","","","","","","","","","","104","current","45","current","","","","","SCNG","","x",""
"Riverside","4/15/2020 14:34:43","2105","54","https://www.rivcoph.org/coronavirus","","","","","","","","","","","","416","247","current","66","current","","","","","SCNG","","x",""
"San Benito","4/15/2020 14:35:51","41","2","https://hhsa.cosb.us/publichealth/communicable-disease/coronavirus/","","636","28","567","41","","","","","","","34","","","","","","","","","SCNG","","",""
"Alpine","4/14/2020 16:54:34","1","0","http://alpinecountyca.gov/AlertCenter.aspx?AID=COVID19-CASES-12","","10","4","4","2","","","","","","","1","","","","","","1","","","","","",""
"Amador","4/15/2020 17:10:06","7","0","https://www.amadorgov.org/services/covid-19/-fsiteid-1","""Amador County Public Health has confirmed 1 county resident traveling abroad has been diagnosed with novel coronavirus (COVID-19). This individual has not been at home in the county.""","","","","","","","","","","","5","2","","","","","","","","","","",""
"Butte","4/15/2020 17:10:39","16","0","https://infogram.com/butte-county-covid-19-1h0r6r9k3k776ek?live","","672","","576","16","","","","","","","","1","currently","","","","","","","","","",""
"Calaveras","4/15/2020 17:11:34","11","0","https://covid19.calaverasgov.us/","","266","","","","","","","","","","7","","","","","","","","","","","",""
"Colusa","4/15/2020 17:12:06","3","0","http://countyofcolusa.org/99/Public-Health","","","","","","","","","","","","","","","","","","","","","","","",""
"Del Norte","4/15/2020 17:12:30","2","0","http://www.co.del-norte.ca.us/departments/health-human-services/public-health","*these represent ""approximate"" number of tests","190","1","187","2","","","","","","","2","","","","","","","","","","","",""
"El Dorado","4/15/2020 17:13:11","35","0","https://www.edcgov.us/Government/hhsa/Pages/EDCCOVID-19-Cases.aspx","they say there are ""more than 50"" pending results","1350","","1315","35","","","","","","","28","","","","","","","","","","","",""
"Fresno","4/15/2020 17:13:56","265","7","https://www.co.fresno.ca.us/departments/public-health/covid-19","fresno has stats on people who have been monitored and those who are currently being monitored","3674","","","","","","","","","","62","59","ever","","","","","","","","","x",""
"Glenn","4/14/2020 16:58:18","4","0","https://www.countyofglenn.net/dept/health-human-services/public-health/covid-19","","61","","57","4","","","","","","","2","0","","","","","","","","","","",""
"Humboldt","4/14/2020 16:59:12","51","0","https://humboldtgov.org/2707/COVID-Test-Results","","1455","","","","","","","","","","","3","","","","","","","","","","",""
"Imperial","4/15/2020 17:15:16","117","3","http://www.icphd.org/health-information-and-resources/healthy-facts/covid-19/","*(positives) Includes results from private laboratories. ∞(pending) Pending results for Public Health Laboratory testing only.","977","","","","","","","","","","39","","","","","","","","","","","",""
"Inyo","4/15/2020 17:15:29","17","0","https://www.inyocounty.us/covid-19/press-releases","(the testing data is behind the case data, hence 2 positive tests reported, but 1 test reported)","","21","147","17","","","","","","","","","","","","","","","","","","",""
"Kern","4/15/2020 17:16:30","553","3","https://kernpublichealth.com/2019-novel-coronavirus/","we no longer include the non-residents listed","7797","3148","4087","562","","","","","","","","","","","","","9","","","","","x",""
"Kings","4/15/2020 17:19:35","13","1","https://www.countyofkings.com/departments/health-welfare/public-health/coronavirus-disease-2019-covid-19","The number above indicating how many samples have been collected is the number of samples that our department has collected.","661","","634","","","","","","","","3","","","","","","","","","","","",""
"Lake","4/15/2020 17:20:03","5","0","http://health.co.lake.ca.us/Coronavirus.htm","","","","285","","","","","","","","3","","","","","","","","","","","",""
"Lassen","4/15/2020 17:20:22","0","0","https://lassencares.org/","","93","8","85","0","","","","","","","","","","","","","","","","","","",""
"Madera","4/15/2020 17:21:19","33","2","https://www.maderacounty.com/government/public-health/corona-virus-covid-19/covid-revised","pending tests only from the public health lab","603","","570","","","","","","","","19","","","","","","","","","","","",""
"Mariposa","4/15/2020 17:21:51","0","0","https://www.mariposacounty.org/1592/COVID-19-Information","These numbers do not include additional testing through the commercial lab system, hospitals and clinics. Although Mariposa County Public Health does not receive information on the number of tests sent through those systems, Public Health is notified of all positive result tests.","86","5","81","0","","","","","","","","","","","","","","","","","","",""
"Mendocino","4/15/2020 17:22:15","4","0","https://www.mendocinocounty.org/community/novel-coronavirus","","479","7","468","4","","","","","","","","","","","","","","","","","","",""
"Merced","4/15/2020 17:22:54","78","3","http://www.co.merced.ca.us/3362/Coronavirus-Media","","","","","","","","","","","","26","","","","","","","","","","","",""
"Modoc","4/15/2020 17:23:38","0","0","https://www.modocsheriff.us/modoc-covid-19-incident-updates","they weirdly link to the sheriff instead of the public health department","56","5","51","0","","","","","","","","","","","","","","","","","","",""
"Mono","4/15/2020 17:24:04","23","1","https://coronavirus.monocounty.ca.gov/","Their numbers are reported on the Inyo county page.","125","2","103","23","","","","","","","","","","","","","","","","","","",""
