OBJECTID,STAETFP,COUNTYFP,GEOID,COUNTY,LABEL,FULL_,County_Pos_Cases,County_Population,County_Rate_Per_100_000,State_Population,State_Pos_Unknown,State_Pos_Cases,Data_Source,Date_Data_Last_Updated,State_Number_Tested,State_Number_Hospitalizations,State_Deaths,State_Number_of_Counties_Pos,State_Rate_Per_100000,Shape__Area,Shape__Length,State_Number_Outbreaks
1,08,109,08109,SAGUACHE,Saguache,Saguache County,3,6837,-1,5695430,111,8280,Colorado Department of Public Health and Environment - Number of Positive COVID-19 Cases by County,"Data through April 14, 2020",40533,1636,357,56,145.41,13273871024.1289,529491.079018544,83
2,08,115,08115,SEDGWICK,Sedgwick,Sedgwick County,0,2275,0,5695430,111,8280,Colorado Department of Public Health and Environment - Number of Positive COVID-19 Cases by County,"Data through April 14, 2020",40533,1636,357,56,145.41,2491281577.11719,208249.56871408,83
3,08,017,08017,CHEYENNE,Cheyenne,Cheyenne County,0,1862,0,5695430,111,8280,Colorado Department of Public Health and Environment - Number of Positive COVID-19 Cases by County,"Data through April 14, 2020",40533,1636,357,56,145.41,7613550869.75391,373455.831824096,83
4,08,027,08027,CUSTER,Custer,Custer County,2,4928,-1,5695430,111,8280,Colorado Department of Public Health and Environment - Number of Positive COVID-19 Cases by County,"Data through April 14, 2020",40533,1636,357,56,145.41,3100361575.17578,290994.589030107,83
5,08,067,08067,LA PLATA,La Plata,La Plata County,46,56403,81.56,5695430,111,8280,Colorado Department of Public Health and Environment - Number of Positive COVID-19 Cases by County,"Data through April 14, 2020",40533,1636,357,56,145.41,6966607866.58203,371001.027724019,83
6,08,111,08111,SAN JUAN,San Juan,San Juan County,0,762,0,5695430,111,8280,Colorado Department of Public Health and Environment - Number of Positive COVID-19 Cases by County,"Data through April 14, 2020",40533,1636,357,56,145.41,1611963627.42969,209303.346789561,83
7,08,097,08097,PITKIN,Pitkin,Pitkin County,51,17879,285.25,5695430,111,8280,Colorado Department of Public Health and Environment - Number of Positive COVID-19 Cases by County,"Data through April 14, 2020",40533,1636,357,56,145.41,4204962607.14063,360368.050497512,83
8,08,093,08093,PARK,Park,Park County,6,18557,32.33,5695430,111,8280,Colorado Department of Public Health and Environment - Number of Positive COVID-19 Cases by County,"Data through April 14, 2020",40533,1636,357,56,145.41,9525822458.41406,477017.520520283,83
9,08,003,08003,ALAMOSA,Alamosa,Alamosa County,7,16184,43.25,5695430,111,8280,Colorado Department of Public Health and Environment - Number of Positive COVID-19 Cases by County,"Data through April 14, 2020",40533,1636,357,56,145.41,2987314188.43359,224661.437209443,83
10,08,099,08099,PROWERS,Prowers,Prowers County,1,12078,-1,5695430,111,8280,Colorado Department of Public Health and Environment - Number of Positive COVID-19 Cases by County,"Data through April 14, 2020",40533,1636,357,56,145.41,6861386117.78516,333326.752196427,83
11,08,081,08081,MOFFAT,Moffat,Moffat County,3,13181,-1,5695430,111,8280,Colorado Department of Public Health and Environment - Number of Positive COVID-19 Cases by County,"Data through April 14, 2020",40533,1636,357,56,145.41,21378597682.3633,615436.363722786,83
12,08,059,08059,JEFFERSON,Jefferson,Jefferson County,837,579491,144.44,5695430,111,8280,Colorado Department of Public Health and Environment - Number of Positive COVID-19 Cases by County,"Data through April 14, 2020",40533,1636,357,56,145.41,3379799618.59766,374132.11754513,83
13,08,117,08117,SUMMIT,Summit,Summit County,76,30973,245.38,5695430,111,8280,Colorado Department of Public Health and Environment - Number of Positive COVID-19 Cases by County,"Data through April 14, 2020",40533,1636,357,56,145.41,2707648429.75781,325660.775440309,83
14,08,101,08101,PUEBLO,Pueblo,Pueblo County,68,167116,40.69,5695430,111,8280,Colorado Department of Public Health and Environment - Number of Positive COVID-19 Cases by County,"Data through April 14, 2020",40533,1636,357,56,145.41,10064732291.2969,426421.345889861,83
15,08,013,08013,BOULDER,Boulder,Boulder County,300,325476,92.17,5695430,111,8280,Colorado Department of Public Health and Environment - Number of Positive COVID-19 Cases by County,"Data through April 14, 2020",40533,1636,357,56,145.41,3280791024.07031,290982.502053684,83
16,08,031,08031,DENVER,Denver,Denver County,1468,717797,204.51,5695430,111,8280,Colorado Department of Public Health and Environment - Number of Positive COVID-19 Cases by County,"Data through April 14, 2020",40533,1636,357,56,145.41,680063925.65625,341638.127461467,83
17,08,085,08085,MONTROSE,Montrose,Montrose County,65,42260,153.81,5695430,111,8280,Colorado Department of Public Health and Environment - Number of Positive COVID-19 Cases by County,"Data through April 14, 2020",40533,1636,357,56,145.41,9473395348.78906,544456.741798932,83
18,08,037,08037,EAGLE,Eagle,Eagle County,480,54863,874.91,5695430,111,8280,Colorado Department of Public Health and Environment - Number of Positive COVID-19 Cases by County,"Data through April 14, 2020",40533,1636,357,56,145.41,7395854605.48047,390147.77807481,83
19,08,113,08113,SAN MIGUEL,San Miguel,San Miguel County,12,8177,146.75,5695430,111,8280,Colorado Department of Public Health and Environment - Number of Positive COVID-19 Cases by County,"Data through April 14, 2020",40533,1636,357,56,145.41,5384599734.96484,409162.439815051,83
20,08,023,08023,COSTILLA,Costilla,Costilla County,3,3809,-1,5695430,111,8280,Colorado Department of Public Health and Environment - Number of Positive COVID-19 Cases by County,"Data through April 14, 2020",40533,1636,357,56,145.41,5044736712.28125,326902.580049715,83
21,08,014,08014,BROOMFIELD,Broomfield,Broomfield County,92,69453,132.46,5695430,111,8280,Colorado Department of Public Health and Environment - Number of Positive COVID-19 Cases by County,"Data through April 14, 2020",40533,1636,357,56,145.41,148046030.359375,146355.830495437,83
22,08,015,08015,CHAFFEE,Chaffee,Chaffee County,31,20028,154.78,5695430,111,8280,Colorado Department of Public Health and Environment - Number of Positive COVID-19 Cases by County,"Data through April 14, 2020",40533,1636,357,56,145.41,4328004367.16797,386588.205582361,83
23,08,025,08025,CROWLEY,Crowley,Crowley County,2,5857,-1,5695430,111,8280,Colorado Department of Public Health and Environment - Number of Positive COVID-19 Cases by County,"Data through April 14, 2020",40533,1636,357,56,145.41,3373467236.0625,243673.421602718,83
24,08,043,08043,FREMONT,Fremont,Fremont County,9,47912,18.78,5695430,111,8280,Colorado Department of Public Health and Environment - Number of Positive COVID-19 Cases by County,"Data through April 14, 2020",40533,1636,357,56,145.41,6491723772.80859,368122.636694602,83
25,08,055,08055,HUERFANO,Huerfano,Huerfano County,1,6854,-1,5695430,111,8280,Colorado Department of Public Health and Environment - Number of Positive COVID-19 Cases by County,"Data through April 14, 2020",40533,1636,357,56,145.41,6600175788.24219,473895.539017731,83
26,08,029,08029,DELTA,Delta,Delta County,12,30936,38.79,5695430,111,8280,Colorado Department of Public Health and Environment - Number of Positive COVID-19 Cases by County,"Data through April 14, 2020",40533,1636,357,56,145.41,4913548287.83594,340015.070505667,83
27,08,045,08045,GARFIELD,Garfield,Garfield County,62,59807,103.67,5695430,111,8280,Colorado Department of Public Health and Environment - Number of Positive COVID-19 Cases by County,"Data through April 14, 2020",40533,1636,357,56,145.41,12911081555.8047,662380.047263359,83
28,08,103,08103,RIO BLANCO,Rio Blanco,Rio Blanco County,1,6305,-1,5695430,111,8280,Colorado Department of Public Health and Environment - Number of Positive COVID-19 Cases by County,"Data through April 14, 2020",40533,1636,357,56,145.41,14232867247.625,615863.666810983,83
29,08,087,08087,MORGAN,Morgan,Morgan County,103,28503,361.37,5695430,111,8280,Colorado Department of Public Health and Environment - Number of Positive COVID-19 Cases by County,"Data through April 14, 2020",40533,1636,357,56,145.41,5761403665.51953,305025.067510655,83
30,08,073,08073,LINCOLN,Lincoln,Lincoln County,2,5584,-1,5695430,111,8280,Colorado Department of Public Health and Environment - Number of Positive COVID-19 Cases by County,"Data through April 14, 2020",40533,1636,357,56,145.41,11104214487.6953,501503.379966312,83
31,08,083,08083,MONTEZUMA,Montezuma,Montezuma County,12,26159,45.87,5695430,111,8280,Colorado Department of Public Health and Environment - Number of Positive COVID-19 Cases by County,"Data through April 14, 2020",40533,1636,357,56,145.41,8372827720.81641,400009.056123532,83
32,08,001,08001,ADAMS,Adams,Adams County,758,511473,148.2,5695430,111,8280,Colorado Department of Public Health and Environment - Number of Positive COVID-19 Cases by County of Identification,"Data through April 14, 2020",40533,1636,357,56,145.41,5210141150.01953,511835.400891218,83
33,08,079,08079,MINERAL,Mineral,Mineral County,2,777,-1,5695430,111,8280,Colorado Department of Public Health and Environment - Number of Positive COVID-19 Cases by County,"Data through April 14, 2020",40533,1636,357,56,145.41,3634702483.06641,263045.388781546,83
34,08,089,08089,OTERO,Otero,Otero County,5,18364,27.23,5695430,111,8280,Colorado Department of Public Health and Environment - Number of Positive COVID-19 Cases by County,"Data through April 14, 2020",40533,1636,357,56,145.41,5290668251.41406,335426.330930159,83
35,08,095,08095,PHILLIPS,Phillips,Phillips County,4,4266,-1,5695430,111,8280,Colorado Department of Public Health and Environment - Number of Positive COVID-19 Cases by County,"Data through April 14, 2020",40533,1636,357,56,145.41,3093819023.79688,227633.738214857,83
36,08,091,08091,OURAY,Ouray,Ouray County,4,4798,-1,5695430,111,8280,Colorado Department of Public Health and Environment - Number of Positive COVID-19 Cases by County,"Data through April 14, 2020",40533,1636,357,56,145.41,2274816289.12891,272615.623145942,83
37,08,011,08011,BENT,Bent,Bent County,0,5819,0,5695430,111,8280,Colorado Department of Public Health and Environment - Number of Positive COVID-19 Cases by County,"Data through April 14, 2020",40533,1636,357,56,145.41,6430590598.72656,323583.727603443,83
38,08,007,08007,ARCHULETA,Archuleta,Archuleta County,6,13737,43.68,5695430,111,8280,Colorado Department of Public Health and Environment - Number of Positive COVID-19 Cases by County,"Data through April 14, 2020",40533,1636,357,56,145.41,5542147892.29297,332854.375928837,83
39,08,107,08107,ROUTT,Routt,Routt County,41,25683,159.64,5695430,111,8280,Colorado Department of Public Health and Environment - Number of Positive COVID-19 Cases by County,"Data through April 14, 2020",40533,1636,357,56,145.41,10614530971.7148,532136.256905045,83
40,08,053,08053,HINSDALE,Hinsdale,Hinsdale County,3,804,-1,5695430,111,8280,Colorado Department of Public Health and Environment - Number of Positive COVID-19 Cases by County,"Data through April 14, 2020",40533,1636,357,56,145.41,4669808237.98828,359599.201114798,83
41,08,123,08123,WELD,Weld,Weld County,928,314251,295.31,5695430,111,8280,Colorado Department of Public Health and Environment - Number of Positive COVID-19 Cases by County,"Data through April 14, 2020",40533,1636,357,56,145.41,18041133099.0898,641092.26859247,83
42,08,069,08069,LARIMER,Larimer,Larimer County,202,350362,57.65,5695430,111,8280,Colorado Department of Public Health and Environment - Number of Positive COVID-19 Cases by County,"Data through April 14, 2020",40533,1636,357,56,145.41,11869666547.0664,482557.23477005,83
43,08,065,08065,LAKE,Lake,Lake County,5,7762,64.42,5695430,111,8280,Colorado Department of Public Health and Environment - Number of Positive COVID-19 Cases by County,"Data through April 14, 2020",40533,1636,357,56,145.41,1658108649.73438,213386.288543794,83
44,08,105,08105,RIO GRANDE,Rio Grande,Rio Grande County,7,11226,62.36,5695430,111,8280,Colorado Department of Public Health and Environment - Number of Positive COVID-19 Cases by County,"Data through April 14, 2020",40533,1636,357,56,145.41,3769075953.91406,271469.141210196,83
45,08,047,08047,GILPIN,Gilpin,Gilpin County,1,6097,-1,5695430,111,8280,Colorado Department of Public Health and Environment - Number of Positive COVID-19 Cases by County,"Data through April 14, 2020",40533,1636,357,56,145.41,661227908.605469,121354.050357325,83
46,08,125,08125,YUMA,Yuma,Yuma County,2,10029,-1,5695430,111,8280,Colorado Department of Public Health and Environment - Number of Positive COVID-19 Cases by County,"Data through April 14, 2020",40533,1636,357,56,145.41,10467950650.7617,420189.213207024,83
47,08,057,08057,JACKSON,Jackson,Jackson County,0,1396,0,5695430,111,8280,Colorado Department of Public Health and Environment - Number of Positive COVID-19 Cases by County,"Data through April 14, 2020",40533,1636,357,56,145.41,7304560868.78125,472651.746203251,83
48,08,063,08063,KIT CARSON,Kit Carson,Kit Carson County,8,7157,111.78,5695430,111,8280,Colorado Department of Public Health and Environment - Number of Positive COVID-19 Cases by County,"Data through April 14, 2020",40533,1636,357,56,145.41,9363594130.41406,400120.724499853,83
49,08,019,08019,CLEAR CREEK,Clear Creek,Clear Creek County,11,9663,113.84,5695430,111,8280,Colorado Department of Public Health and Environment - Number of Positive COVID-19 Cases by County,"Data through April 14, 2020",40533,1636,357,56,145.41,1736216264.01172,211108.263142895,83
50,08,075,08075,LOGAN,Logan,Logan County,13,21854,59.49,5695430,111,8280,Colorado Department of Public Health and Environment - Number of Positive COVID-19 Cases by County,"Data through April 14, 2020",40533,1636,357,56,145.41,8328152552.15234,372747.682548311,83
51,08,121,08121,WASHINGTON,Washington,Washington County,5,4729,105.73,5695430,111,8280,Colorado Department of Public Health and Environment - Number of Positive COVID-19 Cases by County,"Data through April 14, 2020",40533,1636,357,56,145.41,11143769306.3555,459622.732781113,83
