"county","as of","cases","deaths","url","notes","tested","pending","negative","positive","inconclusive","positives-travel","Locally Acquired (person to person or community spread)","Known Contact Positives","Community Transmission Positives","unknown/under investigation","recovered","Hospitalized","hospitalized-status","ICU","ICU-status","federal quarantine","Non-Resident Positive Tests","PUI (travelers + others)","travelers completed monitoring","for map?","updated","more granular data avaialble?",""
"Alameda","4/2/2020 10:02:30","396","9","http://www.acphd.org/2019-ncov.aspx","","","","","","","","","","","","","","","","","","","","","BANG","","",""
"Alpine","4/2/2020 16:59:42","1","0","http://alpinecountyca.gov/AlertCenter.aspx?AID=COVID19-CASES-12","","","","","","","","","","","","","","","","","","","","","","","",""
"Amador","4/2/2020 21:30:29","3","0","https://www.amadorgov.org/services/covid-19/-fsiteid-1","""Amador County Public Health has confirmed 1 county resident traveling abroad has been diagnosed with novel coronavirus (COVID-19). This individual has not been at home in the county.""","","","","","","","","","","","","","","","","","","","","","","",""
"Butte","4/2/2020 16:59:42","10","0","http://www.buttecounty.net/publichealth/Home/fbclid/IwAR3fSGcPIbTuP9oMALIinPe68ft2E_vscQm2hDlGwwyilvdXog7KZwY9vTw","","","","","","","2","","","","3","","","","","","","","","","","","",""
"Calaveras","4/2/2020 17:02:06","3","0","https://covid19.calaverasgov.us/","","","","","","","","","","","","","","","","","","","","","","","",""
"Colusa","4/2/2020 17:02:18","1","0","http://countyofcolusa.org/99/Public-Health","","","","","","","","","","","","","","","","","","","","","","","",""
"Contra Costa","4/2/2020 17:04:18","276","3","https://cchealth.org/coronavirus/","","4083","","","","","","","","","","","31","currently","","","","","","","BANG","","",""
"Del Norte","4/2/2020 17:05:09","1","0","http://www.co.del-norte.ca.us/departments/health-human-services/public-health","*these represent ""approximate"" number of tests","79","11","67","1","","","","","","","","","","","","","","","","","","",""
"El Dorado","4/1/2020 16:52:48","18","0","https://www.edcgov.us/Government/hhsa/Pages/EDCCOVID-19-Cases.aspx","they say there are ""more than 50"" pending results","764","","586","18","","","","","","","","","","","","","","","","","","",""
"Fresno","4/2/2020 17:06:52","94","0","https://www.co.fresno.ca.us/departments/public-health/covid-19","fresno has stats on people who have been monitored and those who are currently being monitored","1650","","","","","17","","9","8","19","","","","","","","","","","","","",""
"Glenn","4/2/2020 17:07:16","2","0","https://www.countyofglenn.net/dept/health-human-services/public-health/covid-19","","32","2","28","2","","","","","","","","","","","","","","","","","","",""
"Humboldt","4/2/2020 17:51:31","37","0","https://humboldtgov.org/2707/COVID-Test-Results","","848","","","","","","","","","","1","2","","","","","","","","","","",""
"Imperial","4/1/2020 16:57:27","43","0","http://www.icphd.org/health-information-and-resources/healthy-facts/covid-19/","*(positives) Includes results from private laboratories. ∞(pending) Pending results for Public Health Laboratory testing only.","271","9","219","43","","","","","","","","","","","","","","","","","","",""
"Inyo","4/2/2020 17:57:01","10","0","https://www.inyocounty.us/covid-19/press-releases","(the testing data is behind the case data, hence 2 positive tests reported, but 1 test reported)","","11","61","8","","","","","","","","","","","","","","","","","","",""
"Kern","4/2/2020 17:57:48","158","1","https://kernpublichealth.com/2019-novel-coronavirus/","3 of the positive cases are non-residents, and they update twice a day.","4110","1546","2406","158","","","","","","","","","","","","","3","","","","","",""
"Kings","4/2/2020 17:58:11","5","0","https://www.countyofkings.com/departments/health-welfare/public-health/coronavirus-disease-2019-covid-19","The number above indicating how many samples have been collected is the number of samples that our department has collected.","108","","98","","","","","","","","","","","","","","","8","","","","",""
"Lake","4/2/2020 17:59:14","0","0","http://health.co.lake.ca.us/Coronavirus.htm","","","","110","","","","","","","","","","","","","","","","","","","",""
"Lassen","4/2/2020 17:59:45","0","0","http://www.lassencounty.org/government/news/public-health","","13","7","6","","","","","","","","","","","","","","","","","","","",""
"Los Angeles","4/2/2020 18:00:01","4045","78","http://publichealth.lacounty.gov/media/Coronavirus/","","","","","","","","","","","","","733","cumulative","","","","","","","SCNG","","",""
"Madera","4/2/2020 18:00:30","28","1","https://www.maderacounty.com/government/public-health/health-updates/corona-virus","","","","","","","","","","","","1","2","currently","","","","","","","","","",""
"Marin","4/2/2020 18:01:13","118","6","https://www.marinhhs.org/coronavirus","They sometimes miss our cutoff for reporting sat EOD because they post updates late, so day-to-day change might be off.","774","","","","","","","","","","","15","","","","","","","","BANG","","",""
"Mariposa","4/2/2020 18:01:35","0","0","https://www.mariposacounty.org/1592/COVID-19-Information","These numbers do not include additional testing through the commercial lab system, hospitals and clinics. Although Mariposa County Public Health does not receive information on the number of tests sent through those systems, Public Health is notified of all positive result tests.","51","10","41","0","","","","","","","","","","","","","","","","","","",""
"Mendocino","4/2/2020 18:02:09","4","0","https://www.mendocinocounty.org/community/novel-coronavirus","","237","30","213","4","","","","","","","2","","","","","","","","","","","",""
"Merced","4/2/2020 18:02:37","16","0","http://www.co.merced.ca.us/3362/Coronavirus-Media","","","","","","","1","","","","","3","","","","","","","","","","","",""
"Modoc","4/2/2020 18:03:22","0","0","https://www.modocsheriff.us/modoc-covid-19-incident-updates","they weirdly link to the sheriff instead of the public health department","31","7","24","0","","","","","","","","","","","","","","","","","","",""
"Mono","4/2/2020 18:03:48","18","1","https://coronavirus.monocounty.ca.gov/","Their numbers are reported on the Inyo county page.","84","4","62","18","","","","","","","","","","","","","","","","","","",""
"Monterey","4/2/2020 18:04:15","48","2","https://www.co.monterey.ca.us/government/departments-a-h/administrative-office/office-of-emergency-services/response/covid-19","Number of tests only updated on Mondays, according to their site.","616","","","","","10","","15","7","10","","9","","","","","","","","","","",""
"Napa","4/2/2020 18:04:35","18","1","https://legacy.livestories.com/s/v2/coronavirus-report-for-napa-county-ca/9065d62d-f5a6-445f-b2a9-b7cf30b846dd/","Napa has some competing info on different sites, so be careful.","409","","","","","","","","","","","","","","","","1","41","","BANG","","",""
"Nevada","4/1/2020 17:11:39","26","0","https://www.mynevadacounty.com/2956/COVID-19-Cases-in-Nevada-County","","","","","","","2","","","4","2","","","","","","","","","","","","x",""
"Orange","4/2/2020 18:05:54","656","13","https://occovid19.ochealthinfo.com/coronavirus-in-oc","","7791","","","","","","","","","","","115","current","47","current","","","","","SCNG","","",""
"Placer","4/2/2020 18:06:05","90","2","https://www.placer.ca.gov/6448/Cases-in-Placer","","","","","","","","","","","","","","","","","","","","","","","",""
"Plumas","4/2/2020 18:06:52","2","0","https://www.plumascounty.us/2669/Novel-Coronavirus-2019","positive cases updated, but not testing results","54","11","42","0","","","","","","","","","","","","","","","","","","",""
"Riverside","4/2/2020 18:06:29","493","14","https://www.rivcoph.org/coronavirus","","","","","","","","","","","","50","","","","","","","","","SCNG","","x",""
"Sacramento","4/2/2020 18:07:14","341","9","https://www.saccounty.net/COVID-19/Pages/default.aspx","They aren't reporting their numbers daily, so beware calculating daily changes.","","","","","","","","","","","","","","","","","","","","","","",""
"San Benito","4/2/2020 18:08:05","23","1","https://hhsa.cosb.us/publichealth/communicable-disease/coronavirus/","","289","23","243","23","","","","","","","10","","","","","","","","","SCNG","","",""
"San Bernardino","4/2/2020 18:08:35","304","8","http://wp.sbcounty.gov/dph/coronavirus/","","2963","","","","","","","","","","","","","","","","","","","","","",""
"San Diego","4/2/2020 18:08:34","966","16","https://www.sandiegocounty.gov/content/sdc/hhsa/programs/phs/community_epidemiology/dc/2019-nCoV/status.html","","","","","","","","","","","","","181","","70","","","","","","","","x",""
"San Francisco","4/2/2020 9:05:54","450","7","https://www.sfdph.org/dph/alerts/coronavirus.asp","SF hospitalization numbers are from the health director in a press conference, but they are not releasing them on a daily basis yet.","","","","","","","","","","","","58","","","","","","","","BANG","","",""
"San Joaquin","4/2/2020 18:09:15","178","10","http://www.sjcphs.org/","","","","","","","","","","","","","","","","","","","","","","","",""
"San Luis Obispo","4/2/2020 18:09:47","89","0","https://www.emergencyslo.org/en/positive-case-details.aspx","","","","","","","","","","","","48","8","current","3","current","","","","","","","x",""
"San Mateo","4/2/2020 9:33:22","453","10","https://www.smchealth.org/coronavirus","","","","","","","","","","","","","","","","","","","","","BANG","","",""
"Santa Barbara","4/2/2020 18:10:48","139","1","https://publichealthsbc.org/","","1147","139","826","139","1","","","","","","24","23","current","16","current","","","","","","","x",""
"Santa Clara","4/2/2020 18:11:40","1019","36","https://www.sccgov.org/sites/phd/DiseaseInformation/novel-coronavirus/Pages/dashboard.aspx","","","","","","","","","","","","","","","","","","","","","BANG","","",""
"Santa Cruz","4/2/2020 12:01:35","57","1","https://www.santacruzhealth.org/HSAHome/HSADivisions/PublicHealth/CommunicableDiseaseControl/Coronavirus.aspx","","","","","","","","","","","","","","","","","","","","","BANG","","",""
"Shasta","4/2/2020 18:12:40","7","1","https://www.co.shasta.ca.us/index/hhsa/health-safety/current-heath-concerns/coronavirus","Numbers are in a video report.","","","370","7","","2","","1","","","","","","","","","","","","","","",""
"Sierra","4/2/2020 18:12:56","0","0","http://www.sierracounty.ca.gov/582/Coronavirus-COVID-19","","7","0","7","0","","","","","","","","","","","","","","","","","","",""
"Siskiyou","4/2/2020 18:13:19","3","0","https://www.co.siskiyou.ca.us/publichealth","","93","10","80","3","","","","","","","","","","","","","","","","","","",""
"Solano","4/2/2020 18:13:55","61","1","http://www.solanocounty.com/depts/ph/ncov.asp","no weekend updates","","","","","","","","","","","","22","cumulative","","","","","","","BANG","","",""
"Sonoma","4/2/2020 18:14:36","95","1","https://socoemergency.org/emergency/novel-coronavirus/novel-coronavirus-in-sonoma-county/","The display ""active cases"" prominently but it doesn't include deaths and recovered. Make sure to pull ""cumulative cases.""","1915","","","","","","","","","","15","18","","","","","","","","BANG","","",""
"Stanislaus","4/2/2020 18:14:56","50","0","http://schsa.org/publichealth/pages/corona-virus/","","","","1337","","","","","","","","","","","","","","","","","","","",""
"Sutter","4/2/2020 18:15:18","14","1","https://www.suttercounty.org/doc/government/depts/cao/em/coronavirus","Yuba and Sutter appear to report together to a certain extent. Hospitalizations are reported together so I'm listing them in sutter county.","","","","","","","","","","","","3","","","","","","","","","","",""
"Tehama","4/1/2020 17:26:44","0","0","https://www.tehamacohealthservices.net/services/communicable-diseases/#current-events","","","","","","","","","","","","","","","","","","","","","","","",""
"Trinity","4/1/2020 17:26:53","0","0","https://www.trinitycounty.org/Public-Health","","","","","","","","","","","","","","","","","","","","","","","",""
"Tulare","4/2/2020 18:16:15","74","2","https://tchhsa.org/eng/index.cfm/public-health/covid-19-updates-novel-coronavirus/","","","","","","","","","","","","4","","","","","","","","","","","",""
"Tuolumne","4/2/2020 18:16:33","2","0","https://www.tuolumnecounty.ca.gov/250/Public-Health","","227","8","218","2","","","","","","","","","","","","","1","","","","","",""
