OBJECTID,STAETFP,COUNTYFP,GEOID,COUNTY,LABEL,FULL_,County_Pos_Cases,County_Population,County_Rate_Per_100_000,State_Population,State_Pos_Unknown,State_Pos_Cases,Data_Source,Date_Data_Last_Updated,State_Number_Tested,State_Number_Hospitalizations,State_Deaths,State_Number_of_Counties_Pos,State_Rate_Per_100000,Shape__Area,Shape__Length,State_Number_Outbreaks
1,08,109,08109,SAGUACHE,Saguache,Saguache County,3,6837,-1,5695430,110,7941,Colorado Department of Public Health and Environment - Number of Positive COVID-19 Cases by County,"Data through April 13, 2020",39580,1556,329,56,139.46,13273871024.1289,529491.079018544,78
2,08,115,08115,SEDGWICK,Sedgwick,Sedgwick County,0,2275,0,5695430,110,7941,Colorado Department of Public Health and Environment - Number of Positive COVID-19 Cases by County,"Data through April 13, 2020",39580,1556,329,56,139.46,2491281577.11719,208249.56871408,78
3,08,017,08017,CHEYENNE,Cheyenne,Cheyenne County,0,1862,0,5695430,110,7941,Colorado Department of Public Health and Environment - Number of Positive COVID-19 Cases by County,"Data through April 13, 2020",39580,1556,329,56,139.46,7613550869.75391,373455.831824096,78
4,08,027,08027,CUSTER,Custer,Custer County,2,4928,-1,5695430,110,7941,Colorado Department of Public Health and Environment - Number of Positive COVID-19 Cases by County,"Data through April 13, 2020",39580,1556,329,56,139.46,3100361575.17578,290994.589030107,78
5,08,067,08067,LA PLATA,La Plata,La Plata County,44,56403,78.01,5695430,110,7941,Colorado Department of Public Health and Environment - Number of Positive COVID-19 Cases by County,"Data through April 13, 2020",39580,1556,329,56,139.46,6966607866.58203,371001.027724019,78
6,08,111,08111,SAN JUAN,San Juan,San Juan County,0,762,0,5695430,110,7941,Colorado Department of Public Health and Environment - Number of Positive COVID-19 Cases by County,"Data through April 13, 2020",39580,1556,329,56,139.46,1611963627.42969,209303.346789561,78
7,08,097,08097,PITKIN,Pitkin,Pitkin County,49,17879,274.06,5695430,110,7941,Colorado Department of Public Health and Environment - Number of Positive COVID-19 Cases by County,"Data through April 13, 2020",39580,1556,329,56,139.46,4204962607.14063,360368.050497512,78
8,08,093,08093,PARK,Park,Park County,6,18557,32.33,5695430,110,7941,Colorado Department of Public Health and Environment - Number of Positive COVID-19 Cases by County,"Data through April 13, 2020",39580,1556,329,56,139.46,9525822458.41406,477017.520520283,78
9,08,003,08003,ALAMOSA,Alamosa,Alamosa County,7,16184,43.25,5695430,110,7941,Colorado Department of Public Health and Environment - Number of Positive COVID-19 Cases by County,"Data through April 13, 2020",39580,1556,329,56,139.46,2987314188.43359,224661.437209443,78
10,08,099,08099,PROWERS,Prowers,Prowers County,1,12078,-1,5695430,110,7941,Colorado Department of Public Health and Environment - Number of Positive COVID-19 Cases by County,"Data through April 13, 2020",39580,1556,329,56,139.46,6861386117.78516,333326.752196427,78
11,08,081,08081,MOFFAT,Moffat,Moffat County,3,13181,-1,5695430,110,7941,Colorado Department of Public Health and Environment - Number of Positive COVID-19 Cases by County,"Data through April 13, 2020",39580,1556,329,56,139.46,21378597682.3633,615436.363722786,78
12,08,059,08059,JEFFERSON,Jefferson,Jefferson County,809,579491,139.61,5695430,110,7941,Colorado Department of Public Health and Environment - Number of Positive COVID-19 Cases by County,"Data through April 13, 2020",39580,1556,329,56,139.46,3379799618.59766,374132.11754513,78
13,08,117,08117,SUMMIT,Summit,Summit County,74,30973,238.92,5695430,110,7941,Colorado Department of Public Health and Environment - Number of Positive COVID-19 Cases by County,"Data through April 13, 2020",39580,1556,329,56,139.46,2707648429.75781,325660.775440309,78
14,08,101,08101,PUEBLO,Pueblo,Pueblo County,64,167116,38.3,5695430,110,7941,Colorado Department of Public Health and Environment - Number of Positive COVID-19 Cases by County,"Data through April 13, 2020",39580,1556,329,56,139.46,10064732291.2969,426421.345889861,78
