OBJECTID,COUNTY,DISTRICT,COUNTY_FIP,COUNTYNUM,TotalCaseCount,TotalDeathCount,ProbDeaths,EOCStatus,Shape__Area,Shape__Length
1,Allegany,6,1,1,105,3,0,Enhanced,1851538947.24609,394249.898087364
2,Anne Arundel,5,3,2,1430,62,8,Partial,1778838317.07031,1187074.90604609
3,Baltimore,4,5,3,2387,69,10,Partial,2637687793.67188,818319.559802303
4,Baltimore City,0,510,24,1791,72,6,Full,352783081.195313,199394.091724007
5,Calvert,5,9,4,130,7,0,Partial,910463399.882813,382233.861870395
6,Caroline,2,11,5,61,0,0,Partial,1379449077.28906,248389.129627785
7,Carroll,7,13,6,384,36,0,Partial,1962097001.74609,333550.715409503
8,Cecil,2,15,7,146,5,0,Partial,1526098142.74219,542652.15548276
9,Charles,5,17,8,483,34,1,Enhanced,1951088479.46094,581727.788949102
10,Dorchester,1,19,9,38,2,0,Enhanced,2329934588.31641,2122613.69146384
11,Frederick,7,21,10,814,39,6,Enhanced,2890002368.51172,328351.049806112
12,Garrett,6,23,11,4,0,0,Partial,2860745161.01563,281807.867259157
13,Harford,4,25,12,302,4,7,Enhanced,1918415707.58594,509309.187104658
14,Howard,7,27,13,686,15,1,Partial,1089436036.53125,217926.641507374
15,Kent,2,29,14,67,3,0,Partial,1214377368.37891,642712.199279433
16,Montgomery,3,31,15,3483,152,19,Partial,2142728433.39844,459689.982466052
17,Prince George's,3,33,16,4795,162,11,Partial,2073261898.11719,391861.372434526
18,Queen Anne's,2,35,17,52,3,0,Partial,1604272544.72266,833409.527049959
19,Somerset,1,39,19,14,0,0,Partial,1353987955.57813,1724844.63525122
20,St. Mary's,5,37,18,124,6,0,Partial,1515567868.50781,962932.297427502
21,Talbot,2,41,20,28,1,0,Enhanced,1153979565.26953,1221554.88133175
22,Washington,6,43,21,154,3,0,Partial,2002006981.78516,428074.05189915
23,Wicomico,1,45,22,242,4,0,Enhanced,1602773791.67969,384958.204199738
24,Worcester,1,47,23,46,0,0,Partial,1994019871.01172,1473471.71489491
