County,Total Positive,Total Negative,Total Tested,Total Recovered
Adams,0,39,39,0
Barnes,4,438,442,3
Benson,2,408,410,0
Billings,0,27,27,0
Bottineau,0,231,231,0
Bowman,1,205,206,1
Burke,5,109,114,4
Burleigh,103,4890,4993,56
Cass,781,8593,9374,398
Cavalier,0,153,153,0
Dickey,0,73,73,0
Divide,1,167,168,1
Dunn,11,159,170,9
Eddy,1,82,83,1
Emmons,1,79,80,0
Foster,1,54,55,1
Golden Valley,0,32,32,0
Grand Forks,284,3893,4177,122
Grant,1,42,43,1
Griggs,0,42,42,0
Hettinger,0,160,160,0
Kidder,0,73,73,0
LaMoure,0,78,78,0
Logan,0,43,43,0
McHenry,2,229,231,0
McIntosh,1,73,74,1
McKenzie,15,597,612,12
McLean,5,497,502,3
Mercer,3,348,351,2
Morton,35,1434,1469,17
Mountrail,37,1204,1241,33
Nelson,1,157,158,1
Oliver,1,32,33,1
Pembina,6,387,393,2
Pierce,3,249,252,2
Ramsey,7,705,712,3
Ransom,3,301,304,0
Renville,1,132,133,0
Richland,8,368,376,7
Rolette,3,923,926,1
Sargent,3,399,402,1
Sheridan,0,31,31,0
Sioux,1,112,113,1
Slope,3,128,131,3
Stark,61,3106,3167,35
Steele,0,37,37,0
Stutsman,13,1645,1658,3
Towner,0,111,111,0
Traill,1,197,198,0
Unknown,0,4111,4111,0
Walsh,8,496,504,5
Ward,27,2627,2654,20
Wells,2,214,216,2
Williams,18,1549,1567,10
