County,Total Positive,Total Negative,Total Tested,Total Recovered
Adams,0.0,30.0,30.0,0.0
Barnes,4.0,128.0,132.0,3.0
Benson,0.0,349.0,349.0,0.0
Billings,0.0,10.0,10.0,0.0
Bottineau,0.0,107.0,107.0,0.0
Bowman,1.0,176.0,177.0,1.0
Burke,3.0,56.0,59.0,0.0
Burleigh,74.0,2174.0,2248.0,38.0
Cass,472.0,5333.0,5805.0,181.0
Cavalier,0.0,38.0,38.0,0.0
Dickey,0.0,36.0,36.0,0.0
Divide,1.0,49.0,50.0,1.0
Dunn,10.0,123.0,133.0,6.0
Eddy,1.0,56.0,57.0,1.0
Emmons,1.0,61.0,62.0,0.0
Foster,1.0,36.0,37.0,1.0
Golden Valley,0.0,19.0,19.0,0.0
Grand Forks,234.0,2322.0,2556.0,54.0
Grant,1.0,31.0,32.0,1.0
Griggs,0.0,27.0,27.0,0.0
Hettinger,0.0,130.0,130.0,0.0
Kidder,0.0,28.0,28.0,0.0
LaMoure,0.0,42.0,42.0,0.0
Logan,0.0,34.0,34.0,0.0
McHenry,1.0,97.0,98.0,0.0
McIntosh,1.0,55.0,56.0,1.0
McKenzie,12.0,290.0,302.0,10.0
McLean,3.0,234.0,237.0,2.0
Mercer,0.0,126.0,126.0,0.0
Morton,24.0,755.0,779.0,11.0
Mountrail,35.0,926.0,961.0,29.0
Nelson,1.0,142.0,143.0,0.0
Oliver,1.0,19.0,20.0,1.0
Pembina,1.0,126.0,127.0,0.0
Pierce,2.0,50.0,52.0,2.0
Ramsey,4.0,300.0,304.0,3.0
Ransom,1.0,77.0,78.0,0.0
Renville,0.0,45.0,45.0,0.0
Richland,7.0,235.0,242.0,7.0
Rolette,1.0,154.0,155.0,0.0
Sargent,1.0,66.0,67.0,1.0
Sheridan,0.0,22.0,22.0,0.0
Sioux,1.0,65.0,66.0,0.0
Slope,3.0,125.0,128.0,3.0
Stark,44.0,1065.0,1109.0,23.0
Steele,0.0,31.0,31.0,0.0
Stutsman,5.0,390.0,395.0,1.0
Towner,0.0,35.0,35.0,0.0
Traill,0.0,146.0,146.0,0.0
Unknown,0.0,2771.0,2771.0,0.0
Walsh,7.0,416.0,423.0,3.0
Ward,21.0,1777.0,1798.0,17.0
Wells,2.0,192.0,194.0,0.0
Williams,10.0,605.0,615.0,8.0
