County,Total Positive,Total Negative,Unique Individuals Tested,Total Recovered,Deaths
Adams,0,476,476,0,0
Barnes,20,1409,1429,18,0
Benson,4,1159,1163,3,0
Billings,1,187,188,1,0
Bottineau,5,704,709,5,0
Bowman,1,692,693,1,0
Burke,6,195,201,5,0
Burleigh,314,14344,14658,203,0
Cass,2323,26548,28871,2119,66
Cavalier,3,453,456,2,0
Dickey,4,474,478,4,0
Divide,1,439,440,1,0
Dunn,14,364,378,12,0
Eddy,5,469,474,5,0
Emmons,4,388,392,3,1
Foster,2,336,338,2,0
Golden Valley,0,308,308,0,0
Grand Forks,402,9272,9674,362,4
Grant,3,237,240,3,0
Griggs,2,269,271,2,0
Hettinger,1,523,524,0,0
Kidder,2,170,172,2,0
LaMoure,13,692,705,11,0
Logan,0,307,307,0,0
McHenry,5,509,514,2,1
McIntosh,2,711,713,1,0
McKenzie,27,978,1005,24,0
McLean,11,1410,1421,11,0
Mercer,7,824,831,6,0
Morton,101,4300,4401,69,2
Mountrail,54,1692,1746,43,0
Nelson,1,422,423,1,0
Oliver,2,121,123,1,0
Pembina,10,761,771,9,0
Pierce,5,492,497,4,0
Ramsey,11,1783,1794,8,1
Ransom,18,987,1005,17,0
Renville,5,232,237,5,0
Richland,43,1811,1854,41,0
Rolette,11,2221,2232,8,0
Sargent,6,797,803,4,0
Sheridan,1,190,191,1,0
Sioux,25,1250,1275,11,0
Slope,3,135,138,3,0
Stark,77,4699,4776,68,3
Steele,2,254,256,1,0
Stutsman,63,4106,4169,62,1
Towner,0,185,185,0,0
Traill,21,1380,1401,15,0
Unknown,0,2246,2246,0,0
Walsh,26,1626,1652,21,0
Ward,64,8096,8160,55,1
Wells,9,477,486,7,0
Williams,39,3039,3078,26,0
