County,Total Positive,Total Negative,Unique Individuals Tested,Total Recovered,Deaths
Adams,0,458,458,0,0
Barnes,16,1109,1125,9,0
Benson,3,1007,1010,2,0
Billings,0,148,148,0,0
Bottineau,4,550,554,3,0
Bowman,1,413,414,1,0
Burke,5,168,173,5,0
Burleigh,180,10196,10376,138,0
Cass,2091,21952,24043,1873,63
Cavalier,0,266,266,0,0
Dickey,3,429,432,0,0
Divide,1,419,420,1,0
Dunn,11,325,336,11,0
Eddy,5,446,451,4,0
Emmons,4,357,361,3,1
Foster,1,291,292,1,0
Golden Valley,0,293,293,0,0
Grand Forks,356,6875,7231,331,4
Grant,2,213,215,2,0
Griggs,1,237,238,1,0
Hettinger,0,500,500,0,0
Kidder,2,142,144,2,0
LaMoure,10,342,352,6,0
Logan,0,282,282,0,0
McHenry,2,422,424,1,1
McIntosh,1,583,584,1,0
McKenzie,22,847,869,18,0
McLean,11,1151,1162,11,0
Mercer,6,738,744,6,0
Morton,70,3302,3372,58,2
Mountrail,43,1545,1588,43,0
Nelson,1,393,394,1,0
Oliver,1,88,89,1,0
Pembina,7,638,645,6,0
Pierce,3,438,441,3,0
Ramsey,8,1507,1515,7,1
Ransom,13,927,940,11,0
Renville,3,197,200,3,0
Richland,37,1632,1669,26,0
Rolette,8,1396,1404,7,0
Sargent,5,743,748,4,0
Sheridan,1,177,178,1,0
Sioux,10,721,731,2,0
Slope,3,135,138,3,0
Stark,65,4116,4181,60,2
Steele,1,233,234,1,0
Stutsman,60,3368,3428,38,0
Towner,0,153,153,0,0
Traill,15,1220,1235,14,0
Unknown,0,2747,2747,0,0
Walsh,17,1191,1208,16,0
Ward,50,6398,6448,42,1
Wells,8,437,445,6,0
Williams,26,2600,2626,26,0
